"old_name","current_name"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Blautia coccoides","Blautia producta"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Lactococcus plantarum","Pseudolactococcus plantarum"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
"Moraxella osloensis","Faucicola osloensis"
