taxon	nb	tax_abundance	sample
165179	1	4.897377084	healthy_stool_100_10
853	1	3.66571176	healthy_stool_100_10
821	1	3.019513773	healthy_stool_100_10
820	1	2.659734696	healthy_stool_100_10
40518	1	2.043077771	healthy_stool_100_10
39491	1	2.039904817	healthy_stool_100_10
1680	1	1.918937467	healthy_stool_100_10
74426	1	1.754261468	healthy_stool_100_10
28117	1	1.653464077	healthy_stool_100_10
357276	1	1.348017086	healthy_stool_100_10
1150298	1	3.756092602	healthy_stool_100_10
301302	1	3.640056575	healthy_stool_100_10
216816	1	3.176463469	healthy_stool_100_10
239935	1	2.676462915	healthy_stool_100_10
649756	1	2.420073542	healthy_stool_100_10
46506	1	2.391309867	healthy_stool_100_10
562	1	2.355762927	healthy_stool_100_10
88431	1	2.315688636	healthy_stool_100_10
33039	1	1.982612608	healthy_stool_100_10
39485	1	1.884835485	healthy_stool_100_10
310297	1	1.867285572	healthy_stool_100_10
823	1	1.791752528	healthy_stool_100_10
39488	1	1.779936138	healthy_stool_100_10
33043	1	1.587353082	healthy_stool_100_10
410072	1	1.543963588	healthy_stool_100_10
28116	1	1.53088658	healthy_stool_100_10
47678	1	1.466492409	healthy_stool_100_10
360807	1	1.43248713	healthy_stool_100_10
487174	1	1.383285141	healthy_stool_100_10
2173	1	1.355143702	healthy_stool_100_10
28052	1	1.339034236	healthy_stool_100_10
45851	1	1.335946999	healthy_stool_100_10
46503	1	1.293268556	healthy_stool_100_10
40520	1	1.278701484	healthy_stool_100_10
214856	1	1.187570255	healthy_stool_100_10
818	1	1.141685865	healthy_stool_100_10
418240	1	1.052196328	healthy_stool_100_10
166486	1	0.993738952	healthy_stool_100_10
626940	1	0.856920333	healthy_stool_100_10
817	1	0.8534729	healthy_stool_100_10
363265	1	0.851298183	healthy_stool_100_10
28111	1	0.836246075	healthy_stool_100_10
39486	1	0.750399982	healthy_stool_100_10
246787	1	0.746511699	healthy_stool_100_10
1681	1	0.71927259	healthy_stool_100_10
28118	1	0.6861453	healthy_stool_100_10
46228	1	0.667595071	healthy_stool_100_10
371601	1	0.658598694	healthy_stool_100_10
1628085	1	0.647611473	healthy_stool_100_10
28026	1	0.619116194	healthy_stool_100_10
301301	1	0.572714194	healthy_stool_100_10
1304	1	0.5642088	healthy_stool_100_10
33038	1	0.558477893	healthy_stool_100_10
116085	1	0.549429927	healthy_stool_100_10
1308	1	0.533733184	healthy_stool_100_10
28125	1	0.499808676	healthy_stool_100_10
1501391	1	0.468988432	healthy_stool_100_10
1735	1	0.455637991	healthy_stool_100_10
204516	1	0.437542591	healthy_stool_100_10
573	1	0.407441819	healthy_stool_100_10
1550024	1	0.403924573	healthy_stool_100_10
745368	1	0.394584179	healthy_stool_100_10
329854	1	0.343774225	healthy_stool_100_10
328814	1	0.338226664	healthy_stool_100_10
100886	1	0.332041878	healthy_stool_100_10
310298	1	0.326927399	healthy_stool_100_10
1686	1	0.324547165	healthy_stool_100_10
446660	1	0.308121662	healthy_stool_100_10
292800	1	0.297525242	healthy_stool_100_10
338188	1	0.277874958	healthy_stool_100_10
33025	1	0.268609578	healthy_stool_100_10
674529	1	0.257785262	healthy_stool_100_10
487175	1	0.255793207	healthy_stool_100_10
572010	1	0.245906747	healthy_stool_100_10
1683	1	0.245441548	healthy_stool_100_10
39490	1	0.245424422	healthy_stool_100_10
1623	1	0.23516618	healthy_stool_100_10
218538	1	0.228289425	healthy_stool_100_10
39496	1	0.222479124	healthy_stool_100_10
28127	1	0.222306749	healthy_stool_100_10
1260	1	0.214284219	healthy_stool_100_10
119219	1	0.208781251	healthy_stool_100_10
901	1	0.207246375	healthy_stool_100_10
187327	1	0.202665239	healthy_stool_100_10
454155	1	0.195178819	healthy_stool_100_10
261299	1	0.193993744	healthy_stool_100_10
28025	1	0.187091221	healthy_stool_100_10
291644	1	0.185263002	healthy_stool_100_10
1318	1	0.180382645	healthy_stool_100_10
84112	1	0.155897407	healthy_stool_100_10
386414	1	0.154275825	healthy_stool_100_10
1352	1	0.150544205	healthy_stool_100_10
28128	1	0.150218519	healthy_stool_100_10
626929	1	0.143691093	healthy_stool_100_10
244366	1	0.138595834	healthy_stool_100_10
471189	1	0.133995036	healthy_stool_100_10
1981510	1	0.133530447	healthy_stool_100_10
29466	1	0.133483645	healthy_stool_100_10
28130	1	0.127665119	healthy_stool_100_10
907	1	0.127207001	healthy_stool_100_10
