taxon	nb	tax	abundance	sample
165179	1	8.481442114	healthy_stool_100_50	
853	1	6.34840274	healthy_stool_100_50	
821	1	5.229295364	healthy_stool_100_50	
820	1	4.606217875	healthy_stool_100_50	
40518	1	3.538270701	healthy_stool_100_50	
39491	1	3.532775672	healthy_stool_100_50	
1680	1	3.323280353	healthy_stool_100_50	
74426	1	3.038088927	healthy_stool_100_50	
28117	1	2.86352462	healthy_stool_100_50	
357276	1	2.334541263	healthy_stool_100_50	
1150298	1	2.265518556	healthy_stool_100_50	
301302	1	2.195530459	healthy_stool_100_50	
216816	1	1.915910414	healthy_stool_100_50	
239935	1	1.614330913	healthy_stool_100_50	
649756	1	1.459687526	healthy_stool_100_50	
46506	1	1.442338475	healthy_stool_100_50	
562	1	1.420898042	healthy_stool_100_50	
88431	1	1.3967269	healthy_stool_100_50	
33039	1	1.195829318	healthy_stool_100_50	
39485	1	1.136854231	healthy_stool_100_50	
310297	1	1.126268855	healthy_stool_100_50	
823	1	1.08071047	healthy_stool_100_50	
39488	1	1.073583316	healthy_stool_100_50	
33043	1	0.957425241	healthy_stool_100_50	
410072	1	0.931254505	healthy_stool_100_50	
28116	1	0.923366999	healthy_stool_100_50	
47678	1	0.884527118	healthy_stool_100_50	
360807	1	0.864016551	healthy_stool_100_50	
487174	1	0.834339961	healthy_stool_100_50	
2173	1	0.817366218	healthy_stool_100_50	
28052	1	0.807649659	healthy_stool_100_50	
45851	1	0.805787566	healthy_stool_100_50	
46503	1	0.780045708	healthy_stool_100_50	
40520	1	0.771259457	healthy_stool_100_50	
214856	1	0.716292896	healthy_stool_100_50	
818	1	0.688617345	healthy_stool_100_50	
418240	1	0.634640984	healthy_stool_100_50	
166486	1	0.599381931	healthy_stool_100_50	
626940	1	0.51685864	healthy_stool_100_50	
817	1	0.514779292	healthy_stool_100_50	
363265	1	0.513467594	healthy_stool_100_50	
28111	1	0.504388789	healthy_stool_100_50	
39486	1	0.452610003	healthy_stool_100_50	
246787	1	0.450264753	healthy_stool_100_50	
1681	1	0.433835257	healthy_stool_100_50	
28118	1	0.413854256	healthy_stool_100_50	
46228	1	0.402665531	healthy_stool_100_50	
371601	1	0.397239291	healthy_stool_100_50	
1628085	1	0.390612257	healthy_stool_100_50	
28026	1	0.373425092	healthy_stool_100_50	
301301	1	0.809677464	healthy_stool_100_50	
1304	1	0.797652921	healthy_stool_100_50	
33038	1	0.789550824	healthy_stool_100_50	
116085	1	0.776759218	healthy_stool_100_50	
1308	1	0.754567872	healthy_stool_100_50	
28125	1	0.706606934	healthy_stool_100_50	
1501391	1	0.663034666	healthy_stool_100_50	
1735	1	0.644160414	healthy_stool_100_50	
204516	1	0.618577956	healthy_stool_100_50	
573	1	0.576022844	healthy_stool_100_50	
1550024	1	0.57105032	healthy_stool_100_50	
745368	1	0.557845292	healthy_stool_100_50	
329854	1	0.486012474	healthy_stool_100_50	
328814	1	0.478169583	healthy_stool_100_50	
100886	1	0.469425812	healthy_stool_100_50	
310298	1	0.462195192	healthy_stool_100_50	
1686	1	0.458830126	healthy_stool_100_50	
446660	1	0.435608491	healthy_stool_100_50	
292800	1	0.420627751	healthy_stool_100_50	
338188	1	0.392847067	healthy_stool_100_50	
33025	1	0.379748091	healthy_stool_100_50	
674529	1	0.364445161	healthy_stool_100_50	
487175	1	0.361628884	healthy_stool_100_50	
572010	1	0.347651854	healthy_stool_100_50	
1683	1	0.346994176	healthy_stool_100_50	
39490	1	0.346969965	healthy_stool_100_50	
1623	1	0.332467325	healthy_stool_100_50	
218538	1	0.322745279	healthy_stool_100_50	
39496	1	0.314530938	healthy_stool_100_50	
28127	1	0.314287242	healthy_stool_100_50	
1260	1	0.302945351	healthy_stool_100_50	
119219	1	0.295165504	healthy_stool_100_50	
901	1	0.292995565	healthy_stool_100_50	
187327	1	0.286518962	healthy_stool_100_50	
454155	1	0.275935	healthy_stool_100_50	
261299	1	0.274259595	healthy_stool_100_50	
28025	1	0.264501119	healthy_stool_100_50	
291644	1	0.261916466	healthy_stool_100_50	
1318	1	0.255016838	healthy_stool_100_50	
84112	1	0.220400713	healthy_stool_100_50	
386414	1	0.218108194	healthy_stool_100_50	
1352	1	0.212832598	healthy_stool_100_50	
28128	1	0.212372158	healthy_stool_100_50	
626929	1	0.203143978	healthy_stool_100_50	
244366	1	0.195940531	healthy_stool_100_50	
471189	1	0.18943613	healthy_stool_100_50	
1981510	1	0.188779316	healthy_stool_100_50	
29466	1	0.18871315	healthy_stool_100_50	
28130	1	0.18048718	healthy_stool_100_50	
907	1	0.179839514	healthy_stool_100_50	
