species,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Bacteroides thetaiotaomicron,3261,2646,1384,1954,139,246,427,202
Bacteroides ovatus,2829,3420,1417,2178,73,74,72,92
Bacteroides cellulosilyticus,2146,1589,645,990,25,26,55,30
Bacteroides fragilis,2089,1662,793,1182,300,263,263,299
Bacteroides intestinalis,1751,674,336,906,93,113,111,105
Bacteroides sp. HF-5287,1284,430,235,558,82,80,69,84
Bacteroides sp. CBA7301,151,112,83,89,14,26,43,40
Bacteroides sp. A1C1,283,527,498,703,1423,1354,994,1721
Bacteroides sp. CACC 737,174,404,393,650,1214,1144,812,1446
Bacteroides caccae,1538,2058,713,1297,13,30,34,34
Bacteroides xylanisolvens,1412,898,379,566,37,36,29,38
Bacteroides uniformis,1185,2709,2951,4343,9270,9241,6137,11668
Bacteroides caecimuris,218,142,83,120,37,33,26,38
Bacteroides helcogenes,141,183,106,128,43,42,62,53
Bacteroides heparinolyticus,94,104,61,90,19,34,50,25
Bacteroides zoogleoformans,56,75,68,54,20,31,44,35
Bacteroides coprosuis,10,10,14,0,0,0,10,0
Phocaeicola dorei,2000,2404,2562,4005,16324,8154,5576,4993
Phocaeicola vulgatus,1941,4901,5182,8175,15434,16992,11453,21645
Phocaeicola salanitronis,120,93,99,116,34,46,72,35
Paraprevotella xylaniphila,1256,310,235,416,171,136,144,145
Prevotella intermedia,528,176,494,236,115,250,506,202
Prevotella melaninogenica,113,69,710,125,154,357,719,316
Prevotella jejuni,85,51,175,87,27,105,194,77
Prevotella fusca,74,63,392,67,81,185,416,198
Prevotella denticola,62,36,305,75,69,143,284,135
Prevotella dentalis,54,72,434,61,122,202,430,216
Prevotella oris,49,60,531,77,118,253,527,265
Prevotella enoeca,52,28,143,51,24,102,156,67
Prevotella scopos,59,39,205,55,52,111,189,69
Prevotella sp. oral taxon 299,48,16,122,46,20,52,114,47
Prevotella ruminicola,32,80,777,125,153,349,776,355
Alistipes shahii,1114,421,211,602,378,219,158,147
Alistipes finegoldii,1047,1220,534,825,447,287,188,169
Alistipes onderdonkii,61,90,68,118,279,140,135,81
Alistipes communis,58,69,74,125,370,236,148,157
Alistipes dispar,39,53,52,95,248,159,120,94
Alistipes indistinctus,28,14,13,10,32,37,20,0
Alistipes megaguti,21,44,46,50,148,99,65,49
Parabacteroides distasonis,1841,2893,1186,1832,112,117,119,122
Parabacteroides sp. CT06,32,88,86,60,27,31,33,0
Tannerella forsythia,15,14,0,0,0,0,0,0
Odoribacter splanchnicus,1302,856,336,560,12,27,22,24
Butyricimonas faecalis,44,47,143,51,60,77,139,90
Barnesiella viscericola,68,86,73,66,52,33,49,19
Porphyromonas gingivalis,11,13,14,11,0,0,11,0
Porphyromonas asaccharolytica,10,0,0,0,0,0,11,0
Petrimonas mucosa,10,0,0,0,0,0,12,0
Roseburia intestinalis,1765,1925,745,1179,0,338,0,0
Roseburia hominis,1460,913,362,1122,64,46,28,37
Lachnospiraceae bacterium Choco86,261,358,136,235,0,0,0,0
Lachnospiraceae bacterium GAM79,179,210,69,140,9904,7090,0,0
Lachnospiraceae bacterium,1337,2716,2395,3918,0,0,0,0
Lachnospiraceae bacterium KM106-2,29,57,25,28,0,0,0,0
Ruminococcus gnavus,1276,821,321,954,0,0,0,0
Lachnospira eligens,902,1623,619,1001,0,0,0,0
Anaerostipes hadrus,840,1815,681,1112,0,0,0,0
Anaerostipes rhamnosivorans,21,17,10,12,0,0,0,0
Anaerostipes caccae,20,16,0,13,0,0,0,0
Anaerobutyricum hallii,641,1053,434,764,45,45,30,47
Blautia sp. SC05B48,434,578,215,364,0,0,0,21
Blautia sp. N6H1-15,73,113,47,86,0,0,0,0
Blautia producta,104,176,76,99,0,0,0,0
