"";"old_name";"current_name"
"1";"Bacteroides zoogleoformans";"1)"
"2";"Prevotella oris";"Segatella oris"
"3";"Prevotella enoeca";"Hoylesella enoeca"
"4";"Prevotella ruminicola";"Xylanibacter ruminicola"
"5";"Alistipes communis";"1)"
"6";"Alistipes megaguti";"1)"
"7";"Butyricimonas faecalis";"1)"
"8";"Ruminococcus gnavus";"Mediterraneibacter gnavus"
"9";"Clostridium scindens";"[Clostridium] scindens"
"10";"Lachnoclostridium phocaeense";"1)"
"11";"Clostridium hylemonae";"[Clostridium] hylemonae"
"12";"Ruminococcus bicirculans";"Ruminococcus bicirculans (ex Liu et al. 2021) <Ruminococcus bicirculans (ex Liu et al. 2021)>"
"13";"Paeniclostridium sordellii";"Paraclostridium sordellii"
"14";"Massilistercora timonensis";"1)"
"15";"Eubacterium cellulosolvens";"[Eubacterium] cellulosolvens"
"16";"Lactobacillus ruminis";"Ligilactobacillus ruminis"
"17";"Clostridium innocuum";"[Clostridium] innocuum"
"18";"Intestinibaculum porci";"1)"
"19";"Amedibacterium intestinale";"1)"
"20";"Muribaculaceae bacterium DSM 108610";"1)"
"21";"Anaerocolumna sp. CBA3638";"1)"
"22";"Tannerella sp. oral taxon HOT-286";"Tannerella serpentiformis"
"23";"Muribaculum intestinale";"1)"
"24";"Leptolyngbya sp. PCC 7376";"1)"
