Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,35,3261,2646,1384,1954,139,246,427,202
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides ovatus,30,2829,3420,1417,2178,73,74,72,92
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,24,2146,1589,645,990,25,26,55,30
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,26,2089,1662,793,1182,300,263,263,299
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,Bacteroides intestinalis,29,1751,674,336,906,93,113,111,105
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. HF-5287,Bacteroides sp. HF-5287,34,1284,430,235,558,82,80,69,84
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. CBA7301,Bacteroides sp. CBA7301,33,151,112,83,89,14,26,43,40
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. A1C1,Bacteroides sp. A1C1,31,283,527,498,703,1423,1354,994,1721
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. CACC 737,Bacteroides sp. CACC 737,32,174,404,393,650,1214,1144,812,1446
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides caccae,22,1538,2058,713,1297,13,30,34,34
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,Bacteroides xylanisolvens,37,1412,898,379,566,37,36,29,38
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis,36,1185,2709,2951,4343,9270,9241,6137,11668
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuris,Bacteroides caecimuris,23,218,142,83,120,37,33,26,38
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes,Bacteroides helcogenes,27,141,183,106,128,43,42,62,53
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides heparinolyticus,Bacteroides heparinolyticus,28,94,104,61,90,19,34,50,25
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides zoogleoformans,Bacteroides zoogleoformans,38,56,75,68,54,20,31,44,35
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprosuis,Bacteroides coprosuis,25,10,10,14,0,0,0,10,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,Phocaeicola,Phocaeicola dorei,Phocaeicola dorei,127,2000,2404,2562,4005,16324,8154,5576,4993
