Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus soli (ex Cha et al. 2016),'Deinococcus soli' Cha et al. 2014,1,0,0,0,1,0,0,0,1,1,0
NA,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Acaryochloris marina,17,0,1,0,0,0,0,0,0,0,2
NA,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii,Acetoanaerobium sticklandii,18,26,19,12,23,6,14,24,16,15,0
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus,19,0,2,1,3,13,3,3,2,8,5
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter senegalensis,Acetobacter senegalensis,20,5,11,7,14,10,9,23,7,22,8
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter oryzifermentans,Acetobacter sp. SLV-7,21,0,2,1,3,13,3,3,2,8,5
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,f_Acetobacteraceae,f_Acetobacteraceae,Acetobacteraceae,22,0,0,0,2,0,0,0,0,1,0
NA,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,g_Acetobacterium,Acetobacterium,23,0,0,0,1,0,0,0,0,0,0
NA,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Acetobacterium woodii,24,617,1953,331,4061,24,230,401,309,338,705
NA,Bacillota,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,Acetohalobium arabaticum,25,2,4,2,7,0,2,1,0,0,0
NA,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Paracholeplasma,Paracholeplasma brassicae,Acholeplasma brassicae,26,0,5,0,2,1,2,1,0,3,1
NA,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii,Acholeplasma laidlawii,27,1,0,0,0,7,9,12,8,7,2
NA,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma oculi,Acholeplasma oculi,28,1,0,0,0,7,9,12,8,7,2
NA,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Alteracholeplasma,Alteracholeplasma palmae,Acholeplasma palmae,29,23,49,15,56,161,87,94,104,139,2
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,Achromobacter denitrificans,30,3,11,1,9,25,8,14,23,13,22
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans,31,3,11,1,9,25,8,14,23,15,23
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,f_Acidaminococcaceae,f_Acidaminococcaceae,Acidaminococcaceae,32,0,0,0,1,0,0,0,0,0,0
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,g_Acidaminococcus,Acidaminococcus,33,0,0,0,0,0,0,0,0,0,1
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans,34,0,0,0,1,1,1,1,1,1,4
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,35,0,0,0,0,1,0,0,0,1,3
NA,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis,Acidianus hospitalis,36,0,0,0,0,0,0,0,0,0,20
NA,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,Acidihalobacter prosperus,37,1,3,2,3,30,39,34,28,51,60
NA,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Acidimicrobium ferrooxidans,38,1,3,0,17,6,3,5,2,3,3
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acidocellaceae,Acidiphilium,Acidiphilium cryptum,Acidiphilium cryptum,39,0,2,0,3,1,0,0,0,3,1
NA,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acidocellaceae,Acidiphilium,Acidiphilium multivorum,Acidiphilium multivorum,40,0,2,0,3,1,0,0,0,3,1
NA,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Acidipropionibacterium acidipropionici,41,0,0,0,0,1,0,1,0,1,10
NA,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,g_Acidithiobacillus,Acidithiobacillus,42,0,0,0,2,0,0,0,0,1,0
NA,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus,Acidithiobacillus caldus,43,1,10,2,23,3,7,7,2,3,0
NA,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrivorans,Acidithiobacillus ferrivorans,44,1,6,1,2,2,4,6,4,1,2
NA,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,Acidithiobacillus ferrooxidans,45,1,7,1,3,2,4,11,5,5,2
NA,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,Acidobacterium capsulatum,46,0,3,0,4,0,1,4,1,1,0
NA,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,Acidothermus cellulolyticus,47,1,2,0,12,4,3,6,0,3,3
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,g_Acidovorax,Acidovorax,48,0,0,0,0,1,1,0,0,0,2
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax avenae,Acidovorax avenae,49,7,5,5,5,2,28,20,5,14,8
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax citrulli,Acidovorax citrulli,50,7,5,5,5,2,28,20,5,14,8
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Acidovorax ebreus,Acidovorax ebreus,51,3,2,0,4,11,50,19,16,20,10
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42,Acidovorax sp. JS42,52,3,2,0,4,11,50,19,16,20,10
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. KKS102,Acidovorax sp. KKS102,53,14,12,13,10,4,238,102,36,33,11
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. RAC01,Acidovorax sp. RAC01,54,0,2,0,2,3,10,1,6,8,8
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,g_Acinetobacter,Acinetobacter,55,0,0,0,0,3,3,1,2,4,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii,56,2,1,3,8,10,135,83,127,168,31
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter equi,Acinetobacter equi,57,11,2,5,2,24,86,84,64,97,33
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,58,14,9,9,12,28,11793,8047,9200,10694,3265
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,Acinetobacter nosocomialis,59,11,4,6,13,24,67,80,57,77,17
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter oleivorans,Acinetobacter oleivorans,60,0,2,1,13,10,40,50,39,59,17
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,Acinetobacter pittii,61,11,4,6,13,24,67,80,57,77,17
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baylyi,Acinetobacter sp. ADP1,62,0,2,2,13,7,32,45,32,55,4
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter larvae,Acinetobacter sp. BRTC-1,63,2,1,2,8,9,43,27,28,48,7
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NCu2D-2,Acinetobacter sp. NCu2D-2,64,0,1,1,2,7,20,14,19,35,8
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TGL-Y2,Acinetobacter sp. TGL-Y2,65,0,0,1,2,7,22,20,21,42,8
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TTH0-4,Acinetobacter sp. TTH0-4,66,0,0,1,2,8,27,26,31,50,13
NA,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus hymeniacidonis,Actinoalloteichus hymeniacidonis,67,1,2,0,12,3,2,3,0,3,2
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,g_Actinobacillus,Actinobacillus,68,0,1,0,0,0,0,0,0,0,0
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus equuli,Actinobacillus equuli,69,0,0,0,1,1,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae,70,0,0,0,1,1,0,2,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,Actinobacillus succinogenes,71,29,86,16,237,2,15,23,13,14,59
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus suis,Actinobacillus suis,72,0,0,0,1,1,0,0,0,1,0
NA,Actinomycetota,Actinomycetes,c_Actinomycetes,c_Actinomycetes,c_Actinomycetes,Actinobacteria bacterium IMCC26256,Actinobacteria bacterium IMCC26256,73,4,12,2,8,76,38,62,40,48,3
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia meyeri,Actinomyces meyeri,74,1,5,1,17,8,8,6,3,3,5
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,Actinomyces oris,75,0,5,1,15,8,1,6,3,2,5
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,Actinomyces radicidentis,76,1,6,1,14,15,6,9,6,3,7
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,Boudabousia tangfeifanii,Actinomyces sp. VUL4_3,78,0,1,0,1,0,0,0,0,0,0
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 414,Actinomyces sp. oral taxon 414,77,0,5,1,12,5,1,7,3,1,1
NA,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,g_Actinoplanes,Actinoplanes,79,0,0,0,0,1,0,0,0,0,0
NA,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,Actinoplanes friuliensis,80,0,0,0,2,0,1,1,1,2,2
NA,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis,Actinoplanes missouriensis,81,0,0,0,0,0,0,0,1,0,2
NA,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. N902-109,Actinoplanes sp. N902-109,82,0,0,0,0,0,0,0,1,0,2
NA,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes sp. SE50/110,Actinoplanes sp. SE50/110,83,0,0,0,0,0,0,0,1,0,2
NA,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum,Actinosynnema mirum,84,0,0,0,0,4,0,1,0,0,3
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum schaalii,Actinotignum schaalii,85,1,1,0,2,1,1,4,0,2,4
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,86,7,21,7,84,11,8,9,5,11,27
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis,Advenella kashmirensis,87,1,0,0,1,12,5,9,7,10,14
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella mimigardefordensis,Advenella mimigardefordensis,88,1,0,0,1,15,7,14,10,11,18
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita sublithincola,Aequorivita sublithincola,89,21,16,20,7,10,12,15,12,11,13
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii,Aerococcus christensenii,90,3,6,2,10,0,4,4,3,9,4
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus sanguinicola,Aerococcus sanguinicola,91,3,7,2,22,1,5,12,13,7,7
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinae,Aerococcus urinae,92,3,8,3,8,1,3,1,5,5,2
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi,Aerococcus urinaeequi,93,1,1,1,12,0,6,9,6,5,9
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaehominis,Aerococcus urinaehominis,94,0,0,1,6,0,5,4,4,10,7
