Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,774,319,348,453,304,234,253,356,233
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,2094,2,0,3,1,4,1,0,3
Bacteria,Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,2095,128,106,284,132,94,184,254,167
Bacteria,Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,2096,0,1,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,2097,179,197,74,179,58,40,39,33
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,2098,2,3,0,1,0,1,1,0
Bacteria,Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,2099,42,40,38,30,22,21,37,20
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,2100,1,0,0,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium BFN5,bacterium BFN5,308,3,0,2,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,447,0,0,4,0,1,2,1,4
Archaea,Euryarchaeota,Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,448,1,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,437,8,7,5,11,10,2,9,4
Bacteria,Actinobacteria,Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,443,5,10,2,5,19,12,8,2
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC19121,Actinobacteria bacterium IMCC19121,62,1,0,0,0,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC25003,Actinobacteria bacterium IMCC25003,63,0,0,0,1,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC26077,Actinobacteria bacterium IMCC26077,64,2,0,0,0,0,0,1,0
Bacteria,Bacteroidetes,Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,440,1,3,4,4,3,2,5,8
Bacteria,candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,candidate division Zixibacteria bacterium,candidate division Zixibacteria bacterium,481,0,0,0,0,1,0,0,0
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,Candidatus Saccharibacteria bacterium oral taxon 488,Candidatus Saccharibacteria bacterium oral taxon 488,525,0,0,1,0,0,1,0,1
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,2049,0,2,6,0,0,0,3,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Synechococcales,o_Synechococcales,o_Synechococcales,o_Synechococcales,o_Synechococcales,2056,0,1,0,0,1,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,cyanobacterium endosymbiont of Rhopalodia gibberula,cyanobacterium endosymbiont of Rhopalodia gibberula,766,0,0,0,1,0,0,0,0
Bacteria,Firmicutes,Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,439,22,11,15,6,4,3,4,8
Bacteria,Firmicutes,Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,442,2,8,5,3,1,3,1,0
Bacteria,Firmicutes,Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,450,1,1,1,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium,Planctomycetes bacterium,2276,0,0,0,0,1,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ElP,Planctomycetes bacterium ElP,2277,0,0,0,1,0,0,0,0
