"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
28116,"Bacteroides ovatus",2941,0.0394844599583809,2799.5,0.0375879988389733
435590,"Phocaeicola vulgatus",2640,0.0354433778613144,2487,0.033392424695544
246787,"Bacteroides cellulosilyticus",2518,0.0338054641874203,2321.4,0.0311685645146444
226186,"Bacteroides thetaiotaomicron",2403,0.0322615291669464,2342.6,0.0314534651155046
40520,"Blautia obeum",2090,0.0280593408068739,2022.5,0.0271551854270363
536231,"Roseburia intestinalis",1603,0.0215211116332147,1447.8,0.0194396342038846
266264,"Cupriavidus metallidurans",1514,0.0203262401825871,1514,0.0203280559496756
1121101,"Bacteroides salyersiae",1457,0.0195609854333087,1451.3,0.0194857833233217
295405,"Bacteroides fragilis",1456,0.0195475599113916,1465.7,0.0196800220719155
484018,"Phocaeicola plebeius",1427,0.0191582197757938,1374.1,0.0184500370519138
411479,"Bacteroides uniformis",1342,0.0180170504128348,1452.2,0.0194988994313541
47678,"Bacteroides caccae",1279,0.0171712425320534,1337.4,0.0179569935383635
709991,"Odoribacter splanchnicus",1253,0.0168221789622072,1261.8,0.0169419479919355
449673,"Bacteroides stercoris",1249,0.0167684768745385,1328.6,0.017839377634088
198214,"Shigella flexneri",1247,0.0167416258307042,1236.8,0.0166064897173013
435591,"Parabacteroides distasonis",1173,0.015748137208834,1195.8,0.0160552972579017
622312,"Roseburia inulinivorans",1164,0.0156273075115795,1169.1,0.0156972590167626
1550024,"Ruthenibacterium lactatiformans",1151,0.0154527757266564,1166.9,0.0156679423273242
1122992,"Hoylesella timonensis",1138,0.0152782439417332,997.4,0.0133921032584055
717959,"Alistipes shahii",1132,0.0151976908102302,1078.9,0.0144865197748053
585394,"Roseburia hominis",1129,0.0151574142444788,1084,0.0145541880373277
537011,"Segatella copri",1011,0.0135732026582533,1008.6,0.0135419812817496
470145,"Phocaeicola coprocola",1010,0.0135597771363362,1196.4,0.0160640755986786
742726,"Barnesiella intestinihominis",982,0.0131838625226556,1017.5,0.013661336628109
411461,"Dorea formicigenerans",964,0.0129422031281466,1018.3,0.013673083068431
479437,"Eggerthella lenta",952,0.0127810968651406,938.1,0.0125954834814323
515619,"Agathobacter rectalis",933,0.0125260119487145,944.9,0.0126875559536905
762982,"Paraprevotella xylaniphila",910,0.0122172249446197,923.1,0.0123939099392122
411474,"Coprococcus eutactus",909,0.0122037994227026,906.3,0.0121692942097464
745368,"Gemmiger formicilis",893,0.0119889910720279,918.3,0.0123303937072525
411469,"Anaerobutyricum hallii",882,0.0118413103309391,885.5,0.0118894695012871
657308,"Gordonibacter pamelaeae",878,0.0117876082432705,894,0.0120029947740812
1150298,"Fusicatenibacter saccharivorans",858,0.0115190978049272,900.9,0.0120961646686875
445973,"Intestinibacter bartlettii",851,0.011425119151507,850.9,0.0114245630535856
