"old_name","current_name"
"Prevotella oris","Segatella oris"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021) <Ruminococcus bicirculans (ex Liu et al. 2021)>"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Clostridium innocuum","[Clostridium] innocuum"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
