"old_name","current_name"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021) <Ruminococcus bicirculans (ex Liu et al. 2021)>"
"Clostridium cellulosi","[Clostridium] cellulosi"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Eubacterium sulci","[Eubacterium] sulci"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Hungateiclostridium thermocellum","Acetivibrio thermocellus"
"Hungateiclostridium clariflavum","Acetivibrio clariflavus"
"Pseudoclostridium thermosuccinogenes","Clostridium thermosuccinogenes"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Lactobacillus plantarum","Lactiplantibacillus plantarum"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus reuteri","Limosilactobacillus reuteri"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Bacillus megaterium","Priestia megaterium"
"Bacillus circulans","Niallia circulans"
"Alkalihalobacillus krulwichiae","Halalkalibacter krulwichiae"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Clostridium innocuum","[Clostridium] innocuum"
"Erysipelatoclostridium ramosum","Thomasclavelia ramosa"
"Atopobium parvulum","Lancefieldella parvula"
"Pseudomonas stutzeri","Stutzerimonas stutzeri"
"Desulfallas gibsoniae","Desulfoscipio gibsoniae"
"Bacillus coagulans","Heyndrickxia coagulans"
"Planomicrobium glaciei","Planococcus glaciei"
"Desulfovibrio salexigens","Maridesulfovibrio salexigens"
"Arcobacter cryaerophilus","Aliarcobacter cryaerophilus"
"Gramella flava","Christiangramia flava"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactobacillus rhamnosus","Lacticaseibacillus rhamnosus"
"Lactobacillus mucosae","Limosilactobacillus mucosae"
"Halomonas titanicae","Vreelandella titanicae"
"Azoarcus communis","Parazoarcus communis"
"Desulfovibrio hydrothermalis","Maridesulfovibrio hydrothermalis"
"Geobacter daltonii","Geotalea daltonii"
"Lactobacillus vaginalis","Limosilactobacillus vaginalis"
"Candidatus Hamiltonella defensa","Candidatus Williamhamiltonella defendens"
"Lactobacillus fuchuensis","Latilactobacillus fuchuensis"
"Geobacter uraniireducens","Geotalea uraniireducens"
