species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Bacteroides thetaiotaomicron,331932,262695,136282,193351,15695,23981,39485,22255
Bacteroides ovatus,281541,343832,137062,215488,7723,7868,7123,9776
Bacteroides cellulosilyticus,216759,157860,65531,100132,2351,3506,5486,3519
Bacteroides fragilis,210940,172109,82749,119300,30134,28340,26926,29776
Bacteroides sp. HF-5287,126050,44889,23349,55464,8197,7577,8244,6107
Bacteroides sp. A1C1,29891,51810,47788,73997,136195,134723,92647,171208
Bacteroides sp. CBA7301,14180,10335,7724,8816,1974,3048,4642,3224
Bacteroides sp. CACC 737,21657,40410,40246,60253,115784,113642,79002,145198
Bacteroides intestinalis,176051,68360,32074,90601,9074,10439,10212,12414
Bacteroides caccae,152541,210280,85229,131028,1272,2675,4815,2511
Bacteroides xylanisolvens,139708,89156,37211,57090,3930,4342,3744,5272
Bacteroides uniformis,116907,268714,291010,444764,933780,913544,626896,1162880
Bacteroides caecimuris,25089,16561,9560,13209,3506,3401,4029,3165
Bacteroides helcogenes,15954,16970,10332,12907,4044,5091,5712,5830
Bacteroides heparinolyticus,9540,9992,6729,7688,2537,3063,3779,3519
Bacteroides zoogleoformans,7645,7861,6808,6215,1997,2902,4307,3189
Bacteroides coprosuis,1072,914,1554,792,295,708,1311,636
Phocaeicola dorei,199682,242879,258273,399579,1627051,815042,556010,496300
Phocaeicola vulgatus,193149,486191,519076,818819,1544428,1698802,1145813,2164913
Phocaeicola salanitronis,11006,11208,10611,9269,3002,4381,7260,3813
Candidatus Azobacteroides pseudotrichonymphae,215,186,128,165,10,30,46,22
Paraprevotella xylaniphila,125643,30802,24538,41649,18254,15680,17720,12229
Prevotella intermedia,50458,17126,51083,23759,9758,23452,46914,22196
Prevotella jejuni,11466,4249,18367,6003,3599,8967,17791,8434
Prevotella melaninogenica,12057,8917,68943,17577,14048,33900,68132,32204
Prevotella denticola,6328,4989,29664,6915,6047,14985,30000,13902
Prevotella dentalis,5862,6133,41606,8558,8612,20954,41598,19309
Prevotella fusca,5877,5424,39343,7898,8166,20138,39530,18659
Hoylesella enoeca,5631,3113,16535,4464,3580,8289,15942,7688
Prevotella scopos,5709,3412,21814,5028,4407,10563,21306,9713
Prevotella sp. oral taxon 299,4422,2174,10237,3132,2082,4952,9895,4530
Segatella oris,4363,6278,53953,9783,11064,27017,54291,25753
Xylanibacter ruminicola,3596,8463,73888,13597,15111,37048,74016,35290
Alloprevotella sp. E39,662,747,2731,793,548,1290,2535,1156
Alistipes shahii,111520,42370,21591,61562,35145,22594,16058,13862
Alistipes finegoldii,104405,120989,54084,83818,46648,29136,20482,17795
Alistipes onderdonkii,7700,8058,6404,10743,27890,17510,12225,10511
Alistipes communis,5885,7376,7140,11700,37136,22920,15648,13915
Alistipes dispar,3655,4762,4851,7949,24938,15651,10554,9539
Alistipes megaguti,2659,3470,4820,5337,15492,10767,7800,6716
Alistipes indistinctus,1798,1587,1245,1852,3326,2341,1731,1498
Alistipes sp. dk3624,1093,1172,1016,1646,3859,2639,1751,1498
Mucinivorans hirudinis,317,353,1181,384,463,694,1185,642
Parabacteroides distasonis,177673,289518,120636,181407,10578,10897,9704,12131
Parabacteroides sp. CT06,6666,9737,6461,6890,3186,2822,3456,2218
Tannerella forsythia,1353,969,611,763,122,193,332,195
Tannerella serpentiformis,716,786,1429,745,749,951,1384,767
Odoribacter splanchnicus,128425,85874,34309,53507,1744,1924,2051,2023
Butyricimonas faecalis,3730,3998,13130,5023,7736,8817,13554,7058
Barnesiella viscericola,8023,10363,8032,7517,4438,4058,5085,3125
Muribaculum intestinale,832,903,2622,909,697,1414,2529,1306
Muribaculum sp. TLL-A4,747,857,2039,788,626,1118,2062,949
Muribaculaceae bacterium DSM 108610,1258,1518,8380,2060,2289,4560,8346,4274
Duncaniella dubosii,739,811,2450,814,506,1180,2129,1031
Porphyromonas gingivalis,1774,978,1429,1022,496,728,1072,638
Porphyromonas asaccharolytica,790,522,1303,561,236,542,1088,508
Porphyromonas crevioricanis,492,489,845,415,249,413,714,372
Porphyromonas cangingivalis,404,436,1148,442,362,562,1011,516
Dysgonomonas sp. HDW5B,529,509,982,500,150,467,816,395
Dysgonomonas sp. HDW5A,238,225,66,161,0,0,0,0
Proteiniphilum saccharofermentans,662,624,1117,576,270,562,971,483
Petrimonas mucosa,673,555,1025,533,285,462,862,433
Fermentimonas caenicola,264,253,668,243,161,359,637,356
Paludibacter propionicigenes,517,474,888,440,230,427,685,340
Bacteroidales bacterium CF,208,249,1141,351,440,650,1082,601
Tenuifilum thalassicum,146,88,144,89,36,84,133,63
Draconibacterium orientale,217,216,428,197,77,194,341,149
Draconibacterium sp. M1,180,149,282,137,87,116,250,99
Prolixibacteraceae bacterium WC007,231,194,218,165,48,101,170,89
Labilibaculum antarcticum,167,166,626,194,180,340,681,328
Alkalitalea saponilacus,145,176,174,133,35,80,132,67
Salinivirga cyanobacteriivorans,89,82,293,106,48,119,268,129
Flavobacterium sp. P2-65,107,90,190,116,78,128,184,106
Flavobacterium sp. KBS0721,96,67,308,86,91,137,273,112
Flavobacterium sp. CJ74,80,73,376,104,139,192,332,228
Flavobacterium sp. Sr18,64,38,15,38,0,0,0,0
Flavobacterium sp. HYN0086,70,69,29,49,0,0,0,0
Flavobacterium sp. M31R6,62,39,16,41,0,0,0,0
Flavobacterium sp. I3-2,112,133,683,209,116,375,772,279
Flavobacterium sp. LPB0248,57,48,498,104,95,208,435,227
Flavobacterium sp. 140616W15,45,53,26,55,53,54,39,49
Flavobacterium sp. xlx-214,32,27,15,11,0,0,0,0
Flavobacterium johnsoniae,127,128,464,118,108,266,518,231
Flavobacterium anhuiense,131,105,95,71,37,17,53,30
Flavobacterium columnare,113,121,423,129,86,174,437,188
Flavobacterium album,94,86,66,92,92,95,85,87
Flavobacterium alkalisoli,84,51,52,53,63,71,43,52
Flavobacterium commune,83,51,223,76,47,104,215,92
Flavobacterium kingsejongi,80,107,64,95,29,30,25,42
Flavobacterium magnum,76,114,453,124,113,230,385,233
Flavobacterium arcticum,74,65,555,126,125,280,557,251
Flavobacterium nackdongense,73,43,103,36,0,28,77,45
Flavobacterium crocinum,84,55,29,55,0,0,14,19
Flavobacterium faecale,72,43,58,41,0,26,37,17
Flavobacterium pallidum,67,54,308,78,68,125,297,163
Flavobacterium branchiophilum,65,31,0,36,0,0,0,0
Flavobacterium sediminis,155,164,421,194,75,161,289,146
Flavobacterium haoranii,75,54,90,77,0,0,76,0
Flavobacterium gilvum,54,63,40,61,0,0,0,0
Flavobacterium psychrophilum,45,36,20,18,0,0,0,0
Flavobacterium nitrogenifigens,57,62,54,44,0,0,18,0
Flavobacterium sangjuense,40,45,42,26,0,23,32,11
Flavobacterium indicum,38,12,44,18,0,14,49,10
Flavobacterium crassostreae,33,54,18,33,0,0,0,0
Capnocytophaga sp. oral taxon 878,287,127,54,99,0,0,0,0
Capnocytophaga sp. FDAARGOS_737,80,89,55,71,0,0,0,0
Capnocytophaga sp. H2931,74,117,70,86,95,63,48,0
Capnocytophaga sp. oral taxon 864,40,0,0,0,0,0,0,0
Capnocytophaga sp. H4358,46,0,0,0,0,0,0,0
Capnocytophaga sp. oral taxon 902,32,0,0,0,0,0,0,0
