species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Bacteroides thetaiotaomicron,33339,26274,13745,19254,1593,2457,3885,2124
Bacteroides ovatus,28257,34272,13788,21800,843,756,767,981
Bacteroides cellulosilyticus,21581,15891,6566,10013,235,318,548,374
Bacteroides fragilis,21012,17123,8132,11920,3023,2794,2705,3029
Bacteroides intestinalis,17667,6818,3222,9058,868,1129,1013,1220
Bacteroides sp. HF-5287,12695,4445,2353,5569,843,759,825,653
Bacteroides sp. A1C1,2906,5193,4795,7566,13443,13546,9206,17209
Bacteroides sp. CBA7301,1371,1071,740,843,175,303,470,292
Bacteroides sp. CACC 737,2221,4015,4034,5868,11700,11267,7899,14500
Bacteroides caccae,15175,20897,8515,13094,116,276,480,284
Bacteroides xylanisolvens,13873,8997,3641,5659,352,411,385,552
Bacteroides uniformis,11591,26910,29084,44368,93846,91482,62623,116145
Bacteroides caecimuris,2592,1732,930,1248,385,329,417,323
Bacteroides helcogenes,1559,1661,1036,1282,420,524,549,634
Bacteroides heparinolyticus,972,1062,676,788,245,252,383,355
Bacteroides zoogleoformans,776,784,758,613,216,296,425,343
Bacteroides coprosuis,104,91,156,87,27,78,105,66
Phocaeicola dorei,20117,24260,25959,39997,162791,81607,55666,49642
Phocaeicola vulgatus,19368,48577,51894,81917,154456,169768,114533,216593
Phocaeicola salanitronis,1110,1131,1073,997,288,459,711,397
Candidatus Azobacteroides pseudotrichonymphae,22,19,0,17,0,0,0,0
Paraprevotella xylaniphila,12580,3020,2539,4214,1706,1518,1749,1265
Prevotella intermedia,4970,1713,5077,2266,973,2356,4822,2273
Prevotella jejuni,1242,447,1761,563,335,897,1833,846
Prevotella melaninogenica,1009,874,6887,2068,1461,3514,6944,3220
Prevotella denticola,678,462,2925,648,642,1454,2869,1345
Prevotella dentalis,599,693,4183,825,928,2206,4265,2008
Prevotella fusca,636,530,3968,739,770,1946,3995,1924
Hoylesella enoeca,599,319,1647,413,370,943,1570,775
Prevotella sp. oral taxon 299,488,226,1020,305,208,495,1030,418
Prevotella scopos,570,363,2273,473,453,1055,2153,1040
Segatella oris,404,645,5519,960,1177,2755,5352,2549
Xylanibacter ruminicola,349,817,7338,1413,1512,3665,7577,3528
Alloprevotella sp. E39,84,76,287,80,62,122,231,104
Alistipes shahii,11184,4182,2106,6118,3706,2348,1642,1433
Alistipes finegoldii,10447,12047,5423,8373,4804,2876,2064,1791
Alistipes onderdonkii,769,839,638,1079,2880,1710,1219,1015
Alistipes communis,609,733,633,1170,3681,2167,1469,1385
Alistipes dispar,359,484,476,769,2621,1621,1034,856
Alistipes megaguti,252,339,494,513,1531,1090,733,679
Alistipes indistinctus,171,152,119,160,332,236,174,155
Alistipes sp. dk3624,100,117,99,184,403,311,187,168
Mucinivorans hirudinis,37,39,117,44,55,68,100,52
Parabacteroides distasonis,17767,28900,12168,18095,1010,1133,958,1244
Parabacteroides sp. CT06,655,941,536,675,317,260,338,197
Tannerella forsythia,139,93,47,62,14,20,38,23
Tannerella serpentiformis,64,78,156,77,88,84,127,75
Odoribacter splanchnicus,12891,8582,3431,5362,185,193,182,202
Butyricimonas faecalis,349,419,1373,429,753,849,1380,689
Barnesiella viscericola,762,1012,760,699,450,397,479,329
Duncaniella dubosii,77,94,244,83,53,100,220,92
Muribaculaceae bacterium DSM 108610,139,159,807,183,272,459,871,456
Muribaculum intestinale,69,84,278,83,61,133,233,117
Muribaculum sp. TLL-A4,71,101,203,96,70,113,218,94
Porphyromonas gingivalis,186,103,122,113,47,59,84,55
Porphyromonas asaccharolytica,91,50,112,65,40,41,126,74
Porphyromonas crevioricanis,45,41,79,46,25,42,73,33
Porphyromonas cangingivalis,39,30,131,54,34,61,99,40
Proteiniphilum saccharofermentans,73,64,103,56,39,75,85,68
Petrimonas mucosa,71,58,85,54,32,39,91,35
Dysgonomonas sp. HDW5B,55,38,94,53,0,41,89,37
Fermentimonas caenicola,35,30,69,22,19,32,56,33
Paludibacter propionicigenes,52,46,86,45,22,47,63,36
Bacteroidales bacterium CF,16,34,108,20,57,73,116,72
Tenuifilum thalassicum,14,11,12,0,0,10,14,0
Draconibacterium orientale,20,17,55,15,0,17,35,16
Draconibacterium sp. M1,12,20,41,10,14,0,28,14
Prolixibacteraceae bacterium WC007,27,23,15,16,0,13,14,15
Labilibaculum antarcticum,23,25,78,32,12,39,67,30
Alkalitalea saponilacus,17,16,18,13,0,0,18,0
Salinivirga cyanobacteriivorans,11,0,26,0,0,0,21,12
Flavobacterium anhuiense,22,0,0,0,0,0,0,0
Flavobacterium columnare,18,14,52,0,0,18,37,20
Flavobacterium johnsoniae,18,15,62,15,0,32,54,18
Flavobacterium kingsejongi,15,13,0,16,0,0,0,0
Flavobacterium crocinum,14,0,0,0,0,0,0,0
Flavobacterium commune,11,0,26,0,0,0,19,0
Capnocytophaga sp. oral taxon 878,72,0,21,0,0,0,0,0
Capnocytophaga canimorsus,47,37,94,77,0,49,103,46
Capnocytophaga sputigena,33,40,0,0,0,0,0,0
Capnocytophaga haemolytica,15,14,50,0,13,35,55,25
Capnocytophaga stomatis,17,0,21,0,0,0,0,0
Tenacibaculum maritimum,15,0,0,0,0,0,0,0
Myroides phaeus,23,0,0,0,0,0,0,0
Sediminicola sp. YIK13,12,11,25,0,0,13,20,13
