species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Bacteroides thetaiotaomicron,2925,2437,1153,1784,93,167,278,144
Bacteroides ovatus,2840,3423,1386,2164,69,75,90,84
Bacteroides fragilis,2067,1664,770,1151,271,236,235,279
Bacteroides cellulosilyticus,1851,1379,570,862,22,34,57,32
Bacteroides intestinalis,1514,595,294,771,86,106,98,103
Bacteroides sp. HF-5287,989,326,183,417,62,54,52,62
Bacteroides sp. CBA7301,155,109,78,86,13,27,35,34
Bacteroides sp. A1C1,289,537,471,713,1415,1357,972,1715
Bacteroides sp. CACC 737,159,382,384,647,1200,1120,787,1425
Bacteroides caccae,1291,1694,712,1059,13,19,39,27
Bacteroides uniformis,1194,2752,2893,4359,9220,9179,6068,11610
Bacteroides xylanisolvens,1118,716,301,452,37,35,30,41
Bacteroides caecimuris,230,132,77,111,30,28,30,35
Bacteroides helcogenes,128,146,93,123,38,43,50,51
Prevotella heparinolytica,78,92,63,81,19,37,60,28
Bacteroides zoogleoformans,56,62,71,59,21,36,47,34
Bacteroides coprosuis,12,0,10,0,0,0,11,0
Phocaeicola dorei,1967,2397,2507,3973,16209,8096,5501,4954
Phocaeicola vulgatus,1861,4804,5091,8110,15374,16922,11365,21585
Phocaeicola salanitronis,107,83,103,91,29,43,74,38
Alistipes shahii,1120,399,193,580,278,159,121,100
Alistipes finegoldii,882,1009,444,655,317,203,136,114
Alistipes onderdonkii,68,77,62,109,200,126,105,75
Alistipes communis,43,64,56,98,268,172,109,108
Alistipes dispar,32,43,44,70,209,116,90,72
Alistipes megaguti,25,30,33,36,114,88,53,49
Alistipes indistinctus,21,15,11,0,26,20,15,12
Paraprevotella xylaniphila,1256,291,191,384,103,88,109,90
Prevotella intermedia,374,120,399,182,95,208,381,169
Prevotella melaninogenica,80,55,523,100,102,252,515,223
Prevotella jejuni,69,34,131,54,21,74,159,51
Prevotella fusca,53,46,304,60,58,153,326,161
Prevotella dentalis,46,56,340,62,91,171,332,163
Segatella oris,45,40,416,64,82,200,411,201
Prevotella denticola,45,34,279,53,59,109,227,113
Prevotella scopos,50,30,142,46,36,84,155,60
Hoylesella enoeca,37,28,127,45,28,83,154,66
Xylanibacter ruminicola,30,73,637,103,132,285,639,300
Prevotella sp. oral taxon 299,32,0,87,33,13,41,82,36
Parabacteroides distasonis,1579,2511,1006,1589,100,104,114,115
Parabacteroides sp. CT06,51,95,86,66,22,21,23,0
Tannerella forsythia,19,11,10,10,0,0,10,0
Odoribacter splanchnicus,1297,845,334,548,13,17,19,16
Butyricimonas faecalis,31,34,88,35,35,44,78,53
Barnesiella viscericola,53,73,70,52,33,22,37,16
Muribaculaceae bacterium DSM 108610,13,20,62,14,20,31,52,47
Petrimonas mucosa,10,0,0,10,0,0,13,0
Porphyromonas gingivalis,11,14,12,12,0,0,11,0
Roseburia intestinalis,1694,1749,692,1081,133,197,0,112
Roseburia hominis,1428,851,338,1065,68,46,54,49
Lachnospiraceae bacterium Choco86,230,300,129,207,5339,0,0,2475
Lachnospiraceae bacterium GAM79,146,173,61,113,4484,7255,0,1930
Lachnospiraceae bacterium,1281,2522,2324,3774,0,0,0,0
Lachnospiraceae bacterium KM106-2,30,49,19,29,0,0,0,0
