species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Bacteroides thetaiotaomicron,29714,24466,11612,17360,1052,1650,2498,1475
Bacteroides ovatus,28191,34311,13679,21695,798,776,806,936
Bacteroides fragilis,20792,16937,7858,11681,2612,2473,2504,2751
Bacteroides cellulosilyticus,18803,13579,5685,8766,219,325,553,359
Bacteroides intestinalis,15257,6028,2869,7813,855,1061,927,1170
Bacteroides sp. HF-5287,9822,3513,1810,4245,574,535,643,490
Bacteroides sp. CBA7301,1479,1103,713,906,168,269,436,285
Bacteroides sp. A1C1,2832,5135,4688,7445,13249,13270,9037,16945
Bacteroides sp. CACC 737,2136,3837,3904,5676,11456,10994,7671,14120
Bacteroides caccae,12666,17271,7068,10803,111,258,472,241
Bacteroides xylanisolvens,11338,7168,2973,4521,355,400,364,555
Bacteroides uniformis,11746,27094,28809,44577,93759,91339,61974,116165
Bacteroides caecimuris,2466,1571,855,1159,297,271,359,282
Bacteroides helcogenes,1417,1505,997,1172,410,543,595,641
Prevotella heparinolytica,859,966,719,718,267,319,468,367
Bacteroides zoogleoformans,712,695,756,564,222,323,455,390
Bacteroides coprosuis,105,83,119,72,22,58,82,54
Phocaeicola dorei,19732,24079,25431,39687,161780,81158,54931,49498
Phocaeicola vulgatus,18549,47836,51053,81017,154147,168929,113459,215740
Phocaeicola salanitronis,980,958,1170,851,261,484,814,457
Candidatus Azobacteroides pseudotrichonymphae,24,18,0,15,0,0,0,0
Alistipes shahii,11200,4100,1938,5862,2640,1674,1200,1018
Alistipes finegoldii,8745,10026,4456,6818,3367,2047,1432,1236
Alistipes onderdonkii,740,782,558,955,2191,1334,967,809
Alistipes communis,449,601,481,873,2621,1590,1085,971
Alistipes dispar,303,405,386,605,2012,1240,831,703
Alistipes megaguti,223,259,368,429,1247,853,581,560
Alistipes indistinctus,168,146,91,151,274,189,140,124
Alistipes sp. dk3624,96,115,132,163,347,266,212,162
Mucinivorans hirudinis,29,37,90,46,57,73,107,44
Paraprevotella xylaniphila,12528,2871,2102,3912,1043,995,1237,838
Prevotella intermedia,3584,1235,4004,1762,777,1827,3746,1780
Prevotella melaninogenica,790,687,5003,1048,1043,2497,4980,2345
Prevotella jejuni,805,335,1452,485,264,735,1497,677
Prevotella denticola,517,398,2530,611,512,1236,2458,1169
Prevotella dentalis,472,541,3427,734,754,1824,3464,1630
Prevotella fusca,493,424,3081,660,604,1489,3140,1514
Hoylesella enoeca,464,290,1544,397,325,777,1477,711
Prevotella scopos,438,275,1704,429,346,858,1654,809
Segatella oris,363,476,4052,772,878,2017,3999,1856
Prevotella sp. oral taxon 299,357,163,726,249,158,358,714,319
Xylanibacter ruminicola,313,716,6154,1182,1274,3071,6344,2992
Alloprevotella sp. E39,83,83,294,84,64,151,275,108
Parabacteroides distasonis,15343,24940,10346,15599,896,1063,955,1184
Parabacteroides sp. CT06,725,1123,627,766,202,190,261,158
Tannerella forsythia,132,116,150,86,37,66,165,74
Tannerella serpentiformis,67,72,123,73,68,73,115,65
Odoribacter splanchnicus,12884,8526,3374,5313,164,158,141,166
Butyricimonas faecalis,318,317,830,326,435,497,785,414
Barnesiella viscericola,626,795,675,558,311,304,389,243
Duncaniella dubosii,90,92,207,84,56,84,180,78
Muribaculaceae bacterium DSM 108610,140,150,589,170,189,346,624,326
Muribaculum intestinale,66,84,213,69,50,104,177,93
Muribaculum sp. TLL-A4,57,93,186,76,69,93,178,82
Porphyromonas gingivalis,151,107,136,104,49,71,112,61
Porphyromonas asaccharolytica,72,37,77,38,28,29,78,46
Porphyromonas crevioricanis,46,34,79,34,21,39,72,38
Porphyromonas cangingivalis,32,29,94,37,32,58,74,34
Petrimonas mucosa,86,61,111,56,33,47,118,57
Dysgonomonas sp. HDW5B,41,37,87,44,0,35,75,37
Dysgonomonas sp. HDW5A,25,24,0,21,0,0,0,0
Proteiniphilum saccharofermentans,62,77,187,65,50,103,175,88
Fermentimonas caenicola,41,34,47,24,15,24,33,23
Paludibacter propionicigenes,55,47,72,35,19,33,53,25
Bacteroidales bacterium CF,16,22,93,14,40,61,105,56
Tenuifilum thalassicum,13,10,0,0,0,0,0,0
Draconibacterium orientale,25,26,36,23,0,12,22,12
Draconibacterium sp. M1,17,19,36,19,18,14,30,15
Prolixibacteraceae bacterium WC007,30,30,14,25,12,15,16,14
Labilibaculum antarcticum,27,22,69,29,0,36,63,25
Alkalitalea saponilacus,15,15,23,13,0,0,16,13
Salinivirga cyanobacteriivorans,12,10,47,15,15,18,40,22
Flavobacterium sp. M31R6,13,0,0,0,0,0,0,0
Flavobacterium anhuiense,26,16,35,0,12,13,40,20
Flavobacterium johnsoniae,21,0,76,21,15,33,61,31
Flavobacterium commune,17,0,18,12,0,0,13,0
Flavobacterium crocinum,15,0,11,12,0,0,0,0
Flavobacterium kingsejongi,14,13,12,20,12,12,14,22
Flavobacterium columnare,13,0,23,0,0,10,20,0
Flavobacterium pallidum,11,0,22,0,0,12,21,0
Flavobacterium faecale,11,0,17,0,0,0,14,0
Capnocytophaga sp. oral taxon 878,47,31,0,0,0,0,0,0
Capnocytophaga canimorsus,45,21,57,47,0,49,52,26
Capnocytophaga sputigena,26,35,0,0,0,0,0,0
Capnocytophaga haemolytica,15,11,51,12,18,39,54,27
Capnocytophaga stomatis,16,18,24,25,0,19,30,13
Polaribacter sp. L3A8,20,0,13,0,0,14,18,14
Winogradskyella sp. PG-2,17,0,0,0,0,0,0,0
Christiangramia echinicola,11,0,0,0,0,0,0,0
Gramella fulva,11,0,10,0,0,10,0,0
Gramella sp. MAR_2010_147,12,12,0,0,0,0,0,0
Formosa agariphila,14,0,0,0,0,0,0,0
Myroides phaeus,18,0,0,0,0,0,0,0
Myroides odoratus,13,0,0,0,0,0,0,0
Kordia sp. SMS9,13,19,77,13,21,42,96,43
Zunongwangia profunda,54,57,52,0,0,39,73,42
Sediminicola sp. YIK13,14,12,16,0,0,0,15,10
Mariniflexile sp. TRM1-10,13,0,17,0,0,0,13,0
Psychroflexus torquis,10,0,25,0,10,12,33,15
Wenyingzhuangia fucanilytica,12,0,34,0,0,11,23,12
Oceanihabitans sp. IOP_32,19,0,0,0,0,0,0,0
Chryseobacterium sp. NBC 122,24,0,23,0,0,0,16,0
Chryseobacterium indologenes,24,0,29,14,0,0,23,20
Chryseobacterium gallinarum,19,13,18,13,0,0,10,0
Chryseobacterium taklimakanense,22,12,33,14,0,17,27,10
Chryseobacterium shandongense,25,17,25,20,19,18,21,0
Chryseobacterium carnis,15,0,0,0,0,0,0,0
Chryseobacterium gleum,23,26,42,0,0,14,25,0
Chryseobacterium indoltheticum,13,16,50,26,14,46,48,30
Elizabethkingia sp. JS20170427COW,14,0,0,0,0,0,0,0
Elizabethkingia anophelis,30,28,51,16,0,20,40,20
Empedobacter brevis,19,0,13,15,0,0,13,15
Empedobacter falsenii,26,0,50,0,19,21,37,17
Ornithobacterium rhinotracheale,24,31,41,31,18,28,55,22
Fluviicola taffensis,15,0,25,0,0,0,19,0
Hymenobacter sp. TS19,24,0,41,0,0,22,52,16
Hymenobacter jejuensis,17,25,28,0,21,21,37,22
Hymenobacter swuensis,18,0,0,0,0,0,0,0
Pontibacter sp. SGAir0037,19,11,20,0,11,16,24,0
Pontibacter pudoricolor,15,11,35,0,0,11,28,12
Pontibacter akesuensis,14,10,23,0,12,21,24,14
Adhaeribacter sp. KUDC8001,14,0,35,0,0,11,30,13
Rufibacter sp. DG15C,15,0,66,14,17,35,59,32
Spirosoma sp. BT328,15,0,0,0,11,0,0,0
Spirosoma sp. CJU-R4,11,0,0,0,12,0,10,0
Spirosoma sp. PL0136,10,0,0,0,0,0,0,0
Spirosoma rigui,11,16,15,12,0,0,18,17
Runella slithyformis,12,12,0,0,0,19,24,21
Fibrella sp. ES10-3-2-2,13,0,29,17,15,22,33,20
Dyadobacter fermentans,19,21,14,11,10,0,18,0
Rhodocytophaga sp. 172606-1,16,10,36,12,0,18,32,21
Leadbetterella byssophila,14,10,27,13,0,12,15,11
Arcticibacterium luteifluviistationis,14,12,11,0,0,0,0,0
Allopseudarcicella aquatilis,13,0,0,0,0,0,0,0
Cytophaga hutchinsonii,11,0,0,0,0,0,0,0
Echinicola strongylocentroti,13,10,16,13,10,13,24,12
Echinicola vietnamensis,14,13,40,0,0,0,34,22
Echinicola rosea,13,17,59,20,19,23,52,41
Cyclobacterium marinum,12,13,14,0,0,0,11,0
Flammeovirga sp. MY04,24,13,0,0,0,0,0,0
Flammeovirgaceae bacterium 311,10,18,73,18,18,41,91,35
Chryseolinea soli,13,0,19,16,10,15,16,12
Sphingobacterium sp. DR205,24,19,55,18,0,25,46,19
Sphingobacterium sp. CZ-2,20,13,48,14,0,25,26,34
Sphingobacterium hotanense,15,0,0,10,0,12,0,0
Sphingobacterium mizutaii,14,0,10,0,0,0,0,0
Sphingobacterium lactis,15,0,38,11,0,17,31,13
Sphingobacterium thalpophilum,12,15,80,23,35,22,76,38
Pedobacter sp. eg,20,14,52,15,12,29,40,22
Pedobacter sp. KBS0701,22,14,53,0,0,22,45,23
Pedobacter sp. HDW13,13,22,34,14,0,12,31,12
Pedobacter sp. PACM 27299,11,14,54,21,15,28,52,23
Pedobacter sp. G11,11,0,0,0,0,0,0,0
Pedobacter ginsengisoli,17,16,27,19,0,17,26,13
Pedobacter steynii,16,15,39,14,0,18,28,0
Pedobacter cryoconitis,13,24,0,10,0,0,0,0
Pedobacter heparinus,10,0,37,21,0,17,31,17
Mucilaginibacter sp. G2-14,15,16,47,18,13,22,45,17
Mucilaginibacter sp. HYN0043,13,13,59,12,16,22,55,28
Mucilaginibacter sp. F39-2,12,11,20,11,0,0,13,0
Mucilaginibacter paludis,12,11,11,0,11,10,0,0
Mucilaginibacter ginsenosidivorax,13,21,25,0,14,13,22,10
Mucilaginibacter gotjawali,11,11,0,0,0,0,0,0
Mucilaginibacter mallensis,11,13,46,16,18,24,38,14
Pseudopedobacter saltans,34,18,0,14,0,0,0,0
Solitalea canadensis,23,22,79,20,13,30,63,29
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,16,15,19,0,14,13,28,0
Chitinophaga sp. H33E-04,24,28,53,31,23,26,51,20
Chitinophaga sp. XS-30,12,16,39,14,10,33,39,14
Chitinophaga sp. MD30,12,11,25,0,12,16,39,14
Chitinophaga pinensis,24,33,97,31,42,60,95,55
Chitinophaga caeni,16,10,18,0,0,15,24,11
Arachidicoccus sp. KIS59-12,16,0,28,17,11,14,35,17
Flavisolibacter sp. 17J28-1,14,13,10,0,0,0,10,0
Paraflavitalea soli,23,17,40,23,12,17,34,12
Niabella ginsenosidivorans,11,12,10,0,0,0,14,13
