"old_name","current_name"
"Bacteroides heparinolyticus","Prevotella heparinolytica"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella echinicola","Christiangramia echinicola"
"Gramella forsetii","Christiangramia forsetii"
"Gramella flava","Christiangramia flava"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Candidatus Sulcia muelleri","Candidatus Karelsulcia muelleri"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021)   <species> "
"Clostridium cellulosi","[Clostridium] cellulosi"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Eubacterium sulci","[Eubacterium] sulci"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Desulfotomaculum ruminis","Desulforamulus ruminis"
"Desulfotomaculum reducens","Desulforamulus reducens"
"Desulfallas gibsoniae","Desulfoscipio gibsoniae"
"Hungateiclostridium clariflavum","Acetivibrio clariflavus"
"Hungateiclostridium thermocellum","Acetivibrio thermocellus"
"Pseudoclostridium thermosuccinogenes","Clostridium thermosuccinogenes"
"Heliobacterium modesticaldum","Heliomicrobium modesticaldum"
"Caldicellulosiruptor kristjanssonii","Caldicellulosiruptor acetigenus"
"Caldicellulosiruptor lactoaceticus","Caldicellulosiruptor acetigenus"
"Moorella thermoacetica","Neomoorella thermoacetica"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Lactobacillus sp. 1A","Ligilactobacillus saerimneri"
"Lactobacillus sp. 2D","Ligilactobacillus salivarius"
"Lactobacillus sp. 3DG","Lactobacillus johnsonii"
"Lactobacillus sp. 1D","Lactobacillus crispatus"
"Lactobacillus reuteri","Limosilactobacillus reuteri"
"Lactobacillus salivarius","Ligilactobacillus salivarius"
"Lactobacillus casei","Lacticaseibacillus casei"
"Lactobacillus zeae","Lacticaseibacillus zeae"
"Lactobacillus paracasei","Lacticaseibacillus paracasei"
"Lactobacillus plantarum","Lactiplantibacillus plantarum"
"Lactobacillus rhamnosus","Lacticaseibacillus rhamnosus"
"Lactobacillus animalis","Ligilactobacillus animalis"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Lactobacillus paralimentarius","Companilactobacillus paralimentarius"
"Lactobacillus crustorum","Companilactobacillus crustorum"
