"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron",167,29714,24466,11612,17360,1052,1650,2498,1475
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides ovatus",162,28191,34311,13679,21695,798,776,806,936
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides fragilis",158,20792,16937,7858,11681,2612,2473,2504,2751
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides cellulosilyticus",156,18803,13579,5685,8766,219,325,553,359
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","Bacteroides intestinalis",161,15257,6028,2869,7813,855,1061,927,1170
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. HF-5287","Bacteroides sp. HF-5287",166,9822,3513,1810,4245,574,535,643,490
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CBA7301","Bacteroides sp. CBA7301",165,1479,1103,713,906,168,269,436,285
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. A1C1","Bacteroides sp. A1C1",163,2832,5135,4688,7445,13249,13270,9037,16945
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CACC 737","Bacteroides sp. CACC 737",164,2136,3837,3904,5676,11456,10994,7671,14120
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides caccae",154,12666,17271,7068,10803,111,258,472,241
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides xylanisolvens",169,11338,7168,2973,4521,355,400,364,555
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides uniformis",168,11746,27094,28809,44577,93759,91339,61974,116165
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris","Bacteroides caecimuris",155,2466,1571,855,1159,297,271,359,282
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides helcogenes","Bacteroides helcogenes",159,1417,1505,997,1172,410,543,595,641
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides heparinolyticus","Prevotella heparinolytica",160,859,966,719,718,267,319,468,367
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides zoogleoformans","Bacteroides zoogleoformans",170,712,695,756,564,222,323,455,390
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides coprosuis","Bacteroides coprosuis",157,105,83,119,72,22,58,82,54
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","o_Bacteroidales","Phocaeicola","Phocaeicola dorei","Phocaeicola dorei",957,19732,24079,25431,39687,161780,81158,54931,49498
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","o_Bacteroidales","Phocaeicola","Phocaeicola vulgatus","Phocaeicola vulgatus",959,18549,47836,51053,81017,154147,168929,113459,215740
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","o_Bacteroidales","Phocaeicola","Phocaeicola salanitronis","Phocaeicola salanitronis",958,980,958,1170,851,261,484,814,457
