Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus soli (ex Cha et al. 2016),'Deinococcus soli' Cha et al. 2014,1,494,550,475,577,311,274,282,332
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Salisediminibacterium,Salisediminibacterium selenitireducens,[Bacillus] selenitireducens,2,472,458,401,486,509,542,390,463
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Brevibacterium flavum,[Brevibacterium] flavum,3,617,450,367,581,531,238,175,288
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,[Clostridium] cellulolyticum,4,695,873,1009,1102,736,1286,1195,1116
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,f_Oscillospiraceae,Clostridium cellulosi,[Clostridium] cellulosi,5,2526,3513,3134,4285,1549,1525,891,2028
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio clariflavus,[Clostridium] clariflavum,6,743,782,773,920,800,1022,886,949
NA,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum propionicum,[Clostridium] propionicum,7,893,1228,1199,1535,919,1735,1297,1543
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,[Clostridium] saccharolyticum,8,1495,1817,1424,2193,5406,12868,8867,8776
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Thermoclostridium,Thermoclostridium stercorarium,[Clostridium] stercorarium,9,488,667,580,784,427,786,680,724
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,[Enterobacter] aerogenes,10,504,577,521,596,649,1053,2236,1318
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens,[Eubacterium] eligens,11,4717,6577,5977,7520,70967,180222,103133,114094
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,[Eubacterium] rectale,12,519843,781002,1024523,492442,254456,281940,147344,410484
