species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
'Deinococcus soli' Cha et al. 2014,2,5,2,6,5,1,4,3
Salisediminibacterium selenitireducens,8,7,7,4,6,5,4,6
[Brevibacterium] flavum,8,5,2,4,7,1,2,2
Ruminiclostridium cellulolyticum,9,7,16,10,16,18,10,12
[Clostridium] cellulosi,22,40,42,36,9,15,9,19
Acetivibrio clariflavus,6,7,7,10,8,9,14,15
Anaerotignum propionicum,12,11,18,17,6,11,15,15
Lacrimispora saccharolytica,16,19,7,17,52,141,93,93
Thermoclostridium stercorarium,4,13,5,9,8,5,8,14
Klebsiella aerogenes,4,6,5,7,7,12,18,12
Lachnospira eligens,54,60,60,68,682,1777,1004,1137
Agathobacter rectalis,5208,7807,10273,4899,2533,2816,1437,4088
[Eubacterium] sulci,4,3,5,6,8,6,7,4
[Haemophilus] ducreyi,2,NA,1,2,1,2,NA,2
Glaesserella parasuis,3,2,2,3,5,7,5,5
[Mannheimia] succiniciproducens,5,2,1,3,1,1,2,1
[Polyangium] brachysporum,1,6,2,1,1,1,3,2
Acanthamoeba polyphaga moumouvirus,NA,1,NA,NA,1,2,NA,2
Acaryochloris marina,5,3,2,2,1,1,1,1
Acetoanaerobium sticklandii,1,1,NA,2,5,7,6,3
Acetobacter pasteurianus,8,6,6,5,13,4,5,4
Acetobacter senegalensis,3,7,1,1,2,1,NA,5
Acetobacter sp. SLV-7,2,2,NA,2,1,1,1,1
Acetobacterium woodii,6,NA,1,2,6,9,7,5
Acetohalobium arabaticum,NA,NA,1,2,2,5,5,3
Acholeplasma brassicae,1,NA,NA,1,2,3,2,1
Acholeplasma laidlawii,2,NA,NA,2,4,1,4,1
Acholeplasma oculi,2,NA,NA,2,5,4,1,NA
Acholeplasma palmae,1,2,3,4,NA,5,3,NA
Achromobacter,NA,1,NA,NA,NA,1,1,NA
Achromobacter denitrificans,3,4,12,8,1,3,2,8
Achromobacter xylosoxidans,14,15,24,25,7,10,14,10
Acidaminococcus fermentans,18,9,12,14,11,12,15,16
Acidaminococcus intestini,4,2,4,3,53,129,648,188
Acidianus hospitalis,NA,1,NA,NA,NA,NA,NA,NA
Acidianus spindle-shaped virus 1,NA,NA,NA,NA,NA,1,NA,NA
Acidihalobacter prosperus,3,2,5,1,2,4,2,1
Acidilobus saccharovorans,NA,1,NA,1,NA,NA,NA,NA
Acidimicrobium ferrooxidans,NA,1,3,NA,NA,NA,1,1
Acidiphilium cryptum,1,6,3,1,1,1,3,1
Acidiphilium multivorum,1,7,3,1,2,2,3,1
Acidipropionibacterium acidipropionici,5,8,4,7,4,2,4,3
Acidithiobacillus caldus,2,1,3,3,1,2,1,1
Acidithiobacillus ferrivorans,2,2,4,5,3,1,2,2
Acidithiobacillus ferrooxidans,3,7,3,4,1,1,NA,1
Acidobacterium capsulatum,4,6,3,5,2,2,5,NA
Acidothermus,NA,NA,1,NA,NA,NA,NA,NA
Acidothermus cellulolyticus,2,4,1,3,NA,2,NA,2
Paracidovorax avenae,7,5,11,4,5,3,4,3
Paracidovorax citrulli,8,5,12,6,1,2,4,1
[Acidovorax] ebreus,2,7,16,3,4,3,5,5
Acidovorax sp. JS42,5,5,17,6,7,2,5,7
Acidovorax sp. KKS102,12,7,5,8,3,4,7,3
Acidovorax sp. RAC01,6,5,4,3,1,3,5,4
Candidatus Aciduliprofundum boonei,NA,NA,NA,1,NA,NA,NA,1
Aciduliprofundum sp. MAR08-339,NA,NA,NA,NA,1,NA,NA,NA
Acinetobacter,NA,NA,NA,NA,NA,1,NA,NA
Acinetobacter baumannii,8,4,2,5,6,11,7,8
Acinetobacter equi,2,1,2,3,1,4,NA,1
Acinetobacter johnsonii,1,1,NA,4,4,2,3,1
Acinetobacter nosocomialis,NA,NA,NA,NA,1,5,2,NA
Acinetobacter oleivorans,NA,NA,NA,2,NA,3,1,2
Acinetobacter phage Acj61,1,NA,NA,NA,1,NA,NA,NA
Acinetobacter pittii,4,1,NA,1,4,3,5,1
Acinetobacter sp. ADP1,1,1,NA,2,NA,NA,NA,1
Acinetobacter sp. BRTC-1,2,NA,NA,NA,2,1,NA,1
Acinetobacter sp. NCu2D-2,1,NA,NA,NA,3,1,2,NA
Acinetobacter sp. TGL-Y2,1,1,2,9,2,4,1,2
Acinetobacter sp. TTH0-4,1,1,2,3,2,3,1,NA
Actinoalloteichus hymeniacidonis,4,3,3,3,2,3,1,3
Actinobacillus,NA,NA,NA,1,NA,NA,NA,NA
