species,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_50_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_50_noerr
'Deinococcus soli' Cha et al. 2014,NA,5,2,5,5,2,4,2
Salisediminibacterium selenitireducens,7,5,5,4,5,5,4,7
[Brevibacterium] flavum,7,5,2,4,5,NA,1,3
Ruminiclostridium cellulolyticum,6,4,13,7,11,15,9,11
[Clostridium] cellulosi,21,25,28,23,7,11,6,11
Acetivibrio clariflavus,6,4,3,7,7,10,12,16
Anaerotignum propionicum,7,8,11,13,6,10,12,11
Lacrimispora saccharolytica,13,15,7,15,43,117,78,77
Thermoclostridium stercorarium,3,7,2,7,8,5,6,13
Klebsiella aerogenes,3,5,3,6,7,11,34,17
Lachnospira eligens,35,39,41,41,670,1705,965,1082
Agathobacter rectalis,5091,7642,10132,4696,2394,2534,1308,3862
[Eubacterium] sulci,1,2,4,4,7,6,6,6
[Haemophilus] ducreyi,2,NA,1,2,2,1,NA,1
Glaesserella parasuis,3,1,2,3,5,7,3,7
[Mannheimia] succiniciproducens,3,2,1,2,1,1,3,1
[Polyangium] brachysporum,1,6,1,1,NA,NA,3,1
Acanthamoeba polyphaga moumouvirus,NA,1,NA,NA,2,2,NA,1
Acaryochloris marina,5,2,2,3,1,1,1,1
Acetoanaerobium sticklandii,1,1,NA,NA,7,7,8,3
Acetobacter pasteurianus,8,6,5,4,12,3,3,2
Acetobacter senegalensis,1,4,NA,1,1,1,NA,2
Acetobacter sp. SLV-7,2,2,NA,1,2,NA,1,1
Acetobacterium woodii,4,NA,1,1,7,8,5,6
Acetohalobium arabaticum,NA,NA,1,2,2,5,5,3
Acholeplasma brassicae,1,NA,NA,1,2,2,2,2
Acholeplasma laidlawii,NA,NA,NA,NA,NA,1,4,1
Acholeplasma oculi,NA,NA,NA,NA,1,3,1,NA
Acholeplasma palmae,1,2,1,3,1,3,4,NA
Achromobacter,NA,1,NA,NA,NA,1,NA,NA
Achromobacter denitrificans,3,5,8,6,1,2,2,7
Achromobacter xylosoxidans,14,15,20,21,7,12,15,9
Acidaminococcus fermentans,14,10,9,15,9,12,16,13
Acidaminococcus intestini,4,2,6,1,52,130,646,186
Acidianus hospitalis,NA,1,1,NA,NA,NA,NA,NA
Acidianus spindle-shaped virus 1,NA,NA,NA,NA,NA,1,NA,NA
Acidihalobacter prosperus,3,2,3,1,2,3,1,1
Acidilobus saccharovorans,1,1,NA,1,NA,NA,NA,NA
Acidimicrobium ferrooxidans,NA,2,2,NA,NA,NA,NA,1
Acidiphilium cryptum,1,5,2,1,1,1,3,1
Acidiphilium multivorum,1,7,2,1,2,1,3,NA
Acidipropionibacterium acidipropionici,4,3,4,7,3,1,3,2
Acidithiobacillus caldus,1,NA,2,1,2,1,NA,1
Acidithiobacillus ferrivorans,2,1,3,2,2,2,1,2
Acidithiobacillus ferrooxidans,3,3,4,4,1,NA,NA,1
Acidobacterium capsulatum,4,6,2,4,1,2,5,NA
Acidothermus,NA,NA,1,NA,NA,NA,NA,NA
Acidothermus cellulolyticus,1,3,1,2,NA,NA,1,2
Paracidovorax avenae,5,6,8,3,6,3,2,3
Paracidovorax citrulli,6,4,8,5,2,2,4,3
[Acidovorax] ebreus,2,7,11,1,5,5,6,5
Acidovorax sp. JS42,4,5,12,3,7,3,9,7
Acidovorax sp. KKS102,9,6,6,10,2,4,6,3
Acidovorax sp. RAC01,6,5,4,4,1,2,6,4
Candidatus Aciduliprofundum boonei,NA,NA,NA,NA,NA,NA,NA,1
Acinetobacter,NA,NA,NA,NA,NA,1,1,NA
Acinetobacter baumannii,9,4,2,4,5,8,13,11
Acinetobacter equi,2,NA,2,1,1,4,NA,1
