species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
'Deinococcus soli' Cha et al. 2014,53,54,33,61,25,12,31,23
Salisediminibacterium selenitireducens,43,45,37,45,53,55,38,45
[Brevibacterium] flavum,80,48,31,62,67,24,14,32
Ruminiclostridium cellulolyticum,69,93,103,97,77,140,103,134
[Clostridium] cellulosi,234,351,323,428,149,178,82,178
Acetivibrio clariflavus,71,87,68,83,88,110,100,99
Anaerotignum propionicum,84,130,137,207,85,155,138,153
Lacrimispora saccharolytica,151,177,127,210,553,1317,895,887
Thermoclostridium stercorarium,37,62,48,80,31,81,64,81
Klebsiella aerogenes,51,50,44,73,61,108,226,144
Lachnospira eligens,451,681,562,736,7092,18064,10314,11427
Agathobacter rectalis,51897,77982,102670,49329,25447,28177,14638,40886
[Eubacterium] sulci,43,34,45,60,62,89,73,65
[Haemophilus] ducreyi,14,10,13,20,23,8,16,14
Glaesserella parasuis,34,18,19,41,45,46,28,35
[Mannheimia] succiniciproducens,16,9,17,18,4,21,20,14
[Polyangium] brachysporum,32,38,35,34,27,17,24,37
Abalone shriveling syndrome-associated virus,NA,NA,NA,NA,NA,NA,4,NA
Acanthamoeba polyphaga mimivirus,NA,NA,NA,NA,2,3,4,2
Acanthamoeba polyphaga moumouvirus,4,4,4,9,5,5,4,4
Acanthocystis turfacea Chlorella virus 1,NA,2,NA,NA,NA,NA,NA,NA
Acaryochloris,NA,NA,NA,NA,NA,NA,NA,1
Acaryochloris marina,21,19,16,19,20,22,17,10
Acetoanaerobium sticklandii,16,11,15,19,27,66,86,52
Acetobacter pasteurianus,95,63,49,63,90,42,30,49
Acetobacter senegalensis,28,34,26,26,35,19,11,25
Acetobacter sp. SLV-7,20,25,12,27,18,12,10,11
Acetobacteraceae,2,3,1,1,1,NA,NA,1
Acetobacterium woodii,32,16,12,22,47,68,63,62
Acetohalobium arabaticum,3,3,7,7,20,53,41,33
Acholeplasma brassicae,6,9,6,7,11,19,14,9
Acholeplasma laidlawii,31,22,7,18,34,17,26,20
Acholeplasma oculi,30,22,6,19,39,32,24,26
Acholeplasma palmae,11,15,15,29,11,36,32,37
Achromobacter,3,1,1,3,1,NA,2,1
Achromobacter denitrificans,50,55,72,79,30,43,48,54
Achromobacter phage JWX,NA,NA,NA,NA,NA,NA,1,NA
Achromobacter xylosoxidans,188,231,227,230,127,111,166,158
Acidaminococcaceae,NA,NA,NA,1,NA,NA,NA,NA
Acidaminococcus fermentans,105,130,108,140,70,134,171,147
Acidaminococcus intestini,48,60,56,78,545,1352,6524,1929
Deltalipothrixvirus pozzuoliense,NA,1,NA,NA,NA,NA,NA,NA
Acidianus filamentous virus 8,NA,NA,NA,NA,NA,1,NA,1
Acidianus hospitalis,3,9,3,3,9,NA,3,3
Acidianus spindle-shaped virus 1,NA,NA,NA,NA,NA,1,1,NA
Acidianus tailed spindle virus,NA,NA,NA,NA,NA,NA,1,NA
Acidihalobacter prosperus,32,31,22,18,18,21,23,14
Acidilobus saccharovorans,6,4,7,2,3,3,1,3
Acidimicrobium ferrooxidans,6,11,10,6,6,7,12,13
Acidiphilium,NA,NA,NA,NA,NA,NA,NA,2
Acidiphilium cryptum,18,26,28,20,13,15,13,14
Acidiphilium multivorum,22,31,32,25,13,18,14,13
Acidipropionibacterium,NA,1,NA,NA,NA,NA,NA,NA
Acidipropionibacterium acidipropionici,58,69,72,52,34,24,26,39
Acidithiobacillus,NA,1,1,1,NA,NA,NA,NA
Acidithiobacillus caldus,28,30,18,33,31,11,11,11
Acidithiobacillus ferrivorans,25,28,25,32,22,11,19,20
Acidithiobacillus ferrooxidans,25,34,37,42,15,9,12,12
Acidobacteriaceae,NA,NA,NA,NA,1,NA,1,NA
Acidobacterium,NA,NA,1,NA,NA,NA,NA,NA
Acidobacterium capsulatum,39,41,55,53,23,27,31,25
Acidothermus,NA,NA,1,1,1,NA,NA,NA
Acidothermus cellulolyticus,22,26,18,23,9,13,7,19
Acidovorax,2,1,1,NA,1,1,NA,NA
Paracidovorax avenae,74,79,78,83,50,32,33,43
Paracidovorax citrulli,51,59,80,80,22,26,43,37
[Acidovorax] ebreus,48,54,88,72,37,42,46,51
Acidovorax sp. JS42,48,66,87,66,42,37,46,66
Acidovorax sp. KKS102,95,85,55,92,66,37,48,68
Acidovorax sp. RAC01,68,61,66,71,53,24,49,55
Candidatus Aciduliprofundum boonei,NA,1,1,1,1,NA,3,3
Aciduliprofundum sp. MAR08-339,NA,1,NA,NA,1,NA,2,3
Acinetobacter baumannii,54,41,35,56,43,70,76,65
Acinetobacter equi,19,11,15,13,21,25,18,32
Acinetobacter johnsonii,21,13,9,20,13,16,16,19
Acinetobacter nosocomialis,NA,3,2,2,6,15,17,10
Acinetobacter oleivorans,5,7,7,21,5,16,16,13
Acinetobacter phage Acj61,10,4,1,2,7,NA,NA,2
Acinetobacter phage Acj9,NA,NA,NA,NA,NA,1,NA,NA
Acinetobacter phage vB_AbaM_Acibel004,NA,NA,NA,NA,NA,1,1,NA
Acinetobacter phage vB_AbaM_IME200,NA,NA,NA,1,NA,NA,NA,NA
Acinetobacter phage YMC13/03/R2096,NA,NA,1,NA,NA,NA,NA,NA
Acinetobacter phage ZZ1,NA,NA,NA,NA,NA,NA,2,NA
Acinetobacter pittii,14,14,14,24,15,29,34,35
Acinetobacter sp. ADP1,11,15,19,21,13,16,13,19
Acinetobacter sp. BRTC-1,11,6,7,4,13,11,9,16
Acinetobacter sp. NCu2D-2,5,3,5,6,8,11,13,8
Acinetobacter sp. TGL-Y2,33,26,15,27,33,20,10,15
Acinetobacter sp. TTH0-4,19,13,15,12,18,18,13,12
Acinetobacter virus 133,NA,1,NA,NA,NA,NA,1,NA
Actinoalloteichus,NA,NA,NA,NA,NA,1,NA,NA
Actinoalloteichus hymeniacidonis,26,36,49,32,19,24,21,20
Actinobacillus,NA,NA,NA,1,NA,NA,NA,NA
Actinobacillus equuli,51,27,11,26,44,20,18,26
