species,Healthy_stool_10_1_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_50_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_100_noerr,Healthy_stool_100_50_noerr
'Deinococcus soli' Cha et al. 2014,40,52,32,47,19,15,25,24
Salisediminibacterium selenitireducens,41,34,29,39,47,47,30,37
[Brevibacterium] flavum,53,32,19,47,52,21,12,26
Ruminiclostridium cellulolyticum,49,55,84,72,61,129,95,110
[Clostridium] cellulosi,167,222,228,285,109,114,67,125
Acetivibrio clariflavus,51,62,45,62,77,98,92,84
Anaerotignum propionicum,64,93,101,128,68,148,126,128
Lacrimispora saccharolytica,131,143,104,164,447,1054,738,704
Thermoclostridium stercorarium,24,50,30,55,28,79,59,66
Klebsiella aerogenes,34,48,41,62,69,165,382,230
Lachnospira eligens,283,424,394,446,6727,17308,9869,10853
Agathobacter rectalis,50812,76384,101309,47165,24112,25465,13346,38665
[Eubacterium] sulci,30,26,36,43,53,83,62,53
[Haemophilus] ducreyi,14,10,13,19,19,9,14,11
Glaesserella parasuis,24,11,14,30,32,44,23,34
[Mannheimia] succiniciproducens,13,11,12,12,3,20,21,12
[Polyangium] brachysporum,26,40,33,32,20,17,23,31
Abalone shriveling syndrome-associated virus,NA,NA,NA,NA,NA,NA,3,NA
Acanthamoeba polyphaga mimivirus,NA,NA,NA,NA,1,4,4,2
Acanthamoeba polyphaga moumouvirus,4,4,5,9,7,5,3,4
Acanthocystis turfacea Chlorella virus 1,NA,1,NA,NA,NA,NA,NA,NA
Acaryochloris,NA,NA,NA,NA,NA,NA,NA,1
Acaryochloris marina,19,14,12,13,14,18,18,8
Acetoanaerobium sticklandii,15,9,11,12,29,61,88,48
Acetobacter pasteurianus,83,57,52,52,71,33,25,38
Acetobacter senegalensis,20,22,20,19,24,17,11,18
Acetobacter sp. SLV-7,14,21,12,19,10,8,11,10
Acetobacteraceae,1,1,1,1,1,NA,NA,1
Acetobacterium woodii,13,10,7,13,33,60,60,50
Acetohalobium arabaticum,3,2,4,6,16,49,37,30
Acholeplasma brassicae,6,6,6,6,9,18,13,8
Acholeplasma laidlawii,10,5,5,9,21,14,27,17
Acholeplasma oculi,6,4,4,7,23,23,27,17
Acholeplasma palmae,9,10,8,20,11,32,33,31
Achromobacter,1,1,1,4,NA,1,4,NA
Achromobacter denitrificans,44,53,57,55,26,39,44,56
Achromobacter xylosoxidans,168,200,206,190,111,114,157,153
Acidaminococcaceae,NA,NA,NA,NA,NA,NA,NA,1
Acidaminococcus,NA,NA,NA,NA,NA,NA,NA,1
Acidaminococcus fermentans,81,116,82,104,57,132,163,128
Acidaminococcus intestini,35,43,44,52,536,1346,6521,1917
Deltalipothrixvirus pozzuoliense,NA,1,1,NA,NA,NA,NA,NA
Acidianus filamentous virus 8,NA,NA,NA,NA,NA,1,NA,1
Acidianus hospitalis,5,8,3,4,8,NA,3,3
Acidianus spindle-shaped virus 1,NA,NA,NA,NA,NA,1,1,NA
Acidianus tailed spindle virus,NA,NA,NA,NA,NA,NA,1,NA
Acidihalobacter prosperus,32,31,18,18,18,19,18,15
Acidilobus saccharovorans,5,7,7,3,3,3,2,3
Acidimicrobium ferrooxidans,5,7,6,4,5,4,6,8
Acidiphilium,NA,NA,NA,NA,NA,NA,NA,2
Acidiphilium cryptum,16,19,22,13,13,15,18,11
Acidiphilium multivorum,18,23,21,15,12,15,16,11
Acidipropionibacterium,NA,1,NA,NA,NA,NA,NA,NA
Acidipropionibacterium acidipropionici,50,46,65,52,30,21,23,33
Acidithiobacillus,NA,NA,1,1,NA,NA,NA,NA
Acidithiobacillus caldus,27,22,9,26,24,10,9,11
Acidithiobacillus ferrivorans,21,24,23,21,13,11,15,20
Acidithiobacillus ferrooxidans,18,28,31,27,14,6,8,14
Acidobacteriaceae,NA,NA,NA,NA,1,NA,NA,NA
Acidobacterium,NA,NA,2,NA,NA,NA,NA,NA
Acidobacterium capsulatum,31,33,44,46,18,31,26,19
Acidothermus,NA,NA,1,NA,NA,NA,NA,NA
Acidothermus cellulolyticus,11,21,13,17,4,9,7,14
Acidovorax,1,NA,1,1,NA,NA,NA,NA
Paracidovorax avenae,55,58,66,60,47,28,29,36
Paracidovorax citrulli,49,49,75,68,20,25,34,35
[Acidovorax] ebreus,30,47,71,52,31,47,56,48
Acidovorax sp. JS42,30,55,80,49,32,36,80,60
Acidovorax sp. KKS102,79,72,56,77,55,38,56,62
Acidovorax sp. RAC01,58,55,57,64,43,27,50,48
Candidatus Aciduliprofundum boonei,NA,NA,1,NA,2,2,3,3
Aciduliprofundum sp. MAR08-339,NA,1,NA,NA,1,NA,1,3
Acinetobacter,NA,NA,NA,NA,NA,3,12,1
Acinetobacter baumannii,42,38,29,45,49,80,114,94
Acinetobacter equi,9,7,12,11,13,24,20,22
Acinetobacter johnsonii,17,12,9,15,12,13,26,24
Acinetobacter nosocomialis,1,2,2,NA,4,15,18,8
Acinetobacter oleivorans,3,7,6,14,5,14,19,11
Acinetobacter phage Acj61,9,3,2,2,6,NA,NA,3
Acinetobacter phage vB_AbaM_Acibel004,NA,NA,NA,NA,NA,1,1,NA
Acinetobacter phage YMC13/03/R2096,NA,NA,1,NA,NA,NA,NA,NA
Acinetobacter phage ZZ1,NA,NA,NA,NA,NA,NA,1,NA
Acinetobacter pittii,9,13,13,17,18,31,45,43
Acinetobacter sp. ADP1,10,14,18,10,14,14,12,19
Acinetobacter sp. BRTC-1,14,7,5,4,12,12,9,15
Acinetobacter sp. NCu2D-2,2,3,3,2,5,9,11,6
Acinetobacter sp. TGL-Y2,24,22,9,22,22,14,11,12
Acinetobacter sp. TTH0-4,15,10,12,7,18,15,13,9
Acinetobacter virus 133,NA,NA,NA,NA,NA,NA,1,NA
Actinoalloteichus hymeniacidonis,17,26,32,20,14,20,19,17
Actinobacillus,NA,NA,NA,NA,NA,1,3,NA
Actinobacillus equuli,35,19,5,18,30,18,15,24
Actinobacillus pleuropneumoniae,43,33,20,32,52,22,20,35
Actinobacillus succinogenes,6,8,13,8,9,15,16,13
Actinobacillus suis,9,9,12,20,14,15,22,18
Actinobacteria bacterium IMCC26256,22,12,8,15,16,10,2,12
Actinomyces,1,2,3,1,1,NA,NA,1
Actinomyces meyeri,32,24,32,20,15,6,17,19
Actinomyces oris,26,39,36,36,9,18,21,24
Actinomyces radicidentis,19,61,61,29,14,20,20,34
Actinomyces sp. oral taxon 414,45,57,62,53,7,20,32,31
Actinomyces sp. VUL4_3,13,22,12,11,8,9,7,11
Actinoplanes,NA,1,NA,3,NA,NA,NA,1
Actinoplanes friuliensis,46,63,62,48,28,36,32,43
Actinoplanes missouriensis,52,51,80,53,33,31,31,36
Actinoplanes sp. N902-109,64,77,84,62,35,30,50,44
Actinoplanes sp. SE50/110,49,58,59,57,37,31,47,28
Actinosynnema mirum,49,75,87,91,46,32,39,45
Actinotignum schaalii,12,22,19,19,12,8,10,14
Adlercreutzia,NA,NA,NA,NA,NA,NA,1,NA
Adlercreutzia equolifaciens,289,419,534,325,1069,2627,8539,3795
Adoxophyes honmai entomopoxvirus 'L',6,9,3,3,6,NA,1,2
Adoxophyes orana granulovirus,NA,NA,NA,NA,NA,NA,1,NA
Advenella kashmirensis,15,29,32,35,10,17,16,23
Advenella mimigardefordensis,14,18,17,14,10,11,12,19
Aequorivita sublithincola,20,11,9,15,26,27,29,26
Aerococcus,NA,NA,NA,1,NA,NA,NA,NA
Aerococcus christensenii,18,18,15,24,25,38,31,36
Aerococcus sanguinicola,7,11,7,17,7,13,13,12
Aerococcus urinae,10,8,5,10,5,21,24,30
Aerococcus urinaeequi,34,16,12,23,32,26,20,25
Aerococcus urinaehominis,14,7,2,10,24,22,17,15
Aerococcus viridans,4,2,4,6,12,26,31,18
Aeromicrobium,7,1,NA,2,3,1,NA,NA
Aeromicrobium erythreum,33,42,56,23,26,15,25,21
Aeromonas,2,2,NA,1,4,2,5,7
Aeromonas hydrophila,224,287,256,294,155,158,203,241
Aeromonas media,42,43,35,48,33,30,26,35
Aeromonas phage phiAS4,NA,NA,NA,NA,NA,1,NA,NA
Aeromonas phage phiAS5,NA,NA,1,NA,1,NA,NA,1
Aeromonas phage PX29,1,2,NA,1,1,NA,NA,1
Aeromonas salmonicida,60,72,47,57,41,37,31,47
Aeromonas schubertii,45,54,61,59,24,24,40,49
Aeromonas veronii,100,112,112,125,111,153,254,197
Aeromonas virus 31,NA,NA,NA,2,NA,NA,1,NA
Biquartavirus 44RR2,NA,NA,NA,2,NA,NA,1,NA
African swine fever virus,NA,NA,NA,NA,NA,NA,3,1
Agarivorans gilvus,19,17,12,17,18,8,8,11
Aggregatibacter actinomycetemcomitans,8,10,7,11,5,19,26,18
Aggregatibacter aphrophilus,16,15,19,28,20,17,23,25
Agrobacterium,4,9,5,NA,2,2,1,1
Agrobacterium fabrum,46,54,49,55,40,39,35,41
Agrobacterium tumefaciens,47,51,42,57,23,25,29,37
Agrobacterium sp. RAC06,49,40,31,40,28,27,29,21
Agrobacterium tumefaciens,146,138,133,159,110,82,84,101
Agrobacterium vitis,23,43,25,42,20,21,26,36
Agromyces,NA,NA,1,NA,NA,NA,NA,NA
Agromyces sp. AR33,22,49,61,46,20,16,22,27
Agrotis ipsilon multiple nucleopolyhedrovirus,NA,NA,NA,NA,NA,1,1,NA
Agrotis segetum granulovirus,NA,NA,NA,NA,NA,1,NA,NA
