"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus soli (ex Cha et al. 2016)","'Deinococcus soli' Cha et al. 2014",1,NA,5,2,5,5,2,4,2
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Salisediminibacterium","Salisediminibacterium selenitireducens","Salisediminibacterium selenitireducens",2,7,5,5,4,5,5,4,7
NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Brevibacterium flavum","[Brevibacterium] flavum",3,7,5,2,4,5,NA,1,3
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium cellulolyticum","Ruminiclostridium cellulolyticum",4,6,4,13,7,11,15,9,11
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","f_Oscillospiraceae","Clostridium cellulosi","[Clostridium] cellulosi",5,21,25,28,23,7,11,6,11
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio clariflavus","Acetivibrio clariflavus",6,6,4,3,7,7,10,12,16
NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum propionicum","Anaerotignum propionicum",7,7,8,11,13,6,10,12,11
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lacrimispora","Lacrimispora saccharolytica","Lacrimispora saccharolytica",8,13,15,7,15,43,117,78,77
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium stercorarium","Thermoclostridium stercorarium",9,3,7,2,7,8,5,6,13
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Klebsiella aerogenes",10,3,5,3,6,7,11,34,17
