"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus soli (ex Cha et al. 2016)","'Deinococcus soli' Cha et al. 2014",1,403,438,389,452,274,223,243,271
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Salisediminibacterium","Salisediminibacterium selenitireducens","Salisediminibacterium selenitireducens",2,382,360,323,396,432,471,366,390
NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Brevibacterium flavum","[Brevibacterium] flavum",3,424,322,254,425,397,190,145,217
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium cellulolyticum","Ruminiclostridium cellulolyticum",4,482,610,731,744,573,1047,1015,903
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","f_Oscillospiraceae","Clostridium cellulosi","[Clostridium] cellulosi",5,1612,2207,2071,2646,1008,1039,690,1358
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio clariflavus","Acetivibrio clariflavus",6,486,524,519,568,598,865,793,750
NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum propionicum","Anaerotignum propionicum",7,594,817,814,989,747,1459,1158,1247
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lacrimispora","Lacrimispora saccharolytica","Lacrimispora saccharolytica",8,1128,1394,1113,1644,4332,9996,7191,6896
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium stercorarium","Thermoclostridium stercorarium",9,364,471,413,564,360,687,605,622
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Klebsiella aerogenes",10,385,463,421,490,761,1638,3909,2197
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Lachnospira eligens",11,3136,4377,4332,4611,67299,172228,98384,108259
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",12,508585,764454,1011953,471168,240245,253537,133916,386893
NA,"Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","f_Anaerovoracaceae","Eubacterium sulci","[Eubacterium] sulci",13,319,323,371,369,476,807,667,628
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus ducreyi","[Haemophilus] ducreyi",14,144,105,82,141,156,87,131,116
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Glaesserella","Glaesserella parasuis","Glaesserella parasuis",15,270,189,183,204,300,312,258,295
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Basfia","Mannheimia succiniciproducens","[Mannheimia] succiniciproducens",16,91,114,130,132,77,173,167,146
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Caldimonas","Caldimonas brevitalea","[Polyangium] brachysporum",17,245,306,332,298,151,191,254,252
NA,"Peploviricota","Herviviricetes","Herpesvirales","Malacoherpesviridae","Aurivirus","Aurivirus haliotidmalaco1","Abalone herpesvirus Victoria/AUS/2009",18,NA,NA,NA,NA,1,2,4,2
NA,"Uroviricota","Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","Abalone shriveling syndrome-associated virus","Abalone shriveling syndrome-associated virus",19,NA,NA,NA,NA,3,4,5,2
