"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus soli (ex Cha et al. 2016)","'Deinococcus soli' Cha et al. 2014",1,40,52,32,47,19,15,25,24
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Salisediminibacterium","Salisediminibacterium selenitireducens","Salisediminibacterium selenitireducens",2,41,34,29,39,47,47,30,37
NA,"Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Brevibacterium flavum","[Brevibacterium] flavum",3,53,32,19,47,52,21,12,26
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminiclostridium","Ruminiclostridium cellulolyticum","Ruminiclostridium cellulolyticum",4,49,55,84,72,61,129,95,110
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","f_Oscillospiraceae","Clostridium cellulosi","[Clostridium] cellulosi",5,167,222,228,285,109,114,67,125
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio clariflavus","Acetivibrio clariflavus",6,51,62,45,62,77,98,92,84
NA,"Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum propionicum","Anaerotignum propionicum",7,64,93,101,128,68,148,126,128
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lacrimispora","Lacrimispora saccharolytica","Lacrimispora saccharolytica",8,131,143,104,164,447,1054,738,704
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Thermoclostridium","Thermoclostridium stercorarium","Thermoclostridium stercorarium",9,24,50,30,55,28,79,59,66
NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Klebsiella aerogenes",10,34,48,41,62,69,165,382,230
