Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
NA,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus soli (ex Cha et al. 2016),'Deinococcus soli' Cha et al. 2014,1,2,5,2,6,5,1,4,3
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Salisediminibacterium,Salisediminibacterium selenitireducens,[Bacillus] selenitireducens,2,8,7,7,4,6,5,4,6
NA,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Brevibacterium flavum,[Brevibacterium] flavum,3,8,5,2,4,7,1,2,2
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,[Clostridium] cellulolyticum,4,9,7,16,10,16,18,10,12
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,f_Oscillospiraceae,Clostridium cellulosi,[Clostridium] cellulosi,5,22,40,42,36,9,15,9,19
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio clariflavus,[Clostridium] clariflavum,6,6,7,7,10,8,9,14,15
NA,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum propionicum,[Clostridium] propionicum,7,12,11,18,17,6,11,15,15
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,[Clostridium] saccharolyticum,8,16,19,7,17,52,141,93,93
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Thermoclostridium,Thermoclostridium stercorarium,[Clostridium] stercorarium,9,4,13,5,9,8,5,8,14
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,[Enterobacter] aerogenes,10,4,6,5,7,7,12,18,12
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira eligens,[Eubacterium] eligens,11,54,60,60,68,682,1777,1004,1137
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,[Eubacterium] rectale,12,5208,7807,10273,4899,2533,2816,1437,4088
NA,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,f_Anaerovoracaceae,Eubacterium sulci,[Eubacterium] sulci,13,4,3,5,6,8,6,7,4
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus ducreyi,[Haemophilus] ducreyi,14,2,NA,1,2,1,2,NA,2
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella parasuis,[Haemophilus] parasuis,15,3,2,2,3,5,7,5,5
