"old_name","current_name"
"[Bacillus] selenitireducens","Salisediminibacterium selenitireducens"
"[Clostridium] cellulolyticum","Ruminiclostridium cellulolyticum"
"[Clostridium] clariflavum","Acetivibrio clariflavus"
"[Clostridium] propionicum","Anaerotignum propionicum"
"[Clostridium] saccharolyticum","Lacrimispora saccharolytica"
"[Clostridium] stercorarium","Thermoclostridium stercorarium"
"[Enterobacter] aerogenes","Klebsiella aerogenes"
"[Eubacterium] eligens","Lachnospira eligens"
"[Eubacterium] rectale","Agathobacter rectalis"
"[Haemophilus] parasuis","Glaesserella parasuis"
"Acidianus filamentous virus 2","Deltalipothrixvirus pozzuoliense"
"Acidianus two-tailed virus","Bicaudavirus pozzuoliense"
"Acidobacteriales","Terriglobales"
"Acidovorax avenae","Paracidovorax avenae"
"Acidovorax citrulli","Paracidovorax citrulli"
"Acidovorax ebreus","[Acidovorax] ebreus"
"Aciduliprofundum boonei","Candidatus Aciduliprofundum boonei"
"Actinobacteria","Actinomycetota"
"Aeromonas virus 25","Tulanevirus bteighttwo"
"Aeromonas virus 44RR2","Biquartavirus 44RR2"
"Aeromonas virus 65","Ishigurovirus osborne"
"Aeromonas virus Aeh1","Cinqassovirus aeh1"
"Agrobacterium sp. H13-3","Agrobacterium tumefaciens"
"Alcanivorax dieselolei","Alloalcanivorax dieselolei"
"Alcanivorax pacificus","Isoalcanivorax pacificus"
"Alcelaphine herpesvirus 1","Alcelaphine gammaherpesvirus 1"
"Alteromonas addita","Alteromonas stellipolaris"
"Anaerobaculum mobile","Acetomicrobium mobile"
"Apple stem grooving virus","Capillovirus mali"
"Arcobacter butzleri","Aliarcobacter butzleri"
"Atopobium parvulum","Lancefieldella parvula"
"Bacillus","Bacillus <firmicutes>"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Bacillus clausii","Shouchella clausii"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus endophyticus","Priestia endophytica"
"Bacillus halodurans","Halalkalibacterium halodurans"
"Bacillus lehensis","Shouchella lehensis"
"Bacillus megaterium","Priestia megaterium"
"Bacillus oceanisediminis","Cytobacillus oceanisediminis"
"Bacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Bacillus simplex","Peribacillus simplex"
"Bacillus sp. IHB B 7164","Priestia megaterium"
"Bacillus virus 250","Cecivirus cv250"
"Bacillus virus B103","Beecentumtrevirus B103"
"Bacillus virus Blastoid","Andromedavirus blastoid"
"Bacillus virus BMBtp2","Lwoffvirus BMBtp2"
