name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	11	7	0.0
Buchnera aphidicola	9	species	619958	2	2	0.0
Dictyoglomus thermophilum	14	species	1959987	2	2	0.0
Pelobacter carbinolicus	19	species	3665893	4	3	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Myxococcus	32	genus	0	1	0	0.0
Myxococcus fulvus	33	species	10026214	22	11	0.0
Myxococcus xanthus	34	species	9139763	4	0	0.0
Stigmatella aurantiaca	41	species	10260756	8	3	0.0
Archangium gephyra	48	species	12489432	7	4	0.0
Chondromyces crocatus	52	species	11388132	5	3	0.0
Sorangium cellulosum	56	species	13907952	11	7	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Runella slithyformis	106	species	6919729	10	7	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	1	0.0
Planctopirus limnophila	120	species	5460085	4	1	0.0
Pirellula staleyi	125	species	6196199	3	2	0.0
Isosphaera pallida	128	species	5529304	3	2	0.0
Borreliella burgdorferi	139	species	1329613	2	2	0.0
Borrelia turicatae	142	species	917330	1	1	0.0
Spirochaeta thermophila	154	species	2516433	4	3	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	7	1	0.0
Treponema succinifaciens	167	species	2897425	31	11	0.0
Leptospira borgpetersenii	174	species	3948532	1	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	15	4	0.0
Azospirillum lipoferum	193	species	7223069	19	7	0.0
Campylobacter coli	195	species	5104439	1	1	0.0
Campylobacter fetus	196	species	1876301	1	0	0.0
Campylobacter jejuni	197	species	6156435	1	1	0.0
Campylobacter concisus	199	species	1969727	6	5	0.0
Campylobacter curvus	200	species	1971270	1	1	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter pylori	210	species	2044699	4	3	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter mustelae	217	species	1578097	1	1	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	3	0	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Francisella tularensis	263	species	2777166	2	0	0.0
Paracoccus denitrificans	266	species	5236194	8	7	0.0
Thermus aquaticus	271	species	2338641	4	2	0.0
Thermus thermophilus	274	species	2214494	4	2	0.0
Meiothermus ruber	277	species	3097457	4	3	0.0
Xanthobacter autotrophicus	280	species	5625098	6	2	0.0
Comamonas testosteroni	285	species	5695231	16	11	0.0
Pseudomonas	286	genus	0	3	0	0.0
Pseudomonas aeruginosa	287	species	22457305	22	9	0.0
Burkholderia cepacia	292	species	13365495	18	3	0.0
Pseudomonas fluorescens	294	species	14826544	44	9	0.0
Pseudomonas fragi	296	species	5101809	7	3	0.0
Pseudomonas mendocina	300	species	5293211	10	5	0.0
Pseudomonas putida	303	species	6888188	45	22	0.0
Ralstonia solanacearum	305	species	11186335	19	11	0.0
Pseudomonas stutzeri	316	species	7755802	32	18	0.0
Pseudomonas syringae	317	species	6129101	17	3	0.0
Ralstonia pickettii	329	species	6378979	10	2	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	3	0	0.0
Burkholderia glumae	337	species	7333967	9	4	0.0
Xanthomonas campestris	339	species	7063896	25	11	0.0
Xanthomonas translucens	343	species	4638247	8	5	0.0
Xanthomonas citri	346	species	17318955	6	0	0.0
Xanthomonas oryzae	347	species	17545599	18	6	0.0
Azotobacter chroococcum	353	species	5192286	9	7	0.0
Azotobacter vinelandii	354	species	5351632	12	2	0.0
Agrobacterium tumefaciens	358	species	9211775	25	8	0.0
Agrobacterium vitis	373	species	6320946	5	0	0.0
Bradyrhizobium	374	genus	0	3	0	0.0
Bradyrhizobium japonicum	375	species	9215796	11	3	0.0
Bradyrhizobium sp.	376	species	7547693	4	1	0.0
Rhizobium	379	genus	0	2	0	0.0
Sinorhizobium fredii	380	species	6891900	12	7	0.0
Mesorhizobium loti	381	species	7539018	6	0	0.0
Sinorhizobium meliloti	382	species	6962835	11	4	0.0
Rhizobium leguminosarum	384	species	7369497	23	10	0.0
Rhizobium phaseoli	396	species	87841097	13	4	0.0
Rhizobium tropici	398	species	6686334	5	1	0.0
Neorhizobium galegae	399	species	6434105	13	5	0.0
Methylobacillus flagellatus	405	species	2971517	4	2	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	4	0	0.0
Methylococcus capsulatus	414	species	3304561	3	1	0.0
Methylomonas methanica	421	species	5051681	1	0	0.0
Acetobacter pasteurianus	438	species	3216979	5	4	0.0
Gluconobacter oxydans	442	species	3306867	10	8	0.0
Legionella pneumophila	446	species	15688009	6	6	0.0
Legionella hackeliae	449	species	3570857	2	1	0.0
Acinetobacter baumannii	470	species	11595472	5	4	0.0
Moraxella catarrhalis	480	species	2846413	4	4	0.0
Neisseria gonorrhoeae	485	species	4967431	2	0	0.0
Neisseria meningitidis	487	species	8508873	17	14	0.0
Neisseria elongata	495	species	2256647	1	1	0.0
Thermomicrobium roseum	500	species	2920744	1	1	0.0
Kingella kingae	504	species	2140065	2	2	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Alcaligenes faecalis	511	species	4248684	7	3	0.0
Bordetella	517	genus	0	2	0	0.0
Bordetella bronchiseptica	518	species	6491145	8	0	0.0
Bordetella parapertussis	519	species	4815611	8	2	0.0
Bordetella pertussis	520	species	48698463	4	1	0.0
Bordetella avium	521	species	3732255	3	1	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	7	4	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Chromobacterium	535	genus	0	2	0	0.0
Chromobacterium violaceum	536	species	4751080	13	2	0.0
Zymomonas mobilis	542	species	2426073	1	0	0.0
Citrobacter koseri	545	species	4735357	4	4	0.0
Citrobacter freundii	546	species	16193243	11	5	0.0
[Enterobacter] aerogenes	548	species	10750562	7	2	0.0
Pantoea agglomerans	549	species	9924054	5	1	0.0
Enterobacter cloacae	550	species	10083180	9	2	0.0
Erwinia amylovora	552	species	3869718	1	0	0.0
Pantoea ananatis	553	species	4842757	3	2	0.0
Pectobacterium carotovorum	554	species	4852842	8	4	0.0
Escherichia coli	562	species	12319210	16	3	0.0
Shimwellia blattae	563	species	4158725	4	3	0.0
Escherichia fergusonii	564	species	4643861	9	2	0.0
Hafnia alvei	569	species	6928293	5	1	0.0
Klebsiella oxytoca	571	species	16779606	15	6	0.0
Klebsiella pneumoniae	573	species	15713353	21	8	0.0
Morganella morganii	582	species	3853791	3	1	0.0
Proteus mirabilis	584	species	5337360	3	0	0.0
