name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	1	0.0
Buchnera aphidicola	9	species	619958	5	2	0.0
Cellulomonas gilvus	11	species	3526441	2	2	0.0
Dictyoglomus thermophilum	14	species	1959987	4	3	0.0
Pelobacter carbinolicus	19	species	3665893	4	4	0.0
Shewanella putrefaciens	24	species	4749735	2	1	0.0
Myxococcus fulvus	33	species	10026214	5	1	0.0
Myxococcus xanthus	34	species	9139763	3	1	0.0
Stigmatella aurantiaca	41	species	10260756	1	1	0.0
Archangium gephyra	48	species	12489432	5	5	0.0
Chondromyces crocatus	52	species	11388132	3	2	0.0
Sorangium cellulosum	56	species	13907952	5	4	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	4	2	0.0
Runella slithyformis	106	species	6919729	7	7	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	1	0.0
Planctopirus limnophila	120	species	5460085	7	6	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Borreliella burgdorferi	139	species	1329613	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	1	0.0
Treponema denticola	158	species	2843201	3	3	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	2	0.0
Treponema succinifaciens	167	species	2897425	25	8	0.000284168
Leptospira biflexa	172	species	3953768	6	5	0.0
Leptospira interrogans	173	species	5395453	1	1	0.0
Leptospira borgpetersenii	174	species	3948532	1	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	2	1	0.0
Azospirillum brasilense	192	species	13978806	8	6	0.0
Azospirillum lipoferum	193	species	7223069	3	2	0.0
Campylobacter coli	195	species	5104439	9	7	2.95167e-05
Campylobacter fetus	196	species	1876301	2	2	0.0
Campylobacter jejuni	197	species	6156435	8	4	1.71192e-72
Campylobacter concisus	199	species	1969727	2	2	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	2	2	0.0
Helicobacter pylori	210	species	2044699	7	7	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	0	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	2	0	0.0
Francisella tularensis	263	species	2777166	5	3	0.0
Paracoccus denitrificans	266	species	5236194	3	2	0.0
Thermus thermophilus	274	species	2214494	1	1	0.0
Meiothermus ruber	277	species	3097457	2	2	0.0
Xanthobacter autotrophicus	280	species	5625098	3	2	0.0
Comamonas testosteroni	285	species	5695231	10	7	6.1011e-225
Pseudomonas	286	genus	0	2	0	0.0
Pseudomonas aeruginosa	287	species	22457305	26	9	3.85195e-109
Pseudoalteromonas atlantica	288	species	5187005	2	1	0.0
Burkholderia cepacia	292	species	13365495	13	3	0.0
Pseudomonas fluorescens	294	species	14826544	15	9	0.0
Pseudomonas fragi	296	species	5101809	1	0	0.0
Pseudomonas mendocina	300	species	5293211	4	3	0.0
Pseudomonas putida	303	species	6888188	18	4	3.34643e-95
Ralstonia solanacearum	305	species	11186335	9	6	0.0
Pseudomonas stutzeri	316	species	7755802	15	6	2.13791e-100
Pseudomonas syringae	317	species	6129101	7	3	0.0
Ralstonia pickettii	329	species	6378979	27	8	4.47571e-22
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Burkholderia glumae	337	species	7333967	4	1	0.0
Xanthomonas	338	genus	0	1	0	0.0
Xanthomonas campestris	339	species	7063896	7	4	0.0
Xanthomonas translucens	343	species	4638247	3	1	0.0
Xanthomonas citri	346	species	17318955	1	1	0.0
Xanthomonas oryzae	347	species	17545599	3	2	0.0
Azotobacter chroococcum	353	species	5192286	6	2	0.0
Azotobacter vinelandii	354	species	5351632	7	2	0.0
Agrobacterium tumefaciens	358	species	9211775	7	0	0.0
