name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	4	1	0.0
Dictyoglomus thermophilum	14	species	1959987	2	2	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Myxococcus fulvus	33	species	10026214	6	3	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	6	5	0.0
Chondromyces crocatus	52	species	11388132	2	2	0.0
Sorangium cellulosum	56	species	13907952	3	2	0.0
Cyclobacterium marinum	104	species	6221273	7	6	0.0
Runella slithyformis	106	species	6919729	6	4	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Planctopirus limnophila	120	species	5460085	1	1	0.0
Pirellula staleyi	125	species	6196199	1	1	0.0
Isosphaera pallida	128	species	5529304	3	1	0.0
Borrelia hermsii	140	species	1156143	1	1	0.0
Spirochaeta thermophila	154	species	2516433	3	2	0.0
Treponema denticola	158	species	2843201	3	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	2	2	0.0
Treponema succinifaciens	167	species	2897425	48	11	0
Leptospira biflexa	172	species	3953768	1	1	0.0
Leptospira borgpetersenii	174	species	3948532	3	3	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	1	0.0
Azospirillum brasilense	192	species	13978806	10	6	0.0
Azospirillum lipoferum	193	species	7223069	4	3	0.0
Campylobacter coli	195	species	5104439	22	10	0.0
Campylobacter jejuni	197	species	6156435	16	5	8.88284e-21
Campylobacter hyointestinalis	198	species	1753331	3	3	0.0
Campylobacter concisus	199	species	1969727	1	1	0.0
Campylobacter curvus	200	species	1971270	1	1	0.0
Campylobacter lari	201	species	1576113	4	2	0.0
Helicobacter pylori	210	species	2044699	4	3	0.0
Helicobacter acinonychis	212	species	1557588	2	0	0.0
Helicobacter mustelae	217	species	1578097	1	1	0.0
Achromobacter	222	genus	0	1	0	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Francisella tularensis	263	species	2777166	6	1	0.0
Paracoccus denitrificans	266	species	5236194	3	1	0.0
Thermus aquaticus	271	species	2338641	1	0	0.0
Thermus thermophilus	274	species	2214494	1	1	0.0
Meiothermus ruber	277	species	3097457	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	3	2	0.0
Comamonas testosteroni	285	species	5695231	6	1	0.0
Pseudomonas	286	genus	0	3	0	0.0
Pseudomonas aeruginosa	287	species	22457305	11	5	8.4484e-41
Pseudoalteromonas atlantica	288	species	5187005	2	2	0.0
Burkholderia cepacia	292	species	13365495	13	1	0.0
Pseudomonas fluorescens	294	species	14826544	34	15	0.0
Pseudomonas fragi	296	species	5101809	2	0	0.0
