name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	770	477	0.0
Buchnera aphidicola	9	species	619958	141	131	0.0
Cellulomonas gilvus	11	species	3526441	274	156	0.0
Dictyoglomus thermophilum	14	species	1959987	123	108	0.0
Pelobacter carbinolicus	19	species	3665893	613	437	0.0
Phenylobacterium	20	genus	0	33	0	0.0
Shewanella	22	genus	0	26	0	0.0
Shewanella putrefaciens	24	species	4749735	210	31	0.0
Myxococcales	29	order	0	6	0	0.0
Myxococcaceae	31	family	0	3	0	0.0
Myxococcus	32	genus	0	25	0	0.0
Myxococcus fulvus	33	species	10026214	1913	764	0.0
Myxococcus xanthus	34	species	9139763	815	207	0.0
Stigmatella	40	genus	0	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	886	398	0.0
Archangium	47	genus	0	4	0	0.0
Archangium gephyra	48	species	12489432	1176	661	0.0
Polyangiaceae	49	family	0	1	0	0.0
Chondromyces	50	genus	0	9	0	0.0
Chondromyces crocatus	52	species	11388132	477	330	0.0
Sorangium cellulosum	56	species	13907952	868	625	0.0
Lysobacter	68	genus	0	11	0	0.0
Caulobacter	75	genus	0	31	0	0.0
Hyphomicrobium	81	genus	0	16	0	0.0
Hyphomonas	85	genus	0	12	0	0.0
Leptothrix	88	genus	0	11	0	0.0
Cyclobacterium marinum	104	species	6221273	369	276	0.0
Runella slithyformis	106	species	6919729	809	614	0.0
Planctomyces	118	genus	0	3	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	228	148	0.0
Planctopirus limnophila	120	species	5460085	274	173	0.0
Pirellula	123	genus	0	2	0	0.0
Pirellula staleyi	125	species	6196199	171	130	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera pallida	128	species	5529304	273	133	0.0
Methylocystis	133	genus	0	21	0	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	85	72	0.0
Borrelia hermsii	140	species	1156143	51	36	0.0
Borrelia parkeri	141	species	1030684	12	0	0.0
Borrelia turicatae	142	species	917330	61	51	0.0
Spirochaeta thermophila	154	species	2516433	501	382	0.0
Treponema denticola	158	species	2843201	212	79	0.0
Brachyspira hyodysenteriae	159	species	3055339	449	234	0.0
Treponema pallidum	160	species	1138607	30	0	0.0
Treponema succinifaciens	167	species	2897425	4402	633	0.0
Leptospira biflexa	172	species	3953768	144	71	0.0
Leptospira interrogans	173	species	5395453	173	167	0.0
Leptospira borgpetersenii	174	species	3948532	86	81	0.0
Leptospirillum ferrooxidans	180	species	2559538	76	62	0.0
Azospirillum	191	genus	0	38	0	0.0
Azospirillum brasilense	192	species	13978806	1625	799	0.0
Azospirillum lipoferum	193	species	7223069	1764	741	0.0
Campylobacter	194	genus	0	9	0	0.0
Campylobacter coli	195	species	5104439	319	220	5.99455e-07
Campylobacter fetus	196	species	1876301	62	19	0.0
Campylobacter jejuni	197	species	6156435	134	63	0.0
Campylobacter hyointestinalis	198	species	1753331	47	34	0.0
Campylobacter concisus	199	species	1969727	264	213	0.0
Campylobacter curvus	200	species	1971270	233	181	0.0
Campylobacter lari	201	species	1576113	150	39	0.0
Helicobacter pylori	210	species	2044699	390	293	0.0
Helicobacter acinonychis	212	species	1557588	66	36	0.0
Helicobacter cinaedi	213	species	2170766	45	24	0.0
Helicobacter felis	214	species	1672681	26	25	0.0
Helicobacter mustelae	217	species	1578097	36	23	0.0
Achromobacter	222	genus	0	33	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	226	27	0.0
Brucella	234	genus	0	3	0	0.0
Brucella abortus	235	species	5108028	288	0	0.0
Brucella ovis	236	species	3275590	260	1	0.0
Francisella tularensis	263	species	2777166	374	172	0.0
Paracoccus	265	genus	0	8	0	0.0
Paracoccus denitrificans	266	species	5236194	838	571	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	495	181	0.0
Thermus thermophilus	274	species	2214494	523	164	0.0
Meiothermus ruber	277	species	3097457	491	302	0.0
Xanthobacter	279	genus	0	3	0	0.0
Xanthobacter autotrophicus	280	species	5625098	701	318	0.0
Comamonas	283	genus	0	2	0	0.0
Comamonas testosteroni	285	species	5695231	1442	832	0.0
Pseudomonas	286	genus	0	287	0	0.0
Pseudomonas aeruginosa	287	species	22457305	2164	1072	0.0
Pseudoalteromonas atlantica	288	species	5187005	119	96	0.0
Burkholderia cepacia	292	species	13365495	1363	291	0.0
Pseudomonas fluorescens	294	species	14826544	4784	1731	0.0
Pseudomonas fragi	296	species	5101809	366	113	0.0
Pseudomonas mendocina	300	species	5293211	1450	433	0.0
Pseudomonas putida	303	species	6888188	4274	1607	0.0
Ralstonia solanacearum	305	species	11186335	1735	1047	0.0
Pseudomonas stutzeri	316	species	7755802	2752	1197	0.0
Pseudomonas syringae	317	species	6129101	1908	639	0.0
Ralstonia pickettii	329	species	6378979	1354	490	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	451	162	0.0
Burkholderia glumae	337	species	7333967	910	137	0.0
Xanthomonas	338	genus	0	53	0	0.0
Xanthomonas campestris	339	species	7063896	1598	632	0.0
Xanthomonas translucens	343	species	4638247	647	360	0.0
Xanthomonas citri	346	species	17318955	883	56	0.0
Xanthomonas oryzae	347	species	17545599	1007	322	0.0
Azotobacter chroococcum	353	species	5192286	878	326	0.0
Azotobacter vinelandii	354	species	5351632	862	270	0.0
Rhizobiales	356	order	0	6	0	0.0
Agrobacterium	357	genus	0	59	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1996	343	0.0
Agrobacterium vitis	373	species	6320946	592	128	0.0
Bradyrhizobium	374	genus	0	40	0	0.0
Bradyrhizobium japonicum	375	species	9215796	582	300	0.0
Bradyrhizobium sp.	376	species	7547693	445	158	0.0
Rhizobium	379	genus	0	70	0	0.0
Sinorhizobium fredii	380	species	6891900	746	252	0.0
Mesorhizobium loti	381	species	7539018	721	245	0.0
Sinorhizobium meliloti	382	species	6962835	908	242	0.0
Rhizobium leguminosarum	384	species	7369497	2000	872	0.0
Rhizobium phaseoli	396	species	87841097	849	204	0.0
Rhizobium tropici	398	species	6686334	362	149	0.0
Neorhizobium galegae	399	species	6434105	782	395	0.0
Methylobacillus flagellatus	405	species	2971517	336	162	0.0
Methylobacterium	407	genus	0	59	0	0.0
Methylobacterium extorquens	408	species	6163878	743	256	0.0
Methylococcus	413	genus	0	2	0	0.0
Methylococcus capsulatus	414	species	3304561	371	234	0.0
Methylomonas	416	genus	0	15	0	0.0
Methylomonas methanica	421	species	5051681	209	133	0.0
Acetobacteraceae	433	family	0	11	0	0.0
Acetobacter	434	genus	0	4	0	0.0
Acetobacter pasteurianus	438	species	3216979	652	451	0.0
Gluconobacter	441	genus	0	4	0	0.0
Gluconobacter oxydans	442	species	3306867	880	477	0.0
Legionella pneumophila	446	species	15688009	553	492	0.0
Legionella hackeliae	449	species	3570857	105	36	0.0
Legionella longbeachae	450	species	4149158	54	34	0.0
Tatlockia micdadei	451	species	3310028	59	33	0.0
Acinetobacter	469	genus	0	3	0	0.0
Acinetobacter baumannii	470	species	11595472	540	427	0.0
Moraxella catarrhalis	480	species	2846413	175	108	0.0
Neisseria	482	genus	0	11	0	0.0
Neisseria gonorrhoeae	485	species	4967431	312	88	0.0
Neisseria lactamica	486	species	2220606	183	27	0.0
Neisseria meningitidis	487	species	8508873	1157	585	0.0
Neisseria elongata	495	species	2256647	158	77	0.0
Psychrobacter	497	genus	0	1	0	0.0
Thermomicrobium roseum	500	species	2920744	214	187	0.0
Kingella kingae	504	species	2140065	147	95	0.0
Alcaligenaceae	506	family	0	15	0	0.0
Alcaligenes	507	genus	0	2	0	0.0
Alcaligenes faecalis	511	species	4248684	404	254	0.0
Bordetella	517	genus	0	82	0	0.0
Bordetella bronchiseptica	518	species	6491145	1181	234	0.0
Bordetella parapertussis	519	species	4815611	781	69	0.0
Bordetella pertussis	520	species	48698463	633	101	0.0
Bordetella avium	521	species	3732255	386	191	0.0
Acidiphilium	522	genus	0	1	0	0.0
Acidiphilium cryptum	524	species	3963080	188	9	0.0
Ochrobactrum	528	genus	0	3	0	0.0
Ochrobactrum anthropi	529	species	5053471	359	176	0.0
Beijerinckia indica	533	species	4418616	227	118	0.0
Chromobacterium	535	genus	0	58	0	0.0
Chromobacterium violaceum	536	species	4751080	1043	597	0.0
Zymomonas mobilis	542	species	2426073	236	157	0.0
