name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	2	0	0.0
Azorhizobium caulinodans	7	species	5369772	520	282	0.0
Buchnera aphidicola	9	species	619958	244	182	0.0
Cellulomonas gilvus	11	species	3526441	202	110	0.0
Dictyoglomus thermophilum	14	species	1959987	158	131	0.0
Pelobacter	18	genus	0	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	441	298	0.0
Phenylobacterium	20	genus	0	16	0	0.0
Shewanella	22	genus	0	9	0	0.0
Shewanella putrefaciens	24	species	4749735	139	43	0.0
Myxococcales	29	order	0	12	0	0.0
Myxococcaceae	31	family	0	3	0	0.0
Myxococcus	32	genus	0	4	0	0.0
Myxococcus fulvus	33	species	10026214	1183	468	0.0
Myxococcus xanthus	34	species	9139763	545	167	0.0
Cystobacteraceae	39	family	0	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	558	268	0.0
Archangium	47	genus	0	3	0	0.0
Archangium gephyra	48	species	12489432	715	415	0.0
Polyangiaceae	49	family	0	4	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	381	239	0.0
Sorangium cellulosum	56	species	13907952	775	564	0.0
Lysobacter	68	genus	0	5	0	0.0
Caulobacter	75	genus	0	15	0	0.0
Hyphomicrobium	81	genus	0	6	0	0.0
Hyphomonas	85	genus	0	3	0	0.0
Leptothrix	88	genus	0	6	0	0.0
Cyclobacterium marinum	104	species	6221273	336	255	0.0
Runella slithyformis	106	species	6919729	575	448	0.0
Planctomycetales	112	order	0	3	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	181	125	0.0
Planctopirus limnophila	120	species	5460085	186	139	0.0
Pirellula staleyi	125	species	6196199	128	85	0.0
Planctomycetaceae	126	family	0	3	0	0.0
Isosphaera pallida	128	species	5529304	168	92	0.0
Methylocystis	133	genus	0	7	0	0.0
Spirochaetaceae	137	family	0	4	0	0.0
Borreliella burgdorferi	139	species	1329613	67	40	0.0
Borrelia hermsii	140	species	1156143	57	37	0.0
Borrelia parkeri	141	species	1030684	49	25	0.0
Borrelia turicatae	142	species	917330	56	21	0.0
Spirochaeta thermophila	154	species	2516433	283	200	0.0
Treponema denticola	158	species	2843201	293	173	0.0
Brachyspira hyodysenteriae	159	species	3055339	407	227	0.0
Treponema pallidum	160	species	1138607	37	4	0.0
Treponema succinifaciens	167	species	2897425	4331	764	3.62366e-05
