name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	612	344	0.0
Buchnera aphidicola	9	species	619958	92	76	0.0
Cellulomonas gilvus	11	species	3526441	261	145	0.0
Dictyoglomus thermophilum	14	species	1959987	73	62	0.0
Pelobacter carbinolicus	19	species	3665893	365	286	0.0
Phenylobacterium	20	genus	0	14	0	0.0
Shewanella	22	genus	0	5	0	0.0
Shewanella putrefaciens	24	species	4749735	77	13	0.0
Myxococcales	29	order	0	4	0	0.0
Myxococcaceae	31	family	0	2	0	0.0
Myxococcus	32	genus	0	5	0	0.0
Myxococcus fulvus	33	species	10026214	1519	691	0.0
Myxococcus xanthus	34	species	9139763	588	175	0.0
Cystobacteraceae	39	family	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	650	367	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	890	536	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	496	331	0.0
Sorangium cellulosum	56	species	13907952	1152	870	0.0
Lysobacter	68	genus	0	4	0	0.0
Caulobacter	75	genus	0	17	0	0.0
Hyphomicrobium	81	genus	0	11	0	0.0
Hyphomonas	85	genus	0	4	0	0.0
Cyclobacterium marinum	104	species	6221273	226	178	0.0
Runella	105	genus	0	1	0	0.0
Runella slithyformis	106	species	6919729	562	452	0.0
Planctomycetales	112	order	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	114	85	0.0
Planctopirus limnophila	120	species	5460085	125	97	0.0
Pirellula staleyi	125	species	6196199	140	105	0.0
Isosphaera pallida	128	species	5529304	202	136	0.0
Methylocystis	133	genus	0	11	0	0.0
Borreliella burgdorferi	139	species	1329613	31	27	0.0
Borrelia hermsii	140	species	1156143	25	13	0.0
Borrelia parkeri	141	species	1030684	12	0	0.0
Borrelia turicatae	142	species	917330	28	19	0.0
Spirochaeta thermophila	154	species	2516433	374	290	0.0
Treponema denticola	158	species	2843201	181	79	0.0
Brachyspira hyodysenteriae	159	species	3055339	209	145	0.0
Treponema pallidum	160	species	1138607	11	0	0.0
Treponema succinifaciens	167	species	2897425	1814	446	1.73534e-11
Leptospira biflexa	172	species	3953768	70	37	0.0
Leptospira interrogans	173	species	5395453	138	132	0.0
Leptospira borgpetersenii	174	species	3948532	68	56	0.0
Leptospirillum ferrooxidans	180	species	2559538	44	41	0.0
Azospirillum	191	genus	0	11	0	0.0
Azospirillum brasilense	192	species	13978806	1178	642	0.0
Azospirillum lipoferum	193	species	7223069	1445	778	0.0
Campylobacter	194	genus	0	4	0	0.0
Campylobacter coli	195	species	5104439	347	265	4.70037e-06
Campylobacter fetus	196	species	1876301	33	11	0.0
Campylobacter jejuni	197	species	6156435	135	55	0.0
Campylobacter hyointestinalis	198	species	1753331	49	35	0.0
Campylobacter concisus	199	species	1969727	121	92	0.0
Campylobacter curvus	200	species	1971270	111	76	0.0
Campylobacter lari	201	species	1576113	89	48	0.0
Helicobacter pylori	210	species	2044699	274	190	0.0
Helicobacter acinonychis	212	species	1557588	41	16	0.0
Helicobacter cinaedi	213	species	2170766	41	32	0.0
Helicobacter felis	214	species	1672681	29	28	0.0
Helicobacter mustelae	217	species	1578097	25	10	0.0
Achromobacter	222	genus	0	12	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	136	23	0.0
Brucella	234	genus	0	3	0	0.0
Brucella abortus	235	species	5108028	187	0	0.0
Brucella ovis	236	species	3275590	163	0	0.0
Francisella tularensis	263	species	2777166	226	150	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	573	359	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	313	147	0.0
Thermus thermophilus	274	species	2214494	325	121	0.0
Meiothermus ruber	277	species	3097457	415	226	0.0
Xanthobacter	279	genus	0	3	0	0.0
Xanthobacter autotrophicus	280	species	5625098	489	273	0.0
Comamonas	283	genus	0	1	0	0.0
Comamonas testosteroni	285	species	5695231	910	549	0.0
Pseudomonas	286	genus	0	151	0	0.0
Pseudomonas aeruginosa	287	species	22457305	1539	817	0.0
Pseudoalteromonas atlantica	288	species	5187005	74	63	0.0
Burkholderia cepacia	292	species	13365495	1355	301	0.0
Pseudomonas fluorescens	294	species	14826544	3570	1458	0.0
Pseudomonas fragi	296	species	5101809	170	52	0.0
Pseudomonas mendocina	300	species	5293211	1066	437	0.0
Pseudomonas putida	303	species	6888188	3022	1257	0.0
Ralstonia solanacearum	305	species	11186335	1177	777	0.0
Pseudomonas stutzeri	316	species	7755802	2107	1098	0.0
Pseudomonas syringae	317	species	6129101	1318	485	0.0
Ralstonia pickettii	329	species	6378979	1121	474	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	395	127	0.0
Burkholderia glumae	337	species	7333967	736	141	0.0
Xanthomonas	338	genus	0	14	0	0.0
Xanthomonas campestris	339	species	7063896	913	405	0.0
Xanthomonas translucens	343	species	4638247	610	276	0.0
Xanthomonas citri	346	species	17318955	474	38	0.0
Xanthomonas oryzae	347	species	17545599	625	247	0.0
Azotobacter chroococcum	353	species	5192286	551	236	0.0
Azotobacter vinelandii	354	species	5351632	495	164	0.0
Rhizobiales	356	order	0	2	0	0.0
Agrobacterium	357	genus	0	36	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1223	275	0.0
Agrobacterium vitis	373	species	6320946	324	101	0.0
Bradyrhizobium	374	genus	0	34	0	0.0
Bradyrhizobium japonicum	375	species	9215796	668	364	0.0
Bradyrhizobium sp.	376	species	7547693	468	218	0.0
Rhizobium	379	genus	0	53	0	0.0
Sinorhizobium fredii	380	species	6891900	569	231	0.0
Mesorhizobium loti	381	species	7539018	695	314	0.0
Sinorhizobium meliloti	382	species	6962835	626	236	0.0
Rhizobium leguminosarum	384	species	7369497	1427	612	0.0
Rhizobium phaseoli	396	species	87841097	695	176	0.0
Rhizobium tropici	398	species	6686334	319	146	0.0
Neorhizobium galegae	399	species	6434105	598	370	0.0
Methylobacillus flagellatus	405	species	2971517	229	135	0.0
Methylobacterium	407	genus	0	30	0	0.0
Methylobacterium extorquens	408	species	6163878	708	294	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	3304561	264	152	0.0
Methylomonas	416	genus	0	5	0	0.0
Methylomonas methanica	421	species	5051681	187	137	0.0
Acetobacteraceae	433	family	0	8	0	0.0
Acetobacter	434	genus	0	1	0	0.0
Acetobacter pasteurianus	438	species	3216979	426	253	0.0
Gluconobacter	441	genus	0	1	0	0.0
Gluconobacter oxydans	442	species	3306867	481	280	0.0
Legionella pneumophila	446	species	15688009	224	211	0.0
Legionella hackeliae	449	species	3570857	63	30	0.0
Legionella longbeachae	450	species	4149158	38	36	0.0
Tatlockia micdadei	451	species	3310028	40	29	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	11595472	328	247	0.0
Moraxella catarrhalis	480	species	2846413	107	95	0.0
Neisseria	482	genus	0	6	0	0.0
Neisseria gonorrhoeae	485	species	4967431	178	69	0.0
Neisseria lactamica	486	species	2220606	104	26	0.0
Neisseria meningitidis	487	species	8508873	635	388	0.0
Neisseria elongata	495	species	2256647	117	62	0.0
Thermomicrobium roseum	500	species	2920744	129	101	0.0
Kingella kingae	504	species	2140065	76	49	0.0
Alcaligenaceae	506	family	0	12	0	0.0
Alcaligenes	507	genus	0	1	0	0.0
Alcaligenes faecalis	511	species	4248684	189	114	0.0
Bordetella	517	genus	0	23	0	0.0
Bordetella bronchiseptica	518	species	6491145	940	190	0.0
Bordetella parapertussis	519	species	4815611	659	56	0.0
Bordetella pertussis	520	species	48698463	569	108	0.0
Bordetella avium	521	species	3732255	283	170	0.0
Acidiphilium	522	genus	0	1	0	0.0
Acidiphilium cryptum	524	species	3963080	191	21	0.0
Ochrobactrum	528	genus	0	2	0	0.0
Ochrobactrum anthropi	529	species	5053471	338	187	0.0
Beijerinckia indica	533	species	4418616	150	89	0.0
Chromobacterium	535	genus	0	28	0	0.0
Chromobacterium violaceum	536	species	4751080	621	376	0.0
Zymomonas mobilis	542	species	2426073	139	84	0.0
Enterobacteriaceae	543	family	0	9	0	0.0
Citrobacter	544	genus	0	1	0	0.0
Citrobacter koseri	545	species	4735357	241	84	0.0
Citrobacter freundii	546	species	16193243	570	278	0.0
Enterobacter	547	genus	0	27	0	0.0
[Enterobacter] aerogenes	548	species	10750562	421	133	0.0
Pantoea agglomerans	549	species	9924054	481	100	0.0
Enterobacter cloacae	550	species	10083180	1471	345	0.0
Erwinia	551	genus	0	1	0	0.0
Erwinia amylovora	552	species	3869718	118	57	0.0
Pantoea ananatis	553	species	4842757	226	118	0.0
Pectobacterium carotovorum	554	species	4852842	416	217	0.0
Escherichia coli	562	species	12319210	859	248	0.0
Shimwellia blattae	563	species	4158725	469	340	0.0
Escherichia fergusonii	564	species	4643861	351	100	0.0
Hafnia alvei	569	species	6928293	209	88	0.0
Klebsiella	570	genus	0	12	0	0.0
Klebsiella oxytoca	571	species	16779606	1107	311	0.0
Klebsiella pneumoniae	573	species	15713353	1548	445	0.0
Morganella morganii	582	species	3853791	155	65	0.0
Proteus mirabilis	584	species	5337360	82	0	0.0
Proteus vulgaris	585	species	3794983	82	0	0.0
Providencia stuartii	588	species	6521015	92	61	0.0
Serratia	613	genus	0	25	0	0.0
Serratia liquefaciens	614	species	7946985	240	69	0.0
Serratia marcescens	615	species	8465231	1935	653	0.0
Shigella	620	genus	0	1	0	0.0
Shigella boydii	621	species	4698475	222	3	0.0
Shigella dysenteriae	622	species	4560911	333	40	0.0
Shigella flexneri	623	species	4763519	207	1	0.0
Shigella sonnei	624	species	6798914	223	1	0.0
Xenorhabdus nematophila	628	species	4586662	77	6	0.0
Yersinia	629	genus	0	2	0	0.0
Yersinia enterocolitica	630	species	14308813	360	205	0.0
Yersinia intermedia	631	species	4859749	149	109	0.0
Yersinia pestis	632	species	7124135	109	5	0.0
Yersinia pseudotuberculosis	633	species	9565781	196	42	0.0
Edwardsiella	635	genus	0	3	0	0.0
Edwardsiella tarda	636	species	3717889	589	235	0.0
Aeromonas	642	genus	0	7	0	0.0
Aeromonas hydrophila	644	species	7739252	2475	1315	0.0
Aeromonas salmonicida	645	species	5040536	423	142	0.0
Aeromonas media	651	species	4788430	421	146	0.0
Aeromonas schubertii	652	species	4400034	531	320	0.0
Aeromonas veronii	654	species	7214925	1038	445	0.0
Vibrio	662	genus	0	6	0	0.0
Vibrio alginolyticus	663	species	8138835	110	44	0.0
Vibrio cholerae	666	species	6170861	284	123	0.0
Aliivibrio fischeri	668	species	4273718	75	58	0.0
Vibrio harveyi	669	species	11920371	88	46	0.0
Vibrio parahaemolyticus	670	species	10344823	176	107	0.0
Vibrio vulnificus	672	species	10215744	280	226	0.0
Grimontia hollisae	673	species	3998273	139	91	0.0
Vibrio mimicus	674	species	8922704	321	179	0.0
Vibrio fluvialis	676	species	4827724	123	65	0.0
Vibrio campbellii	680	species	12090206	154	93	0.0
Vibrio natriegens	691	species	10692018	171	62	0.0
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	104	54	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	91	42	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	184	67	0.0
Actinobacillus suis	716	species	2501598	94	58	0.0
Actinobacillus equuli	718	species	2431533	85	36	0.0
Haemophilus influenzae	727	species	2672708	154	117	0.0
Haemophilus parainfluenzae	729	species	2086875	62	60	0.0
[Haemophilus] ducreyi	730	species	10121291	82	64	0.0
Histophilus somni	731	species	2138367	129	93	0.0
Aggregatibacter aphrophilus	732	species	3520359	141	111	0.0
[Haemophilus] parasuis	738	species	4546750	183	145	0.0
Pasteurella multocida	747	species	2546987	74	59	0.0
Gallibacterium anatis	750	species	2694139	69	62	0.0
Anaplasma centrale	769	species	1206806	33	4	0.0
Anaplasma marginale	770	species	1200061	49	31	0.0
Bartonella bacilliformis	774	species	1444212	37	16	0.0
Coxiella burnetii	777	species	2076694	32	25	0.0
Ehrlichia ruminantium	779	species	2264626	31	26	0.0
Rickettsia	780	genus	0	3	0	0.0
Rickettsia conorii	781	species	1268755	46	0	0.0
Rickettsia prowazekii	782	species	1111249	6	3	0.0
Rickettsia rickettsii	783	species	1265141	55	0	0.0
Orientia tsutsugamushi	784	species	2068019	30	30	0.0
Rickettsia typhi	785	species	1112275	69	46	0.0
Rickettsia akari	786	species	1231060	33	33	0.0
Rickettsia australis	787	species	1323280	43	10	0.0
Rickettsia canadensis	788	species	1155000	17	17	0.0
Bartonella quintana	803	species	1584515	10	0	0.0
Chlamydia trachomatis	813	species	1376168	6	0	0.0
Bacteroides fragilis	817	species	7824806	84787	39500	0.00126015
Bacteroides thetaiotaomicron	818	species	6390542	91664	55589	0.00692377
Bacteroides vulgatus	821	species	5163189	1723769	1541056	0.329972
Parabacteroides distasonis	823	species	4811379	10206	6115	4.11392e-05
Campylobacter gracilis	824	species	2281652	54	28	0.0
Sebaldella termitidis	826	species	4486650	231	198	0.0
Campylobacter ureolyticus	827	species	1641887	59	56	0.0
Fibrobacter succinogenes	833	species	7685639	746	588	0.0
Porphyromonas gingivalis	837	species	2343668	2276	1709	0.0
Prevotella	838	genus	0	1	0	0.0
