name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	3	2	0.0
Buchnera aphidicola	9	species	619958	2	2	0.0
Dictyoglomus thermophilum	14	species	1959987	4	4	0.0
Pelobacter carbinolicus	19	species	3665893	4	3	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus fulvus	33	species	10026214	17	9	0.0
Myxococcus xanthus	34	species	9139763	7	3	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	7	6	0.0
Chondromyces crocatus	52	species	11388132	3	1	0.0
Sorangium cellulosum	56	species	13907952	10	7	0.0
Cyclobacterium marinum	104	species	6221273	5	4	0.0
Runella slithyformis	106	species	6919729	8	4	0.0
Rubinisphaera brasiliensis	119	species	6006602	3	2	0.0
Planctopirus limnophila	120	species	5460085	1	1	0.0
Pirellula staleyi	125	species	6196199	2	2	0.0
Isosphaera pallida	128	species	5529304	1	0	0.0
Borreliella burgdorferi	139	species	1329613	2	2	0.0
Borrelia hermsii	140	species	1156143	1	1	0.0
Borrelia turicatae	142	species	917330	2	2	0.0
Treponema denticola	158	species	2843201	4	3	0.0
Brachyspira hyodysenteriae	159	species	3055339	3	1	0.0
Treponema succinifaciens	167	species	2897425	15	6	0.00012797
Leptospira biflexa	172	species	3953768	4	3	0.0
Leptospira interrogans	173	species	5395453	3	3	0.0
Leptospira borgpetersenii	174	species	3948532	2	2	0.0
Azospirillum brasilense	192	species	13978806	3	2	0.0
Azospirillum lipoferum	193	species	7223069	10	3	0.0
Campylobacter coli	195	species	5104439	9	3	8.64833e-05
Campylobacter fetus	196	species	1876301	2	2	0.0
Campylobacter jejuni	197	species	6156435	7	2	9.12609e-13
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Campylobacter concisus	199	species	1969727	3	3	0.0
Campylobacter curvus	200	species	1971270	5	4	0.0
Campylobacter lari	201	species	1576113	1	0	0.0
Helicobacter pylori	210	species	2044699	4	4	0.0
Helicobacter felis	214	species	1672681	3	2	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	1	0	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	2	0	0.0
Francisella tularensis	263	species	2777166	4	3	0.0
Paracoccus denitrificans	266	species	5236194	3	3	0.0
Meiothermus ruber	277	species	3097457	2	1	0.0
Xanthobacter autotrophicus	280	species	5625098	4	2	0.0
Comamonas testosteroni	285	species	5695231	6	5	0.0
Pseudomonas	286	genus	0	1	0	0.0
Pseudomonas aeruginosa	287	species	22457305	15	7	0.0
Burkholderia cepacia	292	species	13365495	7	2	0.0
Pseudomonas fluorescens	294	species	14826544	43	14	0.0
Pseudomonas fragi	296	species	5101809	2	1	0.0
Pseudomonas mendocina	300	species	5293211	10	1	0.0
Pseudomonas putida	303	species	6888188	16	3	0.0
Ralstonia solanacearum	305	species	11186335	4	1	0.0
Pseudomonas stutzeri	316	species	7755802	24	15	0.0
Pseudomonas syringae	317	species	6129101	15	6	0.0
Ralstonia pickettii	329	species	6378979	10	5	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	3	1	0.0
Burkholderia glumae	337	species	7333967	5	1	0.0
Xanthomonas campestris	339	species	7063896	9	3	0.0
Xanthomonas translucens	343	species	4638247	3	2	0.0
Xanthomonas citri	346	species	17318955	3	0	0.0
Xanthomonas oryzae	347	species	17545599	3	1	0.0
Azotobacter chroococcum	353	species	5192286	7	2	0.0
Azotobacter vinelandii	354	species	5351632	6	1	0.0
Agrobacterium tumefaciens	358	species	9211775	13	4	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	3	2	0.0
Bradyrhizobium sp.	376	species	7547693	4	3	0.0
Rhizobium	379	genus	0	1	0	0.0
Sinorhizobium fredii	380	species	6891900	4	1	0.0
Mesorhizobium loti	381	species	7539018	6	2	0.0
Sinorhizobium meliloti	382	species	6962835	8	3	0.0
Rhizobium leguminosarum	384	species	7369497	23	10	0.0
Rhizobium phaseoli	396	species	87841097	5	0	0.0
Rhizobium tropici	398	species	6686334	2	0	0.0
Methylobacillus flagellatus	405	species	2971517	3	1	0.0
Methylobacterium extorquens	408	species	6163878	3	1	0.0
Methylococcus capsulatus	414	species	3304561	1	1	0.0
Acetobacter pasteurianus	438	species	3216979	12	9	0.0
Gluconobacter oxydans	442	species	3306867	9	5	0.0
Legionella pneumophila	446	species	15688009	9	8	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Acinetobacter baumannii	470	species	11595472	5	2	8.76085e-65
Moraxella catarrhalis	480	species	2846413	1	1	0.0
Neisseria meningitidis	487	species	8508873	6	6	0.0
Neisseria elongata	495	species	2256647	1	1	0.0
Kingella kingae	504	species	2140065	2	1	0.0
Alcaligenes faecalis	511	species	4248684	2	1	0.0
Bordetella bronchiseptica	518	species	6491145	1	0	0.0
Bordetella parapertussis	519	species	4815611	4	2	0.0
Bordetella pertussis	520	species	48698463	2	1	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum anthropi	529	species	5053471	4	1	0.0
Beijerinckia indica	533	species	4418616	1	1	0.0
Chromobacterium violaceum	536	species	4751080	3	1	0.0
Zymomonas mobilis	542	species	2426073	3	2	0.0
Citrobacter koseri	545	species	4735357	4	1	4.87426e-66
Citrobacter freundii	546	species	16193243	11	0	3.26935e-52
Enterobacter	547	genus	0	1	0	0.0
[Enterobacter] aerogenes	548	species	10750562	7	1	3.08534e-40
Pantoea agglomerans	549	species	9924054	8	2	0.0
Enterobacter cloacae	550	species	10083180	20	4	7.02972e-47
Erwinia amylovora	552	species	3869718	1	0	0.0
Pantoea ananatis	553	species	4842757	1	0	0.0
Pectobacterium carotovorum	554	species	4852842	5	3	0.0
Escherichia coli	562	species	12319210	1395	914	0.025168
Shimwellia blattae	563	species	4158725	3	2	0.0
Escherichia fergusonii	564	species	4643861	25	3	3.52087e-26
Hafnia alvei	569	species	6928293	3	0	0.0
Klebsiella	570	genus	0	1	0	0.0
Klebsiella oxytoca	571	species	16779606	12	3	9.61241e-47
Klebsiella pneumoniae	573	species	15713353	311	248	0.00417724
Morganella morganii	582	species	3853791	3	1	1.08769e-62
Proteus mirabilis	584	species	5337360	4	0	0.0
Proteus vulgaris	585	species	3794983	4	0	0.0
Providencia stuartii	588	species	6521015	1	1	0.0
Serratia liquefaciens	614	species	7946985	2	1	0.0
Serratia marcescens	615	species	8465231	13	4	0.0
Shigella	620	genus	0	1	0	0.0
Shigella boydii	621	species	4698475	147	3	0.000320475
Shigella dysenteriae	622	species	4560911	194	4	0.000232411
Shigella flexneri	623	species	4763519	168	1	0.000184309
Shigella sonnei	624	species	6798914	160	1	1.35735e-13
Xenorhabdus nematophila	628	species	4586662	1	1	0.0
Yersinia enterocolitica	630	species	14308813	5	3	0.0
Yersinia intermedia	631	species	4859749	4	3	0.0
Yersinia pestis	632	species	7124135	1	0	0.0
Edwardsiella tarda	636	species	3717889	4	3	0.0
Aeromonas hydrophila	644	species	7739252	10	5	0.0
Aeromonas salmonicida	645	species	5040536	1	1	0.0
Aeromonas media	651	species	4788430	3	1	0.0
Aeromonas schubertii	652	species	4400034	5	2	0.0
Aeromonas veronii	654	species	7214925	14	4	8.06717e-44
Vibrio alginolyticus	663	species	8138835	6	2	0.0
Vibrio cholerae	666	species	6170861	9	7	4.69301e-72
Aliivibrio fischeri	668	species	4273718	1	1	0.0
Vibrio harveyi	669	species	11920371	3	0	0.0
Vibrio parahaemolyticus	670	species	10344823	9	3	0.0
Vibrio vulnificus	672	species	10215744	7	6	0.0
Grimontia hollisae	673	species	3998273	2	0	0.0
Vibrio mimicus	674	species	8922704	1	1	0.0
Vibrio fluvialis	676	species	4827724	8	6	0.0
Vibrio campbellii	680	species	12090206	7	1	0.0
Vibrio natriegens	691	species	10692018	6	1	0.0
Plesiomonas shigelloides	703	species	3405979	3	0	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	5	2	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Actinobacillus equuli	718	species	2431533	2	0	0.0
Haemophilus influenzae	727	species	2672708	5	3	0.0
[Haemophilus] ducreyi	730	species	10121291	2	2	0.0
Histophilus somni	731	species	2138367	1	1	0.0
[Haemophilus] parasuis	738	species	4546750	5	5	0.0
Pasteurella multocida	747	species	2546987	4	3	0.0
Gallibacterium anatis	750	species	2694139	4	4	0.0
Coxiella burnetii	777	species	2076694	2	1	0.0
Ehrlichia ruminantium	779	species	2264626	3	2	0.0
Rickettsia akari	786	species	1231060	1	1	0.0
Bacteroides fragilis	817	species	7824806	951	707	0.0179
Bacteroides thetaiotaomicron	818	species	6390542	1421	1207	0.0294631
Bacteroides vulgatus	821	species	5163189	5347	4927	0.223681
Parabacteroides distasonis	823	species	4811379	852	816	0.00708935
Sebaldella termitidis	826	species	4486650	5	5	0.0
Campylobacter ureolyticus	827	species	1641887	2	2	0.0
Fibrobacter succinogenes	833	species	7685639	12	10	0.0
Porphyromonas gingivalis	837	species	2343668	33	25	0.0
Prevotella ruminicola	839	species	3619559	715	628	0.0
Wolinella succinogenes	844	species	2110355	2	2	0.0
Fusobacterium nucleatum	851	species	2948417	12	9	0.0
Syntrophomonas wolfei	863	species	2936195	2	2	0.0
Dichelobacter nodosus	870	species	1389350	1	1	0.0
Desulfovibrio africanus	873	species	4200534	4	3	0.0
Desulfovibrio desulfuricans	876	species	3366008	8	5	0.0
Desulfovibrio salexigens	880	species	4289847	3	3	0.0
Desulfovibrio vulgaris	881	species	3802302	8	8	0.0
Desulfobulbus propionicus	894	species	3851869	2	0	0.0
Desulfococcus multivorans	897	species	4455399	1	1	0.0
Desulfomicrobium baculatum	899	species	3942657	4	3	0.0
Acidaminococcus fermentans	905	species	2329769	9	9	0.0
Megasphaera elsdenii	907	species	2504349	57	51	0.00138398
Nitrobacter hamburgensis	912	species	5011522	2	1	0.0
Nitrobacter winogradskyi	913	species	3402093	3	1	0.0
Nitrosomonas europaea	915	species	2812094	1	1	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	1	0.0
Starkeya novella	921	species	4765023	3	3	0.0
Thiomonas intermedia	926	species	3462095	2	2	0.0
