name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	70	37	0.0
Buchnera aphidicola	9	species	619958	13	13	0.0
Cellulomonas gilvus	11	species	3526441	13	8	0.0
Dictyoglomus thermophilum	14	species	1959987	17	15	0.0
Pelobacter carbinolicus	19	species	3665893	46	39	0.0
Phenylobacterium	20	genus	0	1	0	0.0
Shewanella	22	genus	0	3	0	0.0
Shewanella putrefaciens	24	species	4749735	13	2	0.0
Myxococcus	32	genus	0	2	0	0.0
Myxococcus fulvus	33	species	10026214	164	79	0.0
Myxococcus xanthus	34	species	9139763	59	11	0.0
Stigmatella aurantiaca	41	species	10260756	79	40	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	76	45	0.0
Chondromyces crocatus	52	species	11388132	46	31	0.0
Sorangium cellulosum	56	species	13907952	70	47	0.0
Caulobacter	75	genus	0	1	0	0.0
Hyphomicrobium	81	genus	0	2	0	0.0
Hyphomonas	85	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	27	19	0.0
Runella slithyformis	106	species	6919729	74	55	0.0
Rubinisphaera brasiliensis	119	species	6006602	9	6	0.0
Planctopirus limnophila	120	species	5460085	22	17	0.0
Pirellula staleyi	125	species	6196199	10	6	0.0
Isosphaera pallida	128	species	5529304	20	13	0.0
Methylocystis	133	genus	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	10	9	0.0
Borrelia hermsii	140	species	1156143	5	2	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	8	7	0.0
Spirochaeta thermophila	154	species	2516433	34	24	0.0
Treponema denticola	158	species	2843201	14	5	0.0
Brachyspira hyodysenteriae	159	species	3055339	27	19	0.0
Treponema pallidum	160	species	1138607	1	0	0.0
Treponema succinifaciens	167	species	2897425	249	58	0
Leptospira biflexa	172	species	3953768	10	5	0.0
Leptospira interrogans	173	species	5395453	15	14	0.0
Leptospira borgpetersenii	174	species	3948532	6	6	0.0
Leptospirillum ferrooxidans	180	species	2559538	5	4	0.0
Azospirillum	191	genus	0	2	0	0.0
Azospirillum brasilense	192	species	13978806	134	69	0.0
Azospirillum lipoferum	193	species	7223069	156	72	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	25	19	0.0
Campylobacter fetus	196	species	1876301	7	1	0.0
Campylobacter jejuni	197	species	6156435	13	8	0.0
Campylobacter hyointestinalis	198	species	1753331	6	5	0.0
Campylobacter concisus	199	species	1969727	25	21	0.0
Campylobacter curvus	200	species	1971270	24	23	0.0
Campylobacter lari	201	species	1576113	11	3	0.0
Helicobacter pylori	210	species	2044699	31	22	0.0
Helicobacter acinonychis	212	species	1557588	5	3	0.0
Helicobacter cinaedi	213	species	2170766	3	2	0.0
Helicobacter felis	214	species	1672681	2	2	0.0
Helicobacter mustelae	217	species	1578097	4	3	0.0
Achromobacter	222	genus	0	4	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	25	2	0.0
Brucella abortus	235	species	5108028	30	0	0.0
Brucella ovis	236	species	3275590	28	0	0.0
Francisella tularensis	263	species	2777166	29	18	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	69	52	0.0
Thermus aquaticus	271	species	2338641	34	17	0.0
Thermus thermophilus	274	species	2214494	45	20	0.0
Meiothermus ruber	277	species	3097457	45	20	0.0
Xanthobacter	279	genus	0	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	62	31	0.0
Comamonas testosteroni	285	species	5695231	123	65	0.0
Pseudomonas	286	genus	0	16	0	0.0
Pseudomonas aeruginosa	287	species	22457305	161	79	0.0
Pseudoalteromonas atlantica	288	species	5187005	10	8	0.0
