Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,489,942,983,822,1795,8374,2737,3111,2770,3333,552
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,1532,2,1,3,13,7,3,1,3,2,3
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,1533,0,0,0,1,0,0,0,0,0,0
Bacteria,Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,1534,255,330,274,268,34,64,115,90,83,146
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,1535,1,0,0,1,5,0,1,2,2,3
Bacteria,Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,p_Cyanobacteria,1536,2,0,1,9,1,0,1,0,0,1
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,1537,17,40,6,139,16,16,31,26,39,28
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,1538,0,0,0,4,1,2,4,0,0,3
Bacteria,Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,1539,44,51,21,151,581,264,363,253,283,234
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,1540,0,0,0,0,0,0,0,0,0,1
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,1541,0,0,0,0,0,0,0,0,0,5
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium 2013Arg42i,bacterium 2013Arg42i,176,0,0,0,0,0,0,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,274,13,9,7,48,46,31,25,22,22,25
Bacteria,Actinobacteria,Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,281,0,1,0,1,0,0,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC26077,Actinobacteria bacterium IMCC26077,44,0,0,0,0,0,0,0,0,1,0
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,Armatimonadetes bacterium Uphvl-Ar1,Armatimonadetes bacterium Uphvl-Ar1,139,0,0,0,0,0,0,0,0,0,1
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,Armatimonadetes bacterium Uphvl-Ar2,Armatimonadetes bacterium Uphvl-Ar2,140,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,277,219,234,227,183,8,38,72,60,55,45
Bacteria,candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,candidate division Zixibacteria bacterium,candidate division Zixibacteria bacterium,294,0,0,0,0,1,0,1,2,3,4
Bacteria,Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,Candidatus Gracilibacteria bacterium HOT-871,Candidatus Gracilibacteria bacterium HOT-871,319,0,0,0,0,0,0,0,0,0,4
Bacteria,Chlamydiae,Chlamydiia,c_Chlamydiia,c_Chlamydiia,c_Chlamydiia,c_Chlamydiia,c_Chlamydiia,279,0,0,0,0,0,0,0,0,1,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Synechococcales,o_Synechococcales,o_Synechococcales,o_Synechococcales,o_Synechococcales,1498,0,1,0,0,0,0,0,0,0,0
Bacteria,Deinococcus-Thermus,Deinococci,c_Deinococci,c_Deinococci,c_Deinococci,c_Deinococci,c_Deinococci,282,0,0,0,0,5,2,1,2,1,0
Bacteria,Firmicutes,Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,276,6,11,6,48,4,29,52,31,53,46
Bacteria,Firmicutes,Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,280,3,6,2,8,0,2,1,2,1,1
Bacteria,Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,Kiritimatiellaeota bacterium S-5007,Kiritimatiellaeota bacterium S-5007,1203,0,0,0,2,7,2,4,1,1,0
Bacteria,Planctomycetes,Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,286,0,1,0,2,1,0,0,0,0,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ETA_A1,Planctomycetes bacterium ETA_A1,1633,0,0,0,1,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan189,Planctomycetes bacterium Pan189,1634,0,0,0,0,0,0,1,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla163,Planctomycetes bacterium Pla163,1635,0,0,0,0,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SRT547,Planctomycetes bacterium SRT547,1636,0,0,0,1,0,0,0,0,1,0
