#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria	65653	63025	43296	66438	78743	69196	50941	70265
d__Bacteria|p__Lentisphaerae	0	0	0	0	2	2	0	2
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0	0	0	0	2	2	0	2
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0	0	0	0	2	2	0	2
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|s__Victivallales bacterium CCUG 44730	0	0	0	0	2	2	0	2
d__Bacteria|p__candidate division Zixibacteria	0	0	0	0	1	0	0	0
d__Bacteria|p__candidate division Zixibacteria|s__candidate division Zixibacteria bacterium	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia	0	0	0	1	1	1	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae	0	0	0	0	1	0	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	1	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0	0	0	1	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	0	0	0	1	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	0	0	0	1	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium minutum	0	0	0	1	0	1	0	0
d__Bacteria|p__Dictyoglomi	0	0	1	1	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0	0	1	1	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	0	0	1	1	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	0	0	1	1	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	0	0	1	1	0	0	0	1
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus thermophilum	0	0	0	1	0	0	0	0
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus turgidum	0	0	1	0	0	0	0	1
d__Bacteria|p__Gemmatimonadetes	0	0	1	0	0	2	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	0	0	1	0	0	2	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	0	0	1	0	0	2	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0	0	1	0	0	2	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa	0	0	0	0	0	1	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa|s__Gemmatirosa kalamazoonesis	0	0	0	0	0	1	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas	0	0	1	0	0	1	0	0
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas sp. TET16	0	0	1	0	0	1	0	0
d__Bacteria|p__Caldiserica	0	1	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia	0	1	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	1	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	0	1	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	0	1	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum exile	0	1	0	1	0	0	0	0
d__Bacteria|p__Aquificae	0	1	3	4	1	0	3	1
d__Bacteria|p__Aquificae|c__Aquificae	0	1	3	4	1	0	3	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	0	0	0	1	0	0	0	0
