#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria	6583176	6336807	4372907	6650818	7885659	6937936	5124977	7048738
d__Bacteria|p__Caldiserica	5	11	4	8	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia	5	11	4	8	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	5	11	4	8	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	5	11	4	8	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum	5	11	4	8	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae|g__Caldisericum|s__Caldisericum exile	5	11	4	8	0	0	0	0
d__Bacteria|p__Coprothermobacterota	5	2	1	1	0	0	0	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	5	2	1	1	0	0	0	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	5	2	1	1	0	0	0	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	5	2	1	1	0	0	0	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	5	2	1	1	0	0	0	0
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter|s__Coprothermobacter proteolyticus	5	2	1	1	0	0	0	0
d__Bacteria|p__Chrysiogenetes	17	20	80	21	25	28	71	38
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	17	20	80	21	25	28	71	38
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	17	20	80	21	25	28	71	38
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	17	20	80	21	25	28	71	38
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	17	20	80	21	25	28	71	38
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum indicum	17	20	80	21	25	28	71	38
d__Bacteria|p__Elusimicrobia	34	31	68	49	50	56	82	73
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	9	9	14	13	12	19	22	22
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	9	9	14	13	12	19	22	22
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	9	9	14	13	12	19	22	22
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	9	9	14	13	12	19	22	22
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium minutum	9	9	14	13	12	19	22	22
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	25	22	54	36	38	37	60	51
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	25	22	54	36	38	37	60	51
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	25	22	54	36	38	37	60	51
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	25	22	54	36	38	37	60	51
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae	8	10	49	21	38	37	60	50
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium proavitum	17	12	5	15	0	0	0	1
d__Bacteria|p__Calditrichaeota	62	46	103	52	48	70	94	83
d__Bacteria|p__Calditrichaeota|c__Calditrichae	62	46	103	52	48	70	94	83
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	62	46	103	52	48	70	94	83
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	62	46	103	52	48	70	94	83
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	62	46	103	52	48	70	94	83
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix abyssi	62	46	103	52	48	70	94	83
d__Bacteria|p__Dictyoglomi	80	59	27	59	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	80	59	27	59	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	80	59	27	59	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	80	59	27	59	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	80	59	27	59	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus turgidum	35	30	18	30	32	18	16	29
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus thermophilum	45	29	9	29	0	0	0	0
d__Bacteria|s__bacterium 2013Arg42i	20	23	8	19	0	0	0	0
d__Bacteria|s__bacterium BFN5	85	87	34	46	10	2	4	5
d__Bacteria|p__Thermodesulfobacteria	128	113	104	85	20	38	74	37
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	128	113	104	85	20	38	74	37
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	128	113	104	85	20	38	74	37
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	128	113	104	85	20	38	74	37
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus	11	10	7	10	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus|s__Thermosulfuriphilus ammonigenes	11	10	7	10	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas	14	6	4	12	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas|s__Thermosulfurimonas marina	14	6	4	12	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	19	25	9	12	3	5	2	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator indicus	19	25	9	12	3	5	2	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	20	18	6	7	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium thiodismutans	20	18	6	7	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	63	54	77	43	17	33	72	34
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium sp. TA1	11	7	3	5	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium geofontis	17	10	6	13	4	3	1	3
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium commune	35	36	68	24	13	30	71	31
d__Bacteria|g__Vampirococcus	29	39	12	20	0	0	0	0
d__Bacteria|g__Vampirococcus|s__Vampirococcus sp. LiM	29	39	12	20	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota	3	11	3	2	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota|g__Candidatus Bipolaricaulis	3	11	3	2	0	0	0	0
d__Bacteria|p__Candidatus Bipolaricaulota|g__Candidatus Bipolaricaulis|s__Candidatus Bipolaricaulis anaerobius	3	11	3	2	0	0	0	0
d__Bacteria|f__Candidatus Chazhemtobacteraceae	1	2	2	0	0	0	0	0
d__Bacteria|f__Candidatus Chazhemtobacteraceae|g__Candidatus Chazhemtobacterium	1	2	2	0	0	0	0	0
d__Bacteria|f__Candidatus Chazhemtobacteraceae|g__Candidatus Chazhemtobacterium|s__Candidatus Chazhemtobacterium aquaticus	1	2	2	0	0	0	0	0
d__Bacteria|p__Candidatus Gracilibacteria	24	14	9	20	27	25	18	23
d__Bacteria|p__Candidatus Gracilibacteria|s__Candidatus Gracilibacteria bacterium HOT-871	24	14	9	20	27	25	18	23
d__Bacteria|s__Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1)	7	3	2	3	0	0	0	0
d__Bacteria|c__Candidatus Babeliae	19	18	4	8	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales	19	18	4	8	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae	19	18	4	8	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae|g__Candidatus Babela	19	18	4	8	0	0	0	0
d__Bacteria|c__Candidatus Babeliae|o__Candidatus Babeliales|f__Candidatus Babeliaceae|g__Candidatus Babela|s__Candidatus Babela massiliensis	19	18	4	8	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria	64	81	175	78	82	95	146	82
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium oral taxon 957	0	1	0	1	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas	5	4	4	5	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas|s__Candidatus Saccharimonas aalborgensis	5	4	4	5	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium oral taxon 955	1	0	0	0	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20	4	4	0	1	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium oral taxon 488	38	53	160	60	82	95	146	82
d__Bacteria|p__Deferribacteres	158	210	347	188	69	159	293	128
d__Bacteria|p__Deferribacteres|c__Deferribacteres	158	210	347	188	69	159	293	128
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	158	210	347	188	69	159	293	128
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	158	210	347	188	69	159	293	128
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	24	32	11	28	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes sinusarabici	24	32	11	28	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	30	34	179	46	30	83	180	69
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio thiophilus	30	34	179	46	30	83	180	69
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	31	79	135	58	18	57	102	33
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio nitroreducens	31	79	135	58	18	57	102	33
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	33	34	10	22	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter desulfuricans	33	34	10	22	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	40	31	12	34	21	19	11	26
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio acetiphilus	40	31	12	34	21	19	11	26
d__Bacteria|p__Nitrospirae	202	167	230	156	102	121	206	128
d__Bacteria|p__Nitrospirae|c__Nitrospira	202	167	230	156	102	121	206	128
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	202	167	230	156	102	121	206	128
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	202	167	230	156	102	121	206	128
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	48	47	171	47	42	84	179	80
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum ferriphilum	4	17	6	6	15	5	7	3
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum sp. Group II 'CF-1'	6	3	1	4	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum ferrooxidans	18	17	160	30	27	79	172	77
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	61	49	24	39	27	19	12	35
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio yellowstonii	61	49	24	39	27	19	12	35
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	93	71	35	70	33	18	15	13
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira defluvii	12	1	1	6	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira japonica	14	7	2	8	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira moscoviensis	17	15	9	18	15	9	7	7
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira sp. KM1	20	10	7	9	11	6	6	5
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus Nitrospira inopinata	29	38	16	28	7	3	2	1
d__Bacteria|p__Synergistetes	206	227	253	187	70	142	193	116
d__Bacteria|p__Synergistetes|c__Synergistia	206	227	253	187	70	142	193	116
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	206	227	253	187	70	142	193	116
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	206	227	253	187	70	142	193	116
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium	9	14	10	10	11	9	3	8
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium|s__Aminobacterium colombiense	9	14	10	10	11	9	3	8
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas	14	17	10	16	31	23	14	19
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas|s__Aminomonas paucivorans	14	17	10	16	31	23	14	19
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga	17	18	3	14	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga|s__Thermovirga lienii	17	18	3	14	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium	19	27	11	15	2	7	1	2
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium mobile	19	27	11	15	2	7	1	2
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella	23	7	1	12	0	0	0	0
