Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,1365,1,0,1,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,1366,3568,3668,5240,3375,2480,2958,4438,2799
Archaea,Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,3617,0,1,0,0,1,0,0,1
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,3622,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,3613,46,12,16,19,30,14,14,10
Bacteria,Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,3614,1089,1133,3150,1125,932,1701,2841,1509
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,3615,2,4,0,1,0,0,0,0
Bacteria,Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,3616,1,0,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,3618,1630,2143,924,1588,478,393,321,413
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,3619,17,15,4,8,22,10,5,6
Bacteria,Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,3620,389,352,407,351,289,299,322,237
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,3621,2,0,0,1,0,0,0,0
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,3623,0,1,0,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium 2013Arg42i,bacterium 2013Arg42i,528,2,2,1,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium BFN5,bacterium BFN5,529,9,4,5,6,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),877,0,0,0,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Changjiang picorna-like virus 12,Changjiang picorna-like virus 12,1049,1,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,780,1,3,33,6,4,16,20,18
Archaea,Euryarchaeota,Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,781,1,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,785,0,2,1,0,0,0,1,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Thermobaculum,Thermobaculum terrenum,Thermobaculum terrenum,5116,0,2,0,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Vampirococcus,Vampirococcus sp. LiM,Vampirococcus sp. LiM,5226,1,1,0,0,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,770,99,88,64,69,106,67,65,42
Bacteria,Actinobacteria,Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,776,67,65,43,78,213,166,97,79
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC19121,Actinobacteria bacterium IMCC19121,111,1,1,2,1,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC25003,Actinobacteria bacterium IMCC25003,112,0,2,0,2,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC26077,Actinobacteria bacterium IMCC26077,113,3,0,0,0,0,1,2,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC26103,Actinobacteria bacterium IMCC26103,114,1,0,0,0,0,0,0,0
Bacteria,Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,p_Armatimonadetes,Armatimonadetes bacterium Uphvl-Ar2,Armatimonadetes bacterium Uphvl-Ar2,381,0,1,2,1,1,1,0,1
Bacteria,Bacteroidetes,Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,c_Bacteroidia,773,46,34,69,35,24,53,53,37
Bacteria,candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,p_candidate division Zixibacteria,candidate division Zixibacteria bacterium,candidate division Zixibacteria bacterium,857,1,1,0,2,5,0,2,1
Bacteria,Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,p_Candidatus Gracilibacteria,Candidatus Gracilibacteria bacterium HOT-871,Candidatus Gracilibacteria bacterium HOT-871,891,2,1,0,2,0,0,0,0
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,Candidatus Saccharibacteria bacterium oral taxon 488,Candidatus Saccharibacteria bacterium oral taxon 488,962,2,2,6,6,3,6,2,2
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,963,2,0,0,1,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,o_Nostocales,3546,6,10,39,9,4,15,23,14
Bacteria,Firmicutes,Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,c_Bacilli,772,155,111,95,109,45,50,46,59
Bacteria,Firmicutes,Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,c_Clostridia,775,42,69,29,39,18,17,11,25
Bacteria,Firmicutes,Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,c_Negativicutes,783,17,7,9,6,0,0,0,0
Bacteria,Firmicutes,Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,c_Tissierellia,786,2,1,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,endosymbiont TC1 of Trimyema compressum,endosymbiont TC1 of Trimyema compressum,1559,3,1,2,3,0,0,0,0
Bacteria,Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,Kiritimatiellaeota bacterium S-5007,Kiritimatiellaeota bacterium S-5007,2607,3,8,3,4,0,0,0,1
Bacteria,Planctomycetes,Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,c_Planctomycetia,784,0,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium,Planctomycetes bacterium,3893,2,1,1,0,3,1,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium CA51,Planctomycetes bacterium CA51,3894,0,0,1,0,2,0,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium EC9,Planctomycetes bacterium EC9,3895,0,0,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ElP,Planctomycetes bacterium ElP,3896,3,0,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Enr13,Planctomycetes bacterium Enr13,3897,0,0,1,1,1,3,1,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Enr17,Planctomycetes bacterium Enr17,3898,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ETA_A1,Planctomycetes bacterium ETA_A1,3899,1,0,1,3,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium FF011L,Planctomycetes bacterium FF011L,3900,1,0,1,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium HG15A2,Planctomycetes bacterium HG15A2,3901,1,1,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium HG66A1,Planctomycetes bacterium HG66A1,3902,2,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium K22_7,Planctomycetes bacterium K22_7,3904,7,2,3,2,0,1,1,2
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium K23_9,Planctomycetes bacterium K23_9,3905,1,3,1,1,0,0,0,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium KS4,Planctomycetes bacterium KS4,3906,3,3,7,6,1,4,6,6
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal35,Planctomycetes bacterium Mal35,3907,0,1,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal4,Planctomycetes bacterium Mal4,3908,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal48,Planctomycetes bacterium Mal48,3909,2,1,0,4,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium MalM14,Planctomycetes bacterium MalM14,3910,1,0,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium MalM25,Planctomycetes bacterium MalM25,3911,0,3,7,1,6,3,5,2
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan161,Planctomycetes bacterium Pan161,3912,4,1,0,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan181,Planctomycetes bacterium Pan181,3913,3,2,5,0,1,1,4,5
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan189,Planctomycetes bacterium Pan189,3914,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan216,Planctomycetes bacterium Pan216,3915,0,2,0,0,0,1,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan241w,Planctomycetes bacterium Pan241w,3916,2,8,39,6,5,12,38,19
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan258,Planctomycetes bacterium Pan258,3917,0,0,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan265,Planctomycetes bacterium Pan265,3918,1,0,9,2,5,4,5,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan44,Planctomycetes bacterium Pan44,3919,0,0,0,0,0,1,2,2
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla110,Planctomycetes bacterium Pla110,3920,6,2,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla163,Planctomycetes bacterium Pla163,3921,1,2,3,0,7,3,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla175,Planctomycetes bacterium Pla175,3922,0,2,0,3,0,0,1,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pla85_3_4,Planctomycetes bacterium Pla85_3_4,3923,0,0,6,3,0,3,4,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Poly24,Planctomycetes bacterium Poly24,3924,4,1,1,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Poly30,Planctomycetes bacterium Poly30,3925,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Q31a,Planctomycetes bacterium Q31a,3926,2,0,1,1,0,1,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SRT547,Planctomycetes bacterium SRT547,3927,2,4,5,2,0,4,4,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium SV_7m_r,Planctomycetes bacterium SV_7m_r,3928,2,1,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium TBK1r,Planctomycetes bacterium TBK1r,3929,2,0,0,0,0,0,0,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V144,Planctomycetes bacterium V144,3930,0,0,1,0,1,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V22,Planctomycetes bacterium V22,3931,2,4,27,3,6,18,30,19
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium V6,Planctomycetes bacterium V6,3932,2,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,c_Alphaproteobacteria,771,56,72,72,92,90,73,69,43
Bacteria,Proteobacteria,Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,774,62,23,13,30,20,20,20,13
Bacteria,Proteobacteria,Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,c_Deltaproteobacteria,777,5,4,1,2,1,0,1,1
Bacteria,Proteobacteria,Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,c_Epsilonproteobacteria,778,0,0,3,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,c_Gammaproteobacteria,779,478,309,353,337,149,176,259,173
Bacteria,Tenericutes,Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,c_Mollicutes,782,133,95,47,88,11,22,31,16
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MO-XQ,Tenericutes bacterium MO-XQ,5063,2,2,0,0,0,0,0,0
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,Tenericutes bacterium MZ-XQ,Tenericutes bacterium MZ-XQ,5064,2,4,2,1,0,0,0,0
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,Verrucomicrobia bacterium IMCC26134,Verrucomicrobia bacterium IMCC26134,5242,1,0,1,0,0,0,1,0
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,Verrucomicrobia bacterium S94,Verrucomicrobia bacterium S94,5243,4,5,1,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,Bicaudaviridae,f_Bicaudaviridae,Sulfolobus monocaudavirus SMV1,Sulfolobus monocaudavirus SMV1,5001,0,0,0,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Pandoravirus,Pandoravirus neocaledonia,Pandoravirus neocaledonia,3712,0,0,0,0,0,1,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Pandoravirus,Pandoravirus salinus,Pandoravirus salinus,3713,0,0,0,1,0,0,0,0
Archaea,Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,Conexivisphaera,Conexivisphaera calidus,Conexivisphaera calidus,1241,1,1,0,0,0,0,0,0
Archaea,Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,Candidatus Prometheoarchaeum,Candidatus Prometheoarchaeum syntrophicum,Candidatus Prometheoarchaeum syntrophicum,949,5,2,0,3,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,Haloferacales,o_Haloferacales,o_Haloferacales,o_Haloferacales,o_Haloferacales,3538,0,0,0,0,0,0,2,0
Archaea,Euryarchaeota,Nanohaloarchaea,c_Nanohaloarchaea,c_Nanohaloarchaea,c_Nanohaloarchaea,Nanohaloarchaea archaeon,Nanohaloarchaea archaeon,3352,0,0,0,0,0,0,0,1
