Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,d_Archaea,1449,1,0,1,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,1450,3030,3014,3916,2687,1916,2263,3199,2075
Archaea,Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,3832,0,0,0,0,2,1,1,1
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,3837,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,3828,44,10,36,24,34,33,33,17
Bacteria,Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,p_Bacteroidetes,3829,960,863,1910,857,656,1040,1692,878
Bacteria,Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,p_Candidatus Saccharibacteria,3830,5,3,1,2,0,0,0,0
Bacteria,Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,p_Chloroflexi,3831,1,0,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,3833,1376,1688,799,1321,614,602,408,660
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,3834,16,21,9,17,19,13,7,5
Bacteria,Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,p_Proteobacteria,3835,467,382,413,371,228,255,291,211
Bacteria,Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,p_Tenericutes,3836,2,0,0,1,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium 2013Arg42i,bacterium 2013Arg42i,558,3,3,1,1,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,bacterium BFN5,bacterium BFN5,559,9,6,6,6,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),932,0,0,0,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Changjiang crawfish virus 6,Changjiang crawfish virus 6,1117,0,1,0,0,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Changjiang picorna-like virus 12,Changjiang picorna-like virus 12,1118,0,0,1,0,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Halovirus HGTV-1,Halovirus HGTV-1,2609,0,0,0,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Hubei picorna-like virus 27,Hubei picorna-like virus 27,2649,0,1,0,0,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Xingshan nematode virus 1,Xingshan nematode virus 1,5722,0,1,0,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,c_Halobacteria,834,6,7,22,5,4,9,12,11
Archaea,Euryarchaeota,Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,c_Methanomicrobia,835,1,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,838,0,3,1,0,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Thermobaculum,Thermobaculum terrenum,Thermobaculum terrenum,5438,0,2,0,1,0,0,0,0
Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,d_Bacteria,Vampirococcus,Vampirococcus sp. LiM,Vampirococcus sp. LiM,5567,2,3,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,824,93,75,80,83,86,68,77,52
Bacteria,Actinobacteria,Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,c_Coriobacteriia,830,79,67,43,88,251,187,101,81
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC19121,Actinobacteria bacterium IMCC19121,121,1,1,0,1,0,0,0,1
Bacteria,Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,p_Actinobacteria,Actinobacteria bacterium IMCC25003,Actinobacteria bacterium IMCC25003,122,0,2,0,2,0,0,0,0
