"old_name","current_name"
"Candidatus Baumannia cicadellinicola","Candidatus Palibaumannia cicadellinicola"
"Candidatus Kinetoplastibacterium desouzaii","Candidatus Kinetoplastidibacterium desouzai"
"Thermosynechococcus vulcanus","Thermostichus vulcanus"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium sulci","[Eubacterium] sulci"
"Clostridium cellulosi","[Clostridium] cellulosi"
"Clostridium ultunense","Schnuerera ultunensis"
"Bacillus virus SIOphi","Siophivirus SIOphi"
"Candidatus Methanomethylophilus alvus","Methanomethylophilus alvi"
"Rhodococcus fascians","Rhodococcoides fascians"
"Pseudopropionibacterium propionicum","Arachnia propionica"
"Streptomyces cattleya","Streptantibioticus cattleyicolor"
"Atopobium parvulum","Lancefieldella parvula"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella echinicola","Christiangramia echinicola"
"Gramella flava","Christiangramia flava"
"Gramella forsetii","Christiangramia forsetii"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Meiothermus silvanus","Allomeiothermus silvanus"
"Alkalihalobacillus clausii","Shouchella clausii"
"Alkalihalobacillus halodurans","Halalkalibacterium halodurans"
"Alkalihalobacillus krulwichiae","Halalkalibacter krulwichiae"
"Alkalihalobacillus lehensis","Shouchella lehensis"
"Alkalihalobacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Bacillus circulans","Niallia circulans"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus horikoshii","Sutcliffiella horikoshii"
"Bacillus lentus","Lederbergia lenta"
"Bacillus megaterium","Priestia megaterium"
"Bacillus vietnamensis","Rossellomorea vietnamensis"
"Planomicrobium glaciei","Planococcus glaciei"
"Macrococcus caseolyticus","Macrococcoides caseolyticum"
"Staphylococcus fleurettii","Mammaliicoccus fleurettii"
"Staphylococcus lentus","Mammaliicoccus lentus"
"Staphylococcus vitulinus","Mammaliicoccus vitulinus"
"Lactobacillus acidipiscis","Ligilactobacillus acidipiscis"
"Lactobacillus agilis","Ligilactobacillus agilis"
"Lactobacillus alimentarius","Companilactobacillus alimentarius"
"Lactobacillus amylophilus","Amylolactobacillus amylophilus"
"Lactobacillus animalis","Ligilactobacillus animalis"
"Lactobacillus casei","Lacticaseibacillus casei"
"Lactobacillus coryniformis","Loigolactobacillus coryniformis"
"Lactobacillus crustorum","Companilactobacillus crustorum"
"Lactobacillus curvatus","Latilactobacillus curvatus"
"Lactobacillus dextrinicus","Lapidilactobacillus dextrinicus"
"Lactobacillus fermentum","Limosilactobacillus fermentum"
"Lactobacillus frumenti","Limosilactobacillus frumenti"
"Lactobacillus fuchuensis","Latilactobacillus fuchuensis"
"Lactobacillus futsaii","Companilactobacillus futsaii"
"Lactobacillus gastricus","Limosilactobacillus gastricus"
"Lactobacillus graminis","Latilactobacillus graminis"
"Lactobacillus harbinensis","Schleiferilactobacillus harbinensis"
"Lactobacillus hilgardii","Lentilactobacillus hilgardii"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Lactobacillus hordei","Liquorilactobacillus hordei"
"Lactobacillus kunkeei","Apilactobacillus kunkeei"
"Lactobacillus mali","Liquorilactobacillus mali"
"Lactobacillus manihotivorans","Lacticaseibacillus manihotivorans"
"Lactobacillus mucosae","Limosilactobacillus mucosae"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus oligofermentans","Paucilactobacillus oligofermentans"
"Lactobacillus paracasei","Lacticaseibacillus paracasei"
"Lactobacillus paracollinoides","Secundilactobacillus paracollinoides"
"Lactobacillus paralimentarius","Companilactobacillus paralimentarius"
"Lactobacillus pentosus","Lactiplantibacillus pentosus"
"Lactobacillus plantarum","Lactiplantibacillus plantarum"
"Lactobacillus reuteri","Limosilactobacillus reuteri"
"Lactobacillus rhamnosus","Lacticaseibacillus rhamnosus"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Lactobacillus salivarius","Ligilactobacillus salivarius"
"Lactobacillus sanfranciscensis","Fructilactobacillus sanfranciscensis"
"Lactobacillus vaginalis","Limosilactobacillus vaginalis"
"Lactobacillus zeae","Lacticaseibacillus zeae"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Hungateiclostridium clariflavum","Acetivibrio clariflavus"
"Hungateiclostridium thermocellum","Acetivibrio thermocellus"
"Pseudoclostridium thermosuccinogenes","Clostridium thermosuccinogenes"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Clostridium scindens","[Clostridium] scindens"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Desulfallas gibsoniae","Desulfoscipio gibsoniae"
"Desulfotomaculum ruminis","Desulforamulus ruminis"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021) <Ruminococcus bicirculans (ex Liu et al. 2021)>"
"Moorella thermoacetica","Neomoorella thermoacetica"
"Clostridium innocuum","[Clostridium] innocuum"
"Erysipelatoclostridium ramosum","Thomasclavelia ramosa"
"Sneathia amnii","Sneathia vaginalis"
"Candidatus Kuenenia stuttgartiensis","Candidatus Kuenenia stuttgartensis"
"Oligotropha carboxidovorans","Afipia carboxidovorans"
"Ochrobactrum anthropi","Brucella anthropi"
"Ensifer sojae","Sinorhizobium sojae"
"Epibacterium mobile","Tritonibacter mobilis"
"Rhodobacter blasticus","Pseudogemmobacter blasticus"
"Rhodobacter sphaeroides","Cereibacter sphaeroides"
"Komagataeibacter hansenii","Novacetimonas hansenii"
"Magnetospirillum magneticum","Paramagnetospirillum magneticum"
"Sphingomonas wittichii","Rhizorhabdus wittichii"
"Paraburkholderia rhizoxinica","Mycetohabitans rhizoxinica"
"Acidovorax avenae","Paracidovorax avenae"
"Acidovorax citrulli","Paracidovorax citrulli"
