species,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_50,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_50
d_Bacteria,319,348,453,304,234,253,356,233
p_Actinobacteria,2,0,3,1,4,1,0,3
p_Bacteroidetes,128,106,284,132,94,184,254,167
p_Cyanobacteria,0,1,0,0,0,0,0,0
p_Firmicutes,179,197,74,179,58,40,39,33
p_Planctomycetes,2,3,0,1,0,1,1,0
p_Proteobacteria,42,40,38,30,22,21,37,20
p_Tenericutes,1,0,0,0,0,0,0,0
bacterium BFN5,3,0,2,0,0,0,0,0
c_Halobacteria,0,0,4,0,1,2,1,4
c_Methanomicrobia,1,0,0,0,0,0,0,0
c_Actinobacteria,8,7,5,11,10,2,9,4
c_Coriobacteriia,5,10,2,5,19,12,8,2
Actinobacteria bacterium IMCC19121,1,0,0,0,0,0,0,0
Actinobacteria bacterium IMCC25003,0,0,0,1,0,0,0,0
Actinobacteria bacterium IMCC26077,2,0,0,0,0,0,1,0
c_Bacteroidia,1,3,4,4,3,2,5,8
candidate division Zixibacteria bacterium,0,0,0,0,1,0,0,0
Candidatus Saccharibacteria bacterium oral taxon 488,0,0,1,0,0,1,0,1
o_Nostocales,0,2,6,0,0,0,3,0
o_Synechococcales,0,1,0,0,1,0,0,0
cyanobacterium endosymbiont of Rhopalodia gibberula,0,0,0,1,0,0,0,0
c_Bacilli,22,11,15,6,4,3,4,8
c_Clostridia,2,8,5,3,1,3,1,0
c_Negativicutes,1,1,1,2,0,0,0,0
Planctomycetes bacterium,0,0,0,0,1,0,0,0
Planctomycetes bacterium ElP,0,0,0,1,0,0,0,0
Planctomycetes bacterium FF011L,0,0,1,1,0,0,0,0
Planctomycetes bacterium K22_7,1,0,0,1,0,0,1,0
Planctomycetes bacterium KS4,1,0,0,1,0,0,1,1
Planctomycetes bacterium MalM14,0,0,1,0,0,0,0,0
Planctomycetes bacterium MalM25,0,1,0,0,0,0,1,0
Planctomycetes bacterium Pan241w,1,1,5,1,0,0,4,0
Planctomycetes bacterium Pan258,0,0,0,1,0,0,0,0
Planctomycetes bacterium Pan265,0,0,0,0,0,0,2,0
Planctomycetes bacterium Pla110,2,0,0,0,0,0,0,0
Planctomycetes bacterium Pla163,0,0,0,0,0,0,1,1
Planctomycetes bacterium Pla175,0,0,0,1,0,0,0,0
Planctomycetes bacterium Pla85_3_4,0,0,1,0,0,0,0,0
Planctomycetes bacterium SRT547,1,0,0,0,0,0,0,0
Planctomycetes bacterium SV_7m_r,2,0,0,0,0,0,0,0
Planctomycetes bacterium V22,0,1,3,0,0,2,1,2
c_Alphaproteobacteria,7,6,10,12,7,7,8,6
c_Betaproteobacteria,7,2,1,5,6,0,2,2
c_Deltaproteobacteria,0,3,0,0,0,1,0,0
c_Epsilonproteobacteria,0,0,1,0,0,0,0,0
c_Gammaproteobacteria,44,33,36,32,13,17,22,15
c_Mollicutes,1,0,0,0,0,0,0,0
Tenericutes bacterium MO-XQ,1,0,0,0,0,0,0,0
Tenericutes bacterium MZ-XQ,0,0,0,2,0,0,0,0
o_Corynebacteriales,1,1,5,2,1,5,6,2
o_Micrococcales,2,0,0,1,1,1,0,0
Actinobacteria bacterium IMCC26256,0,1,0,0,0,0,0,0
Actinobacteria bacterium YIM 96077,1,0,1,0,2,0,2,2
o_Coriobacteriales,4,2,3,4,9,5,4,2
o_Bacteroidales,1352,1516,1200,1448,2085,1641,1354,1716
o_Cytophagales,1,2,0,0,2,1,2,1
o_Flavobacteriales,7,4,9,5,0,5,10,5
f_Rhodothermaceae,0,0,0,0,1,0,0,1
Candidatus Cyclonatronum proteinivorum,2,0,1,1,2,0,0,0
Candidatus Cloacimonas acidaminovorans,1,0,3,1,0,2,1,1
f_Nostocaceae,0,0,2,0,0,0,0,1
Nostocales cyanobacterium HT-58-2,0,0,0,1,0,1,0,0
Oscillatoriales cyanobacterium JSC-12,0,0,0,0,0,2,0,0
o_Bacillales,14,14,5,8,0,2,0,1
o_Lactobacillales,19,10,2,11,0,0,0,2
o_Clostridiales,1062,471,201,409,115,97,60,116
o_Halanaerobiales,0,1,0,0,0,0,0,0
Ndongobacter massiliensis,2,1,0,1,0,0,0,0
Phycisphaerae bacterium RAS2,1,0,0,0,0,0,0,0
o_Rhizobiales,2,3,1,3,1,1,0,0
o_Rhodospirillales,1,0,0,0,0,0,0,0
o_Sphingomonadales,1,0,0,1,0,0,0,0
o_Burkholderiales,6,0,1,7,6,0,1,0
o_Neisseriales,0,0,1,0,2,0,0,0
o_Nitrosomonadales,0,0,1,2,2,0,6,0
o_Rhodocyclales,0,0,0,1,0,0,0,0
o_Bradymonadales,0,1,0,0,0,2,0,0
o_Desulfobacterales,0,0,0,0,1,0,0,1
o_Desulfuromonadales,0,0,1,0,0,0,0,0
o_Myxococcales,0,0,0,0,1,0,0,0
o_Campylobacterales,1,1,0,0,0,0,0,0
o_Cellvibrionales,0,0,0,0,1,0,0,0
o_Enterobacterales,9,8,16,6,2,3,2,3
o_Oceanospirillales,0,0,0,0,3,0,0,0
o_Pseudomonadales,0,0,1,2,1,0,3,1
Bathymodiolus septemdierum thioautotrophic gill symbiont,1,0,1,0,0,0,0,0
Bathymodiolus thermophilus thioautotrophic gill symbiont,0,1,0,0,0,0,0,0
Candidatus Palibaumannia cicadellinicola,1,1,0,1,0,0,0,0
