species,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
d_Bacteria,288,290,290,247,151,170,230,146
p_Euryarchaeota,0,1,0,0,0,0,0,1
p_Actinobacteria,3,1,4,1,3,1,2,3
p_Bacteroidetes,101,79,182,95,58,109,153,92
p_Candidatus Saccharibacteria,1,1,0,0,0,0,0,0
p_Cyanobacteria,1,2,2,0,0,0,0,0
p_Firmicutes,137,154,61,153,55,50,39,44
p_Planctomycetes,2,2,1,3,1,1,1,0
p_Proteobacteria,47,44,33,23,22,21,25,17
p_Tenericutes,1,0,0,0,0,0,0,0
bacterium BFN5,3,0,1,0,0,0,0,0
c_Halobacteria,0,0,2,0,1,1,2,3
c_Methanomicrobia,1,0,0,0,0,0,0,0
Vampirococcus sp. LiM,0,1,0,0,0,0,0,0
c_Actinobacteria,6,5,5,14,4,2,5,3
c_Coriobacteriia,7,10,3,5,18,11,8,3
Actinobacteria bacterium IMCC19121,1,0,0,0,0,0,0,0
Actinobacteria bacterium IMCC25003,0,0,0,1,0,0,0,0
Actinobacteria bacterium IMCC26077,1,0,1,0,1,0,1,0
c_Bacteroidia,0,1,0,2,0,2,2,3
candidate division Zixibacteria bacterium,0,0,0,0,1,0,0,0
Candidatus Gracilibacteria bacterium HOT-871,1,0,0,0,0,0,1,0
Candidatus Saccharibacteria bacterium oral taxon 488,0,0,3,0,0,1,2,0
o_Nostocales,0,1,5,0,0,0,2,1
o_Synechococcales,0,0,0,1,0,0,0,0
cyanobacterium endosymbiont of Rhopalodia gibberula,0,0,0,1,0,0,0,0
c_Bacilli,19,10,12,11,1,3,5,7
c_Clostridia,1,4,2,2,0,2,0,0
c_Negativicutes,1,1,1,2,0,0,0,0
endosymbiont TC1 of Trimyema compressum,0,0,2,0,1,0,3,0
Kiritimatiellaeota bacterium S-5007,1,0,1,1,0,0,0,0
Planctomycetes bacterium,1,0,0,0,1,0,0,0
Planctomycetes bacterium CA51,0,0,0,0,0,1,2,0
Planctomycetes bacterium Enr13,0,0,0,0,0,1,0,0
Planctomycetes bacterium Enr17,0,1,0,1,0,0,0,0
Planctomycetes bacterium FF011L,0,0,1,1,0,0,0,0
Planctomycetes bacterium K22_7,1,0,2,1,0,0,1,0
Planctomycetes bacterium KS4,1,0,0,0,0,0,1,0
Planctomycetes bacterium MalM25,1,1,0,0,1,1,2,0
Planctomycetes bacterium Pan161,0,0,0,2,0,0,0,0
Planctomycetes bacterium Pan181,0,0,1,0,0,0,0,1
Planctomycetes bacterium Pan216,0,0,1,0,0,0,0,0
Planctomycetes bacterium Pan241w,1,0,4,1,0,0,2,0
Planctomycetes bacterium Pan258,0,0,0,1,0,0,0,0
Planctomycetes bacterium Pan265,1,0,0,0,0,0,0,0
Planctomycetes bacterium Pan44,0,0,0,1,0,0,1,1
Planctomycetes bacterium Pla110,1,0,0,0,0,0,0,0
Planctomycetes bacterium Pla163,0,0,1,0,0,0,1,0
Planctomycetes bacterium Pla175,0,0,0,1,0,0,0,0
Planctomycetes bacterium Pla85_3_4,0,1,3,0,1,1,1,1
Planctomycetes bacterium SRT547,1,0,5,2,0,3,4,0
Planctomycetes bacterium SV_7m_r,1,0,0,0,0,0,0,0
Planctomycetes bacterium V144,0,0,0,0,1,0,0,0
Planctomycetes bacterium V22,0,0,2,0,0,2,1,3
c_Alphaproteobacteria,6,7,7,8,3,7,5,6
c_Betaproteobacteria,5,3,4,4,3,1,2,1
c_Deltaproteobacteria,0,2,0,1,0,0,0,0
c_Gammaproteobacteria,45,40,37,31,21,14,15,20
Tenericutes bacterium MO-XQ,1,0,0,0,0,0,0,0
Tenericutes bacterium MZ-XQ,0,0,0,1,0,0,0,0
Verrucomicrobia bacterium S94,1,0,0,0,0,0,0,0
Pandoravirus neocaledonia,0,0,0,0,0,1,0,0
methanogenic archaeon ISO4-H5,0,0,1,1,0,0,0,0
Candidatus Aciduliprofundum boonei,1,0,0,1,0,0,0,0
Candidatus Nitrosopelagicus brevis,0,0,2,0,0,1,3,1
Candidatus Nitrosotalea devanaterra,0,0,0,0,0,2,0,1
o_Corynebacteriales,1,1,3,2,0,3,4,1
o_Micrococcales,1,0,0,1,2,0,0,0
Actinobacteria bacterium IMCC26256,0,1,0,0,0,0,0,0
Actinobacteria bacterium YIM 96077,1,0,0,0,1,0,1,2
o_Coriobacteriales,3,2,3,4,9,5,4,2
o_Bacteroidales,1364,1473,1002,1431,1919,1523,1165,1625
o_Cytophagales,0,2,0,1,1,2,3,3
o_Flavobacteriales,4,2,5,5,0,1,5,2
Candidatus Cyclonatronum proteinivorum,2,1,1,1,2,0,0,1
Candidatus Cloacimonas acidaminovorans,0,1,2,1,1,1,2,1
f_Nostocaceae,1,0,4,0,1,2,0,1
Nostocales cyanobacterium HT-58-2,0,0,0,1,0,1,0,0
Oscillatoriales cyanobacterium JSC-12,0,0,0,0,0,1,0,0
o_Bacillales,17,10,4,7,2,5,0,1
o_Lactobacillales,22,10,3,10,0,0,0,2
o_Clostridiales,1025,419,189,414,166,186,123,223
o_Halanaerobiales,0,1,0,0,0,0,0,0
Ndongobacter massiliensis,1,1,0,1,0,0,0,0
Phycisphaerae bacterium RAS2,1,0,0,0,0,0,0,0
o_Rhizobiales,2,2,1,3,1,1,1,0
o_Rhodospirillales,1,0,0,1,0,1,0,0
o_Sphingomonadales,0,0,0,0,0,0,0,1
o_Burkholderiales,6,2,4,7,6,1,3,0
o_Neisseriales,0,0,1,0,1,0,0,0
o_Nitrosomonadales,0,0,2,1,2,0,3,0
o_Rhodocyclales,0,0,0,1,0,0,0,0
o_Bradymonadales,0,1,4,1,0,2,4,1
o_Desulfobacterales,0,0,0,0,1,0,0,1
o_Desulfuromonadales,0,0,1,0,0,0,1,0
o_Myxococcales,0,0,0,0,1,0,0,0
o_Campylobacterales,1,1,0,0,0,0,0,0
o_Alteromonadales,0,0,1,0,1,0,0,1
o_Cellvibrionales,0,0,0,0,1,0,0,0
o_Enterobacterales,51,26,22,33,1,4,6,3
o_Oceanospirillales,0,0,0,0,2,0,0,0
o_Pseudomonadales,0,0,1,1,1,0,2,1
o_Xanthomonadales,0,0,0,1,0,0,0,0
Bathymodiolus septemdierum thioautotrophic gill symbiont,1,1,1,0,0,0,0,0
Bathymodiolus thermophilus thioautotrophic gill symbiont,0,1,0,0,0,0,0,0
Candidatus Palibaumannia cicadellinicola,1,0,0,0,0,0,0,0
endosymbiont of unidentified scaly snail isolate Monju,0,0,0,0,0,0,0,1
Gammaproteobacteria bacterium DM2,0,0,5,0,0,1,2,2
Gammaproteobacteria bacterium ESL0073,0,1,0,0,0,0,0,0
o_Entomoplasmatales,1,0,0,0,0,0,0,0
Candidatus Izimaplasma sp. HR1,2,0,0,0,0,0,0,0
f_Methanosarcinaceae,2,0,0,0,0,0,0,0
Thermoplasmatales archaeon BRNA1,1,0,0,0,0,2,5,1
g_Nitrosopumilus,0,0,1,0,0,4,3,1
f_Acidobacteriaceae,0,1,0,0,0,0,0,0
Chloracidobacterium thermophilum,0,0,0,1,0,0,0,0
f_Bifidobacteriaceae,1,0,0,1,1,1,1,1
f_Mycobacteriaceae,1,1,1,3,0,0,4,2
f_Microbacteriaceae,0,0,1,2,0,0,1,0
f_Micrococcaceae,1,1,0,0,0,0,0,0
f_Promicromonosporaceae,1,0,0,0,0,0,0,0
f_Micromonosporaceae,1,0,0,1,1,0,0,0
f_Streptomycetaceae,0,0,0,0,1,0,0,0
f_Atopobiaceae,3,1,1,3,3,1,2,0
f_Eggerthellaceae,26,15,1,10,5,0,2,0
f_Muribaculaceae,2,3,1,2,1,0,2,0
f_Odoribacteraceae,3,2,0,4,0,0,0,0
f_Prevotellaceae,0,1,9,2,4,6,7,3
f_Rikenellaceae,0,0,0,1,0,1,1,0
f_Tannerellaceae,1,0,0,1,0,0,0,0
g_Phocaeicola,309,587,547,888,2307,1867,1272,2089
Bacteroidales bacterium CF,0,2,11,3,7,3,10,2
f_Chitinophagaceae,0,0,1,0,0,3,2,0
f_Hymenobacteraceae,0,1,1,0,1,1,0,0
Cytophagales bacterium TFI 002,4,2,0,0,0,0,1,1
f_Flavobacteriaceae,4,6,10,11,2,3,7,5
f_Weeksellaceae,1,1,0,0,0,0,1,0
f_Sphingobacteriaceae,6,1,3,1,0,0,0,0
Rhodothermaceae bacterium,1,0,1,1,0,0,4,1
Dehalogenimonas formicexedens,0,0,0,1,0,0,0,0
Dehalogenimonas lykanthroporepellens,1,0,0,0,0,0,0,0
g_Microcystis,0,1,0,0,0,0,0,0
g_Nostoc,0,2,1,0,0,0,0,0
g_Scytonema,1,0,0,0,0,0,0,0
g_Synechocystis,0,0,0,1,0,0,0,0
g_Synechococcus,2,0,0,1,1,0,1,1
f_Bacillaceae,9,6,3,3,2,2,1,3
f_Paenibacillaceae,1,1,0,1,0,0,0,0
g_Exiguobacterium,0,0,0,1,0,0,0,0
g_Gemella,1,1,0,0,1,1,1,1
f_Enterococcaceae,2,0,0,0,0,2,0,0
f_Lactobacillaceae,0,0,0,1,0,0,0,0
f_Streptococcaceae,0,1,1,0,0,1,0,0
f_Clostridiaceae,0,0,0,1,0,0,0,1
f_Lachnospiraceae,1450,2638,2388,3908,9978,7472,4980,4515
f_Oscillospiraceae,3,4,4,5,12,12,4,12
f_Peptostreptococcaceae,9,8,0,0,0,0,0,0
f_Ruminococcaceae,6,5,2,1,4,12,3,11
Clostridiales bacterium,8,6,6,5,2,11,5,2
Clostridiales bacterium CCNA10,22,27,20,30,14,27,24,37
f_Erysipelotrichaceae,19,25,9,10,1,1,1,0
f_Acidaminococcaceae,2,0,0,0,0,0,0,0
f_Veillonellaceae,0,1,0,0,0,0,0,0
Ezakiella massiliensis,3,1,0,0,0,0,0,0
f_Peptoniphilaceae,4,1,0,0,0,0,0,0
Victivallales bacterium CCUG 44730,0,0,0,0,2,2,0,2
f_Gemmataceae,0,0,0,0,1,0,1,0
Planctomycetales bacterium 10988,1,0,0,0,0,0,0,0
Micavibrio aeruginosavorus,0,0,1,0,1,0,2,1
Phreatobacter cathodiphilus,1,0,0,0,0,0,0,0
Polymorphum gilvum,0,1,0,0,0,0,0,0
f_Bradyrhizobiaceae,0,1,0,0,0,0,0,0
f_Methylobacteriaceae,0,0,0,0,0,1,0,0
f_Rhizobiaceae,2,1,2,1,2,0,1,0
f_Rhodobacteraceae,0,2,2,1,4,1,2,0
Rickettsiales bacterium Ac37b,0,0,1,0,0,1,0,0
f_Erythrobacteraceae,1,0,0,1,0,0,0,0
f_Sphingomonadaceae,0,0,0,1,0,0,0,0
Candidatus Accumulibacter phosphatis,0,0,0,0,0,1,0,0
Candidatus Kinetoplastidibacterium desouzai,1,0,0,0,0,0,0,0
Candidatus Kinetoplastibacterium sorsogonicusi,0,0,0,1,0,0,0,1
f_Alcaligenaceae,0,0,0,1,2,0,0,0
f_Burkholderiaceae,13,2,1,5,1,0,3,1
f_Comamonadaceae,9,2,4,2,1,0,6,0
f_Oxalobacteraceae,1,0,0,1,0,0,2,1
g_Thiomonas,1,0,1,0,0,1,2,1
Burkholderiales bacterium GJ-E10,2,0,0,0,0,0,0,0
Burkholderiales bacterium YL45,15,6,1,5,0,1,0,0
f_Neisseriaceae,0,0,0,1,0,0,0,0
Nitrosomonadales bacterium skT11,0,0,1,0,0,0,0,1
f_Rhodocyclaceae,1,0,0,0,0,0,0,0
f_Archangiaceae,1,0,0,1,0,0,0,0
Sulfurovum lithotrophicum,0,0,0,1,0,0,1,0
Sulfurovum sp. NBC37-1,1,0,0,0,0,0,0,0
f_Campylobacteraceae,2,0,0,0,1,1,0,0
Gallaecimonas mangrovi,0,0,0,0,0,0,0,2
Pseudohongiella spirulinae,2,1,0,0,0,0,0,0
Thiolapillus brandeum,1,0,0,0,0,0,0,0
f_Enterobacteriaceae,765,1598,632,1001,2,7,4,8
f_Hafniaceae,0,0,0,1,0,0,0,0
f_Morganellaceae,0,3,0,0,0,0,0,0
f_Pectobacteriaceae,1,0,0,0,0,0,0,0
f_Legionellaceae,0,0,0,1,0,0,0,0
f_Methylococcaceae,0,0,0,1,0,0,0,0
f_Halomonadaceae,0,0,0,1,0,3,4,2
f_Pasteurellaceae,0,2,0,0,0,0,0,0
f_Moraxellaceae,0,1,0,0,0,0,0,0
f_Piscirickettsiaceae,1,0,0,0,0,0,0,0
f_Vibrionaceae,0,1,1,1,0,0,2,1
f_Rhodanobacteraceae,0,0,1,0,2,0,4,3
f_Xanthomonadaceae,1,0,0,0,0,0,0,0
Silvanigrellales bacterium RF1110005,0,1,0,1,0,0,0,0
f_Entomoplasmataceae,0,0,1,0,0,0,0,0
f_Petrotogaceae,0,0,0,1,0,0,0,0
g_Staphylothermus,0,0,1,0,0,0,0,0
g_Sulfolobus,0,0,1,1,0,0,0,0
g_Halorussus,0,0,0,1,0,0,0,0
g_Methanobacterium,0,0,0,0,0,1,1,0
g_Methanococcus,0,1,0,0,0,0,0,0
Methanofervidicoccus sp. A16,0,0,0,1,0,0,0,0
g_Methanohalophilus,0,0,1,0,0,0,2,0
g_Methanosarcina,0,1,0,1,0,0,0,0
g_Thermococcus,0,1,3,2,0,2,3,2
Nitrosopumilus piranensis,0,1,0,0,0,0,0,0
g_Actinomyces,0,0,0,0,1,0,0,0
g_Bifidobacterium,208,223,103,200,218,175,107,102
g_Candidatus Nanopelagicus,1,0,0,0,0,0,0,0
g_Corynebacterium,1,2,1,0,1,0,1,2
g_Dietzia,1,0,1,0,0,0,0,0
g_Gordonia,1,1,0,1,0,1,1,0
g_Mycobacterium,1,0,2,0,1,2,1,1
g_Mycobacteroides,1,0,0,0,0,0,0,0
g_Mycolicibacterium,0,1,1,0,0,1,0,0
g_Nocardia,0,0,0,0,1,0,0,0
g_Rhodococcus,0,2,0,1,0,0,4,2
g_Brevibacterium,0,0,0,1,0,0,0,0
g_Cryobacterium,0,0,0,0,0,0,3,0
g_Leifsonia,0,0,0,1,0,1,1,1
g_Microbacterium,2,4,2,0,0,2,2,1
g_Plantibacter,0,0,1,0,0,0,0,0
g_Rathayibacter,1,0,7,0,0,0,6,0
g_Arthrobacter,0,0,0,0,0,0,2,1
g_Glutamicibacter,0,0,1,0,0,0,0,0
g_Kocuria,0,0,1,0,0,1,1,0
g_Micrococcus,0,0,0,0,1,0,0,0
g_Pseudarthrobacter,0,0,0,0,1,0,0,0
g_Actinoplanes,0,0,0,0,1,0,0,1
g_Micromonospora,1,0,0,1,0,0,0,0
g_Plantactinospora,0,0,0,1,0,1,0,0
g_Kribbella,0,0,0,1,0,0,0,0
g_Nocardioides,0,1,0,1,0,0,0,0
g_Actinoalloteichus,0,0,1,0,0,0,0,0
g_Actinosynnema,1,0,0,0,0,0,0,0
g_Pseudonocardia,2,0,0,0,2,0,0,0
g_Saccharopolyspora,0,0,0,1,0,0,0,0
g_Streptacidiphilus,0,0,0,0,0,0,1,0
g_Streptomyces,13,8,4,4,7,1,4,11
Coriobacteriaceae bacterium 68-1-3,6,1,0,2,1,0,0,0
g_Adlercreutzia,33,9,2,19,0,0,0,0
g_Eggerthella,5,0,0,4,0,0,0,0
g_Gordonibacter,38,7,2,6,0,0,0,0
Eggerthellaceae bacterium zg-1050,1,2,0,1,1,1,1,0
g_Bacteroides,1252,1619,1198,1893,2837,2847,1945,3530
g_Dysgonomonas,5,2,6,1,0,2,6,3
g_Duncaniella,6,8,29,10,6,16,29,13
g_Muribaculum,0,0,0,0,0,1,0,0
Muribaculaceae bacterium DSM 108610,11,17,59,14,19,31,51,47
g_Porphyromonas,1,0,2,0,0,3,1,2
g_Prevotella,65,66,431,96,80,225,453,191
g_Alistipes,114,64,56,86,165,73,63,57
g_Parabacteroides,310,489,227,319,11,9,18,15
g_Tannerella,0,1,1,0,0,0,0,0
Candidatus Azobacteroides pseudotrichonymphae,1,2,1,5,0,0,0,0
Phocaeicola dorei,1667,2076,2195,3531,14614,7336,4927,4507
Phocaeicola salanitronis,105,82,101,90,29,43,73,38
Phocaeicola vulgatus,1500,3971,4305,6911,13215,14708,9797,18841
g_Draconibacterium,1,0,0,0,0,0,0,1
Prolixibacteraceae bacterium WC007,1,5,1,0,0,1,2,2
g_Chitinophaga,1,1,7,2,2,2,4,0
g_Echinicola,0,0,0,1,0,1,3,0
g_Fibrella,0,0,0,0,0,1,0,0
g_Runella,0,0,1,0,0,1,2,0
g_Flammeovirga,0,1,0,0,0,0,0,0
Flammeovirgaceae bacterium 311,1,2,9,4,1,7,6,4
g_Hymenobacter,1,1,6,2,8,5,5,2
g_Capnocytophaga,2,1,9,2,1,1,9,2
g_Dokdonia,0,0,1,0,0,0,1,0
g_Flavobacterium,1,1,4,0,0,2,1,2
g_Formosa,0,1,0,0,0,0,0,0
g_Gramella,0,1,1,0,0,0,0,0
g_Maribacter,0,0,5,0,1,1,4,0
g_Mesoflavibacter,0,0,1,1,2,1,1,0
g_Myroides,0,0,1,0,0,0,0,1
g_Nonlabens,1,0,0,1,0,0,0,0
g_Polaribacter,3,1,0,0,0,1,0,0
g_Salegentibacter,0,0,2,0,2,2,3,2
g_Tenacibaculum,1,0,0,1,0,0,0,0
g_Winogradskyella,0,0,4,2,2,2,4,2
Flavobacteriaceae bacterium 10Alg115,0,2,2,1,0,0,1,1
Flavobacteriaceae bacterium 3519-10,1,0,0,1,0,0,0,0
Flavobacteriaceae bacterium F202Z8,1,1,0,1,0,0,0,0
Flavobacteriaceae bacterium MAR_2010_188,2,0,6,0,0,4,7,4
Flavobacteriaceae bacterium RR4-40,1,1,1,0,3,2,1,2
g_Apibacter,0,0,1,0,0,2,3,0
g_Chryseobacterium,6,2,8,8,0,2,6,3
g_Elizabethkingia,0,1,5,2,1,0,5,0
Candidatus Walczuchella monophlebidarum,0,0,0,1,0,0,0,0
g_Mucilaginibacter,0,0,2,0,1,4,4,2
g_Sphingobacterium,3,0,6,1,3,3,3,2
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,1,1,1,0,0,5,1,2
Rhodothermus marinus,2,0,1,1,1,0,0,1
