species,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_50,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_50
d_Archaea,1,0,1,0,0,0,0,0
d_Bacteria,3568,3668,5240,3375,2480,2958,4438,2799
p_Euryarchaeota,0,1,0,0,1,0,0,1
p_Thaumarchaeota,0,0,1,0,0,0,0,0
p_Actinobacteria,46,12,16,19,30,14,14,10
p_Bacteroidetes,1089,1133,3150,1125,932,1701,2841,1509
p_Candidatus Saccharibacteria,2,4,0,1,0,0,0,0
p_Chloroflexi,1,0,0,0,0,0,0,0
p_Firmicutes,1630,2143,924,1588,478,393,321,413
p_Planctomycetes,17,15,4,8,22,10,5,6
p_Proteobacteria,389,352,407,351,289,299,322,237
p_Tenericutes,2,0,0,1,0,0,0,0
p_Verrucomicrobia,0,1,0,0,0,0,0,0
bacterium 2013Arg42i,2,2,1,0,0,0,0,0
bacterium BFN5,9,4,5,6,0,0,0,0
Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),0,0,0,1,0,0,0,0
Changjiang picorna-like virus 12,1,0,0,0,0,0,0,0
c_Halobacteria,1,3,33,6,4,16,20,18
c_Methanomicrobia,1,0,0,0,0,0,0,0
c_Thermoplasmata,0,2,1,0,0,0,1,0
Thermobaculum terrenum,0,2,0,0,0,0,0,0
Vampirococcus sp. LiM,1,1,0,0,0,1,0,0
c_Actinobacteria,99,88,64,69,106,67,65,42
c_Coriobacteriia,67,65,43,78,213,166,97,79
Actinobacteria bacterium IMCC19121,1,1,2,1,0,0,0,0
Actinobacteria bacterium IMCC25003,0,2,0,2,0,0,0,0
Actinobacteria bacterium IMCC26077,3,0,0,0,0,1,2,0
Actinobacteria bacterium IMCC26103,1,0,0,0,0,0,0,0
Armatimonadetes bacterium Uphvl-Ar2,0,1,2,1,1,1,0,1
c_Bacteroidia,46,34,69,35,24,53,53,37
candidate division Zixibacteria bacterium,1,1,0,2,5,0,2,1
Candidatus Gracilibacteria bacterium HOT-871,2,1,0,2,0,0,0,0
Candidatus Saccharibacteria bacterium oral taxon 488,2,2,6,6,3,6,2,2
Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,2,0,0,1,0,0,0,0
o_Nostocales,6,10,39,9,4,15,23,14
c_Bacilli,155,111,95,109,45,50,46,59
c_Clostridia,42,69,29,39,18,17,11,25
c_Negativicutes,17,7,9,6,0,0,0,0
c_Tissierellia,2,1,0,0,0,0,0,0
endosymbiont TC1 of Trimyema compressum,3,1,2,3,0,0,0,0
Kiritimatiellaeota bacterium S-5007,3,8,3,4,0,0,0,1
c_Planctomycetia,0,0,0,1,0,0,0,0
Planctomycetes bacterium,2,1,1,0,3,1,1,1
Planctomycetes bacterium CA51,0,0,1,0,2,0,1,1
Planctomycetes bacterium EC9,0,0,1,1,0,0,0,0
Planctomycetes bacterium ElP,3,0,1,1,0,0,0,0
Planctomycetes bacterium Enr13,0,0,1,1,1,3,1,0
Planctomycetes bacterium Enr17,1,0,0,0,0,0,0,0
Planctomycetes bacterium ETA_A1,1,0,1,3,0,0,0,0
Planctomycetes bacterium FF011L,1,0,1,2,0,0,0,0
