species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
d_Archaea,1,0,1,0,0,0,0,0
d_Bacteria,3030,3014,3916,2687,1916,2263,3199,2075
p_Euryarchaeota,0,0,0,0,2,1,1,1
p_Thaumarchaeota,0,0,1,0,0,0,0,0
p_Actinobacteria,44,10,36,24,34,33,33,17
p_Bacteroidetes,960,863,1910,857,656,1040,1692,878
p_Candidatus Saccharibacteria,5,3,1,2,0,0,0,0
p_Chloroflexi,1,0,0,0,0,0,0,0
p_Firmicutes,1376,1688,799,1321,614,602,408,660
p_Planctomycetes,16,21,9,17,19,13,7,5
p_Proteobacteria,467,382,413,371,228,255,291,211
p_Tenericutes,2,0,0,1,0,0,0,0
bacterium 2013Arg42i,3,3,1,1,0,0,0,0
bacterium BFN5,9,6,6,6,0,0,0,0
Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),0,0,0,1,0,0,0,0
Changjiang crawfish virus 6,0,1,0,0,0,0,0,0
Changjiang picorna-like virus 12,0,0,1,0,0,0,0,0
Halovirus HGTV-1,0,0,0,1,0,0,0,0
Hubei picorna-like virus 27,0,1,0,0,0,0,0,0
Xingshan nematode virus 1,0,1,0,0,0,0,0,0
c_Halobacteria,6,7,22,5,4,9,12,11
c_Methanomicrobia,1,0,0,0,0,0,0,0
c_Thermoplasmata,0,3,1,0,0,0,0,0
Thermobaculum terrenum,0,2,0,1,0,0,0,0
Vampirococcus sp. LiM,2,3,0,0,0,0,0,0
c_Actinobacteria,93,75,80,83,86,68,77,52
c_Coriobacteriia,79,67,43,88,251,187,101,81
Actinobacteria bacterium IMCC19121,1,1,0,1,0,0,0,1
Actinobacteria bacterium IMCC25003,0,2,0,2,0,0,0,0
Actinobacteria bacterium IMCC26077,2,0,11,2,2,7,12,3
Actinobacteria bacterium IMCC26103,1,0,0,0,0,0,0,0
Armatimonadetes bacterium Uphvl-Ar1,0,1,0,0,0,0,0,0
Armatimonadetes bacterium Uphvl-Ar2,2,0,3,1,1,0,0,1
c_Bacteroidia,26,20,30,12,11,26,22,19
candidate division Zixibacteria bacterium,2,5,1,3,8,4,2,1
Candidatus Gracilibacteria bacterium HOT-871,3,1,0,4,3,2,2,1
Candidatus Saccharibacteria bacterium oral taxon 488,3,2,16,7,8,10,12,6
Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,1,0,0,1,0,0,0,0
