"old_name","current_name"
"Aciduliprofundum boonei","Candidatus Aciduliprofundum boonei"
"Candidatus Baumannia cicadellinicola","Candidatus Palibaumannia cicadellinicola"
"Candidatus Kinetoplastibacterium desouzaii","Candidatus Kinetoplastidibacterium desouzai"
"Moorea producens","Moorena producens"
"Oscillatoria acuminata","Oxynema acuminatum"
"Synechococcus lividus","Parathermosynechococcus lividus"
"Thermosynechococcus vulcanus","Thermostichus vulcanus"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium sulci","[Eubacterium] sulci"
"Clostridium cellulosi","[Clostridium] cellulosi"
"Clostridium ultunense","Schnuerera ultunensis"
"Bacillus virus SIOphi","Siophivirus SIOphi"
"Edwardsiella virus pEt-SU","Petsuvirus pEtSU"
"Candidatus Methanomethylophilus alvus","Methanomethylophilus alvi"
"Rhodococcus fascians","Rhodococcoides fascians"
"Rhodococcus hoagii","Prescottella equi"
"Arthrobacter crystallopoietes","Crystallibacter crystallopoietes"
"Pseudopropionibacterium propionicum","Arachnia propionica"
"Streptomyces albulus","Streptomyces noursei"
"Streptomyces cattleya","Streptantibioticus cattleyicolor"
"Streptomyces fulvissimus","Streptomyces microflavus"
"Atopobium parvulum","Lancefieldella parvula"
"Bacteroides heparinolyticus","Prevotella heparinolytica"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella echinicola","Christiangramia echinicola"
"Gramella flava","Christiangramia flava"
"Gramella forsetii","Christiangramia forsetii"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Meiothermus silvanus","Allomeiothermus silvanus"
"Alkalihalobacillus clausii","Shouchella clausii"
"Alkalihalobacillus halodurans","Halalkalibacterium halodurans"
"Alkalihalobacillus krulwichiae","Halalkalibacter krulwichiae"
"Alkalihalobacillus lehensis","Shouchella lehensis"
"Alkalihalobacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Bacillus circulans","Niallia circulans"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus horikoshii","Sutcliffiella horikoshii"
"Bacillus lentus","Lederbergia lenta"
"Bacillus megaterium","Priestia megaterium"
"Bacillus vietnamensis","Rossellomorea vietnamensis"
"Brevibacterium frigoritolerans","Peribacillus frigoritolerans"
"Planomicrobium glaciei","Planococcus glaciei"
"Staphylococcus fleurettii","Mammaliicoccus fleurettii"
"Staphylococcus lentus","Mammaliicoccus lentus"
"Staphylococcus vitulinus","Mammaliicoccus vitulinus"
"Lactobacillus acidipiscis","Ligilactobacillus acidipiscis"
"Lactobacillus agilis","Ligilactobacillus agilis"
"Lactobacillus alimentarius","Companilactobacillus alimentarius"
"Lactobacillus amylophilus","Amylolactobacillus amylophilus"
"Lactobacillus animalis","Ligilactobacillus animalis"
"Lactobacillus bifermentans","Loigolactobacillus bifermentans"
"Lactobacillus casei","Lacticaseibacillus casei"
"Lactobacillus coryniformis","Loigolactobacillus coryniformis"
"Lactobacillus crustorum","Companilactobacillus crustorum"
"Lactobacillus curvatus","Latilactobacillus curvatus"
"Lactobacillus dextrinicus","Lapidilactobacillus dextrinicus"
"Lactobacillus fermentum","Limosilactobacillus fermentum"
"Lactobacillus frumenti","Limosilactobacillus frumenti"
"Lactobacillus fuchuensis","Latilactobacillus fuchuensis"
"Lactobacillus futsaii","Companilactobacillus futsaii"
"Lactobacillus gastricus","Limosilactobacillus gastricus"
"Lactobacillus graminis","Latilactobacillus graminis"
"Lactobacillus harbinensis","Schleiferilactobacillus harbinensis"
"Lactobacillus hilgardii","Lentilactobacillus hilgardii"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Lactobacillus hordei","Liquorilactobacillus hordei"
"Lactobacillus kunkeei","Apilactobacillus kunkeei"
"Lactobacillus mali","Liquorilactobacillus mali"
"Lactobacillus manihotivorans","Lacticaseibacillus manihotivorans"
"Lactobacillus mucosae","Limosilactobacillus mucosae"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus nagelii","Liquorilactobacillus nagelii"
"Lactobacillus oligofermentans","Paucilactobacillus oligofermentans"
"Lactobacillus parabuchneri","Lentilactobacillus parabuchneri"
