"old_name","current_name"
"Planctomycetes bacterium Mal35","Gimesia maris"
"Candidatus Baumannia cicadellinicola","Candidatus Palibaumannia cicadellinicola"
"Candidatus Kinetoplastibacterium blastocrithidii","Candidatus Kinetoplastidibacterium blastocrithidiae"
"Candidatus Kinetoplastibacterium desouzaii","Candidatus Kinetoplastidibacterium desouzai"
"Candidatus Kinetoplastibacterium galatii","Candidatus Kinetoplastidibacterium galati"
"Candidatus Ruthia magnifica","Candidatus Ruthturnera calyptogenae"
"Candidatus Thioglobus singularis","Candidatus Pseudothioglobus singularis"
"Candidatus Sulcia muelleri","Candidatus Karelsulcia muelleri"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium sulci","[Eubacterium] sulci"
"Clostridium cellulosi","[Clostridium] cellulosi"
"Clostridium ultunense","Schnuerera ultunensis"
"Methylomonas clara","Methylophilus methylotrophus"
"Cronobacter virus Esp2949-1","Kyungwonvirus Esp29491"
"Bacillus virus SIOphi","Siophivirus SIOphi"
"Aeromonas virus Aeh1","Cinqassovirus aeh1"
"Bacillus virus G","Donellivirus gee"
"Edwardsiella virus pEt-SU","Petsuvirus pEtSU"
"Escherichia virus RB16","Pseudotevenvirus RB16"
"Escherichia virus RB43","Pseudotevenvirus RB43"
"Sulfolobus islandicus","Saccharolobus islandicus"
"Candidatus Methanomethylophilus alvus","Methanomethylophilus alvi"
"Picrophilus torridus","Picrophilus oshimae"
"Candidatus Koribacter versatilis","Candidatus Korobacter versatilis"
"Bifidobacterium gallinarum","Bifidobacterium pullorum subsp. gallinarum"
"Rhodococcus fascians","Rhodococcoides fascians"
"Rhodococcus hoagii","Prescottella equi"
"Micromonospora aurantiaca","Micromonospora aurantiaca (nom. illeg.)"
"Pseudopropionibacterium propionicum","Arachnia propionica"
"Saccharomonospora sp. 31sw","Saccharomonospora xinjiangensis"
"Streptomyces albulus","Streptomyces noursei"
"Streptomyces cattleya","Streptantibioticus cattleyicolor"
"Streptomyces fulvissimus","Streptomyces microflavus"
"Atopobium parvulum","Lancefieldella parvula"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella echinicola","Christiangramia echinicola"
"Gramella flava","Christiangramia flava"
"Gramella forsetii","Christiangramia forsetii"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Deinococcus swuensis","Deinococcus radiopugnans"
"Meiothermus silvanus","Allomeiothermus silvanus"
"Alkalihalobacillus clausii","Shouchella clausii"
"Alkalihalobacillus halodurans","Halalkalibacterium halodurans"
"Alkalihalobacillus krulwichiae","Halalkalibacter krulwichiae"
"Alkalihalobacillus lehensis","Shouchella lehensis"
"Alkalihalobacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Bacillus circulans","Niallia circulans"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus cohnii","Sutcliffiella cohnii"
"Bacillus flexus","Priestia flexa"
"Bacillus horikoshii","Sutcliffiella horikoshii"
"Bacillus lentus","Lederbergia lenta"
"Bacillus megaterium","Priestia megaterium"
"Bacillus vietnamensis","Rossellomorea vietnamensis"
"Brevibacterium frigoritolerans","Peribacillus frigoritolerans"
"Planomicrobium glaciei","Planococcus glaciei"
"Macrococcus caseolyticus","Macrococcoides caseolyticum"
"Staphylococcus fleurettii","Mammaliicoccus fleurettii"
"Staphylococcus lentus","Mammaliicoccus lentus"
"Staphylococcus vitulinus","Mammaliicoccus vitulinus"
"Lactobacillus acidipiscis","Ligilactobacillus acidipiscis"
"Lactobacillus agilis","Ligilactobacillus agilis"
"Lactobacillus alimentarius","Companilactobacillus alimentarius"
"Lactobacillus amylophilus","Amylolactobacillus amylophilus"
"Lactobacillus animalis","Ligilactobacillus animalis"
"Lactobacillus bifermentans","Loigolactobacillus bifermentans"
"Lactobacillus brevis","Levilactobacillus brevis"
"Lactobacillus buchneri","Lentilactobacillus buchneri"
"Lactobacillus casei","Lacticaseibacillus casei"
"Lactobacillus coryniformis","Loigolactobacillus coryniformis"
"Lactobacillus crustorum","Companilactobacillus crustorum"
"Lactobacillus curvatus","Latilactobacillus curvatus"
"Lactobacillus dextrinicus","Lapidilactobacillus dextrinicus"
"Lactobacillus farciminis","Companilactobacillus farciminis"
"Lactobacillus fermentum","Limosilactobacillus fermentum"
"Lactobacillus frumenti","Limosilactobacillus frumenti"
"Lactobacillus fuchuensis","Latilactobacillus fuchuensis"
"Lactobacillus futsaii","Companilactobacillus futsaii"
"Lactobacillus gastricus","Limosilactobacillus gastricus"
"Lactobacillus graminis","Latilactobacillus graminis"
"Lactobacillus harbinensis","Schleiferilactobacillus harbinensis"
"Lactobacillus hilgardii","Lentilactobacillus hilgardii"
"Lactobacillus hokkaidonensis","Paucilactobacillus hokkaidonensis"
"Lactobacillus hordei","Liquorilactobacillus hordei"
"Lactobacillus kefiri","Lentilactobacillus kefiri"
"Lactobacillus koreensis","Levilactobacillus koreensis"
"Lactobacillus kunkeei","Apilactobacillus kunkeei"
"Lactobacillus lindneri","Fructilactobacillus lindneri"
"Lactobacillus malefermentans","Secundilactobacillus malefermentans"
"Lactobacillus mali","Liquorilactobacillus mali"
"Lactobacillus manihotivorans","Lacticaseibacillus manihotivorans"
"Lactobacillus mucosae","Limosilactobacillus mucosae"
"Lactobacillus murinus","Ligilactobacillus murinus"
"Lactobacillus nagelii","Liquorilactobacillus nagelii"
"Lactobacillus oligofermentans","Paucilactobacillus oligofermentans"
"Lactobacillus parabuchneri","Lentilactobacillus parabuchneri"
"Lactobacillus paracasei","Lacticaseibacillus paracasei"
"Lactobacillus paracollinoides","Secundilactobacillus paracollinoides"
"Lactobacillus paralimentarius","Companilactobacillus paralimentarius"
