Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,1,0,0,0,0,0,7,0,5
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,2,0,0,0,0,48,124,642,183
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,3,0,0,0,0,93,243,810,350
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia hattorii,Adlercreutzia hattorii,4,0,0,0,0,0,1,0,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,5,4937,7426,9931,4456,2146,1913,957,3412
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,6,0,0,0,0,165,467,741,288
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum massiliense,Agathobaculum massiliense,7,0,2,0,0,0,1,0,0
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,8,0,0,0,0,812,2123,814,1305
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,9,0,0,0,0,466,1145,933,711
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops,Alistipes inops,10,0,0,0,0,112,294,647,428
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes provencensis,Alistipes provencensis,11,0,0,0,0,2,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,12,2954,4452,7329,2681,1254,1157,680,2084
