Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absicoccus,Absicoccus porci,Absicoccus porci,1,0,0,0,0,0,0,10,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,2,0,0,0,0,57,126,172,93
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus hominis,Acidaminococcus hominis,3,0,0,0,0,0,0,0,3
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,4,0,0,0,0,4860,12687,64314,18323
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,Acidaminococcus timonensis,5,0,0,0,0,0,2,5,0
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,6,0,0,0,0,9296,24310,80956,35027
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia hattorii,Adlercreutzia hattorii,7,0,0,0,0,0,0,6,0
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus coli,Aedoeadaptatus coli,8,0,0,0,0,0,0,0,1
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,9,493375,742535,1002332,445467,218712,197315,99890,352169
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,10,0,0,0,0,17897,46908,75071,28890
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum faecis,Agathobaculum faecis,11,0,0,0,0,2,0,3,0
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum massiliense,Agathobaculum massiliense,12,0,5,3,0,0,1,2,0
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia massiliensis,Akkermansia massiliensis,13,0,0,0,0,0,1,0,0
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,14,0,0,0,0,81196,212333,81400,130510
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax profundi,Alcanivorax profundi,15,0,1,0,0,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,16,0,0,0,0,0,0,1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,17,0,0,0,0,42332,112450,88730,77648
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops,Alistipes inops,18,0,0,0,0,0,1,1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes intestinihominis,Alistipes intestinihominis,19,0,0,0,0,0,1,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes provencensis,Alistipes provencensis,20,0,0,95,0,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,21,297290,441739,731848,266139,132069,108108,66356,209925
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,22,0,0,0,0,12680,33300,115229,47877
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus hominis,Amedibacillus hominis,23,0,4,2,0,6,90,62,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii,24,0,0,0,0,63473,169634,95693,103882
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum soehngenii,Anaerobutyricum soehngenii,25,0,0,0,0,0,11,0,6
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Anaerolactibacter,Anaerolactibacter massiliensis,Anaerolactibacter massiliensis,26,0,0,0,0,0,16,0,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosacchariphilus,Anaerosacchariphilus hominis,Anaerosacchariphilus hominis,27,0,0,0,0,0,0,9,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes butyraticus,Anaerostipes butyraticus,28,0,0,0,0,0,0,0,12
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes hadrus,29,1,0,0,3,75481,194860,82529,120071
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,30,0,0,0,0,0,0,3,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,Anaerotruncus colihominis,31,0,0,0,0,0,2,13,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Angelakisella,Angelakisella massiliensis,Angelakisella massiliensis,32,10,1,11,8,27,12,0,10
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus andreraoultii,Bacillus andreraoultii,33,0,0,0,0,0,1,0,0
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus halotolerans,Bacillus halotolerans,34,0,0,0,0,0,0,1,0
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus rubiinfantis,Bacillus rubiinfantis,35,0,0,0,0,1,0,1,0
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sinesaloumensis,Bacillus sinesaloumensis,36,0,0,0,0,0,0,1,0
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis,Bacillus velezensis,37,0,0,0,0,0,0,1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,Bacteroides caccae,38,0,0,0,0,80612,212256,161732,142203
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuris,Bacteroides caecimuris,39,4,0,58,0,2,0,0,1
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,40,207,18,185,69,55410,156324,258293,85580
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus,Bacteroides clarus,41,0,0,0,0,5417,14041,103585,21221
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,Bacteroides eggerthii,42,15,44,15,34,35653,94176,120940,56141
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecalis,Bacteroides faecalis,43,2800,4256,8355,1863,33,38,55,43
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,Bacteroides faecis,44,0,0,0,0,13948,36638,171690,54830
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,Bacteroides finegoldii,45,0,0,0,0,11355,29249,121579,46181
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fluxus,Bacteroides fluxus,46,0,14,0,45,1,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,47,0,0,0,0,48611,122427,149358,78114
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinarum,Bacteroides gallinarum,48,0,1,0,0,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides humanifaecis,Bacteroides humanifaecis,49,2,0,0,27,0,0,0,10
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,Bacteroides intestinalis,50,81,308,1173,50,19100,49220,157725,90743
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides koreensis,Bacteroides koreensis,51,7,0,0,509,11,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides kribbi,Bacteroides kribbi,52,0,2,0,1,0,6,9,15
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides neonati,Bacteroides neonati,53,0,0,0,5,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,Bacteroides nordii,54,2,0,0,0,0,0,0,3
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides oleiciplenus,Bacteroides oleiciplenus,55,1,30,1,1,0,17,17,4
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides ovatus,56,0,0,0,0,120451,310777,153914,192465
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides parvus,Bacteroides parvus,57,13,5,11,0,0,0,7,1
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides propionicigenes,Bacteroides propionicigenes,58,0,0,0,0,0,0,1,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides rhinocerotis,Bacteroides rhinocerotis,59,133,284,277,220,6,9,2,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides rodentium,Bacteroides rodentium,60,1,27,79,0,2,17,1,11
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,Bacteroides salyersiae,61,0,0,19,249,10824,27795,162391,40171
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercorirosoris,Bacteroides stercorirosoris,62,0,0,4,0,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Bacteroides stercoris,63,298,652,2334,580,97133,283192,107372,157554
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,64,0,0,0,0,77965,209580,210742,129208
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides togonis,Bacteroides togonis,65,0,0,0,0,0,0,0,4
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis,66,859314,1293444,1324136,1659261,378642,335404,150726,610854
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,Bacteroides xylanisolvens,67,1283,1810,1943,2848,28581,73929,239751,41778
NA,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides zhangwenhongii,Bacteroides zhangwenhongii,68,0,0,0,0,0,5,2,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Bariatricus,Bariatricus massiliensis,Bariatricus massiliensis,69,0,0,0,0,0,2,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella intestinihominis,70,14,5,9,0,53078,135781,102847,74049
