species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,1,10
Acetivibrio ethanolgignens,6,14,7,10,25,63
Acidaminococcus fermentans,0,0,0,0,10,9
Acidaminococcus intestini,0,0,0,0,4798,18117
Acidaminococcus timonensis,0,0,0,0,2,25
Acidovorax soli,0,0,0,0,1,6
Acinetobacter johnsonii,0,0,0,0,17,71
Actinomyces urogenitalis,0,0,0,0,0,2
Acutalibacter muris,42,42,27,48,16,21
Adlercreutzia caecimuris,0,0,0,0,0,7
Adlercreutzia equolifaciens,0,0,0,0,9304,35036
Adlercreutzia mucosicola,0,0,0,0,1,0
Aedoeadaptatus coxii,0,0,0,0,0,3
Aedoeadaptatus urinae,0,0,0,0,0,1
Aerococcus christensenii,0,0,0,0,0,1
Aeromonas schubertii,0,0,0,0,0,6
Agathobacter rectalis,510063,767267,1013723,467466,219299,378794
Agathobaculum desmolans,20,52,18,34,108,255
Aguilavirus mEp213,0,0,0,0,3,3
Akkermansia muciniphila,0,0,0,0,70357,112847
Alicycliphilus denitrificans,0,0,0,0,2,19
Alistipes communis,0,0,0,0,36,48
Alistipes finegoldii,12,18,43,9,33095,65800
Alistipes ihumii,0,0,0,0,5,34
Alistipes indistinctus,0,0,0,0,0,1
Alistipes inops,0,0,0,0,11349,42761
Alistipes putredinis,295249,443977,733734,266519,131274,210433
Alistipes senegalensis,5,5,18,4,107,262
Alistipes shahii,64,88,188,50,16453,45407
Alistipes timonensis,0,0,0,0,5,14
Allofournierella massiliensis,4150,5562,5737,6211,361,474
Allofustis seminis,0,0,0,0,0,1
Alloprevotella rava,0,0,0,0,8,8
Alloprevotella tannerae,0,0,0,0,23,117
Alloscardovia criceti,0,0,0,0,21,41
Alloscardovia omnicolens,0,0,0,0,38,57
Alterileibacterium massiliense,0,0,0,0,13,22
Amedibacillus dolichus,106,192,98,216,133,456
Amylolactobacillus amylophilus,0,0,0,0,0,2
Anaerobium acetethylicum,0,0,0,0,0,3
Anaerobutyricum hallii,18,43,15,32,59385,104274
Anaerococcus lactolyticus,0,0,0,0,0,90
Anaerococcus mediterraneensis,0,0,0,0,1,7
Anaerococcus obesiensis,0,0,0,0,104,428
Anaerococcus prevotii,0,0,0,0,5,22
Anaerococcus provencensis,0,0,0,0,25,7
Anaerococcus tetradius,0,0,0,0,2,28
