species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetivibrio ethanolgignens,0,0,0,0,0,0,0,2
Acetobacterium wieringae,0,0,0,0,0,0,0,3
Acidaminococcus intestini,0,0,0,0,48,124,640,183
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,350
Adlercreutzia hattorii,0,0,0,0,0,0,2,0
Agathobacter rectalis,4934,7428,10025,4453,2189,1975,1024,3525
Agathobaculum butyriciproducens,0,0,0,0,164,459,746,284
Agathobaculum massiliense,0,0,0,0,1,0,0,0
Akkermansia muciniphila,0,0,0,0,812,2123,814,1305
Alistipes finegoldii,0,0,0,0,435,1244,870,677
Alistipes inops,0,0,0,0,0,0,647,0
Alistipes putredinis,2968,4406,7311,2673,1316,1104,671,2107
Alistipes shahii,0,0,0,0,127,325,1168,480
Alitiscatomonas aceti,0,0,0,0,0,1,0,0
Amedibacillus hominis,0,0,1,0,0,0,0,0
Anaerobutyricum hallii,0,0,0,0,637,1716,962,1032
Anaerostipes hadrus,0,0,0,3,754,1948,827,1206
Angelakisella massiliensis,0,0,0,0,0,0,2,3
Bacteroides caccae,0,0,0,0,836,2090,1660,1358
Bacteroides caecimuris,0,7,0,0,0,0,0,0
Bacteroides cellulosilyticus,0,0,21,0,491,1580,2566,886
Bacteroides clarus,0,0,0,0,53,145,1111,209
Bacteroides eggerthii,0,0,0,0,356,944,1199,550
Bacteroides faecalis,26,39,86,24,2,0,1,0
Bacteroides faecis,0,0,0,0,149,370,1666,516
Bacteroides finegoldii,0,1,0,0,113,303,1105,478
Bacteroides fragilis,0,0,0,0,482,1218,1485,785
Bacteroides intestinalis,0,0,0,6,259,478,1658,907
Bacteroides koreensis,0,0,0,8,0,0,0,1
Bacteroides oleiciplenus,2,0,0,0,0,0,0,0
Bacteroides ovatus,0,0,0,0,1212,3108,1672,1898
Bacteroides rhinocerotis,6,1,0,4,0,0,0,0
Bacteroides rodentium,3,6,0,0,0,0,0,0
Bacteroides salyersiae,0,0,0,0,105,277,1599,398
Bacteroides stercoris,11,5,25,7,939,2808,960,1582
Bacteroides thetaiotaomicron,0,0,0,0,762,2120,2376,1360
Bacteroides uniformis,8611,12965,13263,16590,3794,3339,1555,6109
Bacteroides xylanisolvens,0,19,18,32,263,751,2011,404
Bacteroides zhangwenhongii,0,0,0,0,0,1,1,0
Barnesiella intestinihominis,0,0,0,0,528,1228,1047,840
Bifidobacterium adolescentis,2824,4250,6042,2551,1221,1111,587,1968
Bifidobacterium angulatum,0,1,1,0,52,135,577,196
Bifidobacterium animalis,0,0,0,0,38,99,548,144
Bifidobacterium asteroides,0,0,0,0,0,2,0,0
Bifidobacterium bifidum,0,0,0,0,165,431,614,266
Bifidobacterium catenulatum,0,0,0,0,62,159,514,284
Bifidobacterium choerinum,1,0,0,0,0,0,0,0
Bifidobacterium longum,0,0,0,0,797,2097,685,1282
Bifidobacterium pseudocatenulatum,0,0,0,0,155,411,723,213
Blautia faecis,0,0,0,0,0,0,7,1
Blautia fusiformis,0,0,0,0,0,0,2,0
Blautia intestinihominis,0,4,0,0,0,0,1,0
Blautia luti,0,0,0,0,1,0,0,0
Blautia obeum,0,0,0,0,497,1323,1110,786
Blautia segnis,0,0,0,0,0,2,0,0
Blautia stercoris,0,0,0,0,0,0,0,4
Blautia wexlerae,0,0,0,0,523,1403,1444,802
Brotomerdimonas butyrica,0,0,0,0,0,0,3,0
Butyricicoccus faecihominis,0,0,0,0,0,2,3,0
Butyricimonas faecalis,0,3,0,0,0,0,0,0
Butyricimonas hominis,2,0,0,0,0,0,0,0
Candidatus Bacteroides intestinigallinarum,0,0,16,2,0,0,0,5
Catenibacterium faecis,0,0,0,0,16,34,140,31
Catenibacterium tridentinum,0,0,0,0,10,15,50,55
Clostridium porci,0,0,0,0,0,0,3,0
Collinsella aerofaciens,3035,4567,7101,2740,1303,1188,697,2096
Coprobacter secundus,0,0,1,0,0,0,0,0
Coprococcus catus,0,0,1,0,200,511,995,746
Coprococcus comes,0,0,0,0,573,1524,1086,952
Coprococcus eutactus,0,0,0,0,507,1345,874,847
Cupriavidus metallidurans,0,0,0,0,149,395,1947,568
Desulfovibrio piger,0,0,0,0,56,145,730,214
Dialister invisus,0,0,0,0,46,119,536,172
Dorea amylophila,3,0,0,0,0,0,0,0
Dorea formicigenerans,0,0,0,0,229,610,852,375
Dorea longicatena,0,0,0,0,711,1824,801,1188
Dysgonomonas massiliensis,0,0,0,3,0,0,0,0
Dysosmobacter segnis,0,0,0,0,0,6,0,0
Eggerthella lenta,0,0,0,0,57,149,990,213
Enterocloster alcoholdehydrogenati,0,0,0,0,0,4,0,0
Enterococcus durans,0,0,0,0,0,0,3,0
Enterococcus faecium,0,0,0,0,46,121,823,174
Escherichia coli,0,0,0,0,1390,3633,1585,2235
Eshraghiella crossota,0,0,0,0,346,894,693,545
Eubacterium ramulus,0,0,7,0,85,218,926,307
Eubacterium ventriosum,0,0,0,0,61,158,714,220
Faecalibacillus intestinalis,0,0,0,0,0,0,1,4
Faecalibacterium butyricigenerans,0,0,1,0,0,0,0,0
Faecalibacterium duncaniae,0,0,2,1,0,0,0,0
Faecalibacterium intestinale,0,0,0,0,0,0,0,1
Faecalibacterium longum,0,0,0,1,1,0,0,0
Faecalibacterium prausnitzii,8089,12175,8978,15612,3513,3166,902,5664
Faecalibacterium taiwanense,1,0,1,0,0,0,0,0
Faecalibacterium wellingii,0,0,0,0,1,0,0,0
Finegoldia magna,0,0,0,0,39,106,518,155
Flavonifractor plautii,0,0,0,0,125,327,1128,473
Fusicatenibacter faecihominis,0,2,0,0,0,0,0,0
Fusicatenibacter saccharivorans,0,0,0,0,1480,4040,986,2422
Gemmiger formicilis,0,0,0,0,119,331,879,465
Gordonibacter pamelaeae,0,0,0,0,46,120,947,177
Holdemanella biformis,0,0,0,0,115,297,664,429
Hominenteromicrobium mulieris,0,0,0,0,4,0,0,0
Hominiventricola aquisgranensis,0,0,0,0,1,0,0,2
Hoylesella buccalis,0,0,0,0,81,215,1081,303
Hoylesella timonensis,0,0,0,0,43,110,838,178
Intestinibacter bartlettii,0,0,0,0,61,160,842,228
Kandleria vitulina,0,0,0,0,0,0,5,0
Klebsiella aerogenes,0,0,0,0,0,0,0,1
Klebsiella pneumoniae,0,0,0,0,249,654,1267,934
Klebsiella quasivariicola,0,0,0,0,0,0,2,0
Klebsiella variicola,0,0,0,0,75,193,1895,285
Lachnospira eligens,0,0,0,0,565,1448,784,883
Lachnospira pectinoschiza,0,0,0,0,381,996,765,614
Laedolimicola ammoniilytica,0,0,0,0,0,0,1,0
Leyella stercorea,0,0,0,0,290,624,752,384
Ligilactobacillus agilis,0,0,0,0,0,1,0,0
Ligilactobacillus faecis,0,0,0,0,0,1,0,0
Ligilactobacillus murinus,0,0,0,0,0,1,0,0
Ligilactobacillus ruminis,0,0,0,0,51,133,583,193
Maccoya intestinihominis,0,0,0,0,0,1,0,0
Mediterraneibacter glycyrrhizinilyticus,0,0,0,0,2,0,0,0
Mediterraneibacter gnavus,0,0,0,0,199,532,1023,787
Megasphaera elsdenii,0,0,0,0,33,87,701,125
Methanobrevibacter smithii,0,0,0,0,265,692,524,425
Monoglobus pectinilyticus,0,0,0,0,39,100,776,147
Odoribacter splanchnicus,0,0,0,0,315,829,1246,506
Palleniella muris,0,0,7,0,0,0,0,0
Parabacteroides distasonis,1,1,1,1,993,2701,1390,1596
Parabacteroides faecis,0,0,3,0,0,0,0,0
Parabacteroides hominis,0,0,0,0,0,0,4,0
Parabacteroides merdae,0,0,0,0,554,1415,1116,897
Parabacteroides sp. TA-V-105,0,3,5,0,0,0,0,0
Paraclostridium ghonii,0,0,0,0,0,1,0,0
Paraclostridium tenue,0,0,0,0,0,1,0,0
Parafannyhessea umbonata,0,0,0,0,0,0,0,1
Paraprevotella xylaniphila,0,10,9,0,82,208,1101,305
Parasutterella excrementihominis,0,0,0,0,70,193,797,284
Phascolarctobacterium faecium,0,0,0,0,69,182,694,262
Phascolarctobacterium succinatutens,0,0,0,0,212,553,664,340
Phocaeicola coprocola,5,0,11,0,123,315,985,454
Phocaeicola dorei,4509,6812,18607,4072,1998,1822,1864,3268
Phocaeicola faecicola,3,0,0,0,0,0,0,0
Phocaeicola fibrisolvens,0,0,0,0,1,0,0,0
Phocaeicola massiliensis,0,0,0,0,178,485,1083,720
Phocaeicola plebeius,2,0,0,0,872,2468,1137,1338
Phocaeicola vulgatus,11977,18037,12805,22369,5261,4999,1240,8531
Pilosibacter fragilis,0,2,0,0,0,1,1,6
Prevotella bivia,0,0,0,0,137,340,671,502
Prevotella corporis,0,0,0,0,45,117,843,165
Prevotella disiens,0,0,0,0,34,92,693,129
Pseudomonas juntendi,0,0,0,0,0,0,0,2
Romboutsia faecis,0,0,0,0,0,1,0,0
Roseburia faecis,0,1,0,0,1304,3613,952,2150
Roseburia hominis,0,0,0,0,204,515,1182,790
Roseburia intestinalis,0,0,3,0,449,1149,1214,721
Roseburia inulinivorans,0,0,0,0,715,1693,1210,1060
Roseburia zhanii,0,0,2,0,0,2,2,0
Ruminococcoides intestinale,0,0,0,0,1,0,0,0
Ruminococcus bromii,2660,4001,5343,5138,1143,1030,521,1836
[Ruminococcus] lactaris,0,0,0,0,189,491,744,302
[Ruminococcus] torques,0,0,0,0,586,1545,789,944
Ruthenibacterium lactatiformans,0,0,0,0,165,441,1140,645
Segatella copri,50308,25233,10270,23683,49684,4796,1006,8460
Senegalimassilia anaerobia,0,0,0,1,0,0,0,0
Sharpea azabuensis,0,0,0,0,0,0,0,1
Simiaoa sunii,0,0,0,0,0,0,0,1
Slackia isoflavoniconvertens,0,0,0,0,59,157,655,226
Stomatobaculum longum,0,0,0,0,0,5,0,0
Streptococcus caecimuris,0,0,0,0,0,0,0,1
Streptococcus dentalis,0,0,0,0,0,0,1,0
Streptococcus gingivalis,0,0,0,0,1,0,0,0
Streptococcus parasanguinis,0,0,0,0,40,107,607,153
Streptococcus salivarius,0,0,0,0,132,344,632,499
Streptococcus sp. ST2,0,0,0,0,0,0,1,0
Streptococcus thermophilus,0,0,0,0,96,255,479,366
Streptococcus vestibularis,0,0,0,0,0,0,1,0
Terrisporobacter glycolicus,0,0,0,0,0,1,0,0
Terrisporobacter hibernicus,0,0,0,0,0,1,0,0
Terrisporobacter petrolearius,0,0,0,0,0,1,0,0
Tidjanibacter massiliensis,0,0,0,0,112,294,0,428
Traorella massiliensis,0,0,0,0,1,0,2,0
Veillonella parvula,0,0,0,0,30,78,603,113
Vescimonas fastidiosa,0,0,0,0,0,2,0,0
