species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetivibrio ethanolgignens,0,0,0,0,0,7,0,5
Acidaminococcus intestini,0,0,0,0,48,124,642,183
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,350
Adlercreutzia hattorii,0,0,0,0,0,1,0,0
Agathobacter rectalis,4937,7426,9931,4456,2146,1913,957,3412
Agathobaculum butyriciproducens,0,0,0,0,165,467,741,288
Agathobaculum massiliense,0,2,0,0,0,1,0,0
Akkermansia muciniphila,0,0,0,0,812,2123,814,1305
Alistipes finegoldii,0,0,0,0,466,1145,933,711
Alistipes inops,0,0,0,0,112,294,647,428
Alistipes provencensis,0,0,0,0,2,0,0,0
Alistipes putredinis,2954,4452,7329,2681,1254,1157,680,2084
Alistipes shahii,1,0,0,3,126,324,1102,479
Alitiscatomonas aceti,0,0,0,0,0,2,0,0
Anaerobutyricum hallii,0,0,0,0,652,1740,1003,1054
Anaerosacchariphilus hominis,0,0,0,0,2,0,0,0
Anaerostipes hadrus,0,0,0,0,748,1959,827,1202
Anaerotruncus colihominis,0,0,0,0,0,2,0,0
Bacteroides caccae,0,0,0,0,889,2175,1556,1309
Bacteroides cellulosilyticus,0,0,1,2,626,1497,2154,934
Bacteroides clarus,0,0,0,0,55,151,1076,218
Bacteroides eggerthii,0,0,4,4,358,936,1132,550
Bacteroides faecalis,0,45,78,6,0,0,0,0
Bacteroides faecichinchillae,2,0,0,0,0,0,0,2
Bacteroides faecis,0,0,0,0,164,408,1663,581
Bacteroides finegoldii,0,0,0,0,121,330,1369,552
Bacteroides fragilis,0,0,0,0,467,1230,1464,758
Bacteroides gallinarum,0,0,0,0,3,0,0,0
Bacteroides intestinalis,0,0,0,0,219,539,1637,894
Bacteroides koreensis,0,0,2,9,0,0,0,4
Bacteroides kribbi,0,0,0,0,0,0,0,1
Bacteroides ndongoniae,0,0,0,0,0,0,0,1
Bacteroides ovatus,0,0,0,0,1105,2916,1485,1797
Bacteroides parvus,0,0,0,0,2,0,0,0
Bacteroides rhinocerotis,0,0,5,0,0,1,0,0
Bacteroides rodentium,0,1,0,0,0,0,0,0
Bacteroides salyersiae,0,0,0,8,110,284,1531,413
Bacteroides stercorirosoris,0,3,0,0,0,0,0,0
Bacteroides stercoris,4,0,11,0,984,2598,1112,1559
Bacteroides thetaiotaomicron,0,0,0,0,732,2061,2005,1292
Bacteroides togonis,6,0,5,0,0,0,0,1
Bacteroides uniformis,8602,12942,13258,16575,3748,3485,1260,6032
Bacteroides xylanisolvens,27,13,23,31,367,994,2406,569
Bacteroides zhangwenhongii,0,0,0,0,1,1,0,0
Barnesiella intestinihominis,0,0,0,0,491,1334,954,786
Bartonella choladocola,0,0,0,0,0,1,0,0
Bifidobacterium adolescentis,2825,4250,6042,2550,1222,1126,600,1969
Bifidobacterium angulatum,0,1,1,0,52,135,564,195
Bifidobacterium animalis,0,0,0,0,38,99,550,144
Bifidobacterium bifidum,0,0,0,0,165,431,622,266
Bifidobacterium catenulatum,0,0,0,0,82,229,517,282
Bifidobacterium dentium,0,0,0,1,0,0,0,0
Bifidobacterium longum,0,0,0,0,797,2082,668,1284
Bifidobacterium merycicum,1,0,0,0,0,0,0,0
Bifidobacterium pseudocatenulatum,0,0,0,0,134,342,726,213
Bifidobacterium pseudolongum,0,0,0,0,0,0,1,0
Bifidobacterium saguini,0,0,0,0,0,2,0,0
Blautia argi,0,0,0,0,1,0,0,0
Blautia faecis,0,0,0,0,0,0,0,7
Blautia fusiformis,0,0,0,0,0,5,0,0
Blautia glucerasea,0,3,0,4,0,0,0,0
Blautia hansenii,0,0,0,0,0,0,0,3
Blautia intestinihominis,3,0,0,0,0,0,0,3
Blautia marasmi,0,0,0,0,0,0,2,0
Blautia obeum,0,0,0,0,511,1289,1057,774
Blautia segnis,0,0,0,0,0,6,2,5
Blautia stercoris,0,0,0,0,0,1,0,0
Blautia wexlerae,0,0,1,0,524,1313,1311,828
Brevundimonas nasdae,0,0,0,0,0,1,0,0
Butyricimonas hominis,0,0,10,0,0,0,0,0
Butyricimonas paravirosa,0,18,0,0,2,6,0,5
Candidatus Bacteroides intestinigallinarum,8,9,15,0,1,5,8,1
Catenibacterium faecis,0,0,0,0,16,36,143,61
Catenibacterium tridentinum,0,0,0,0,11,16,48,26
Christensenella massiliensis,0,0,0,0,0,9,0,0
Citrobacter koseri,0,0,0,0,0,0,0,1
Citrobacter sedlakii,0,0,0,0,0,1,0,1
[Clostridium] aminophilum,0,1,0,0,0,0,0,0
Clostridium porci,0,0,0,0,0,0,4,0
Collinsella aerofaciens,3035,4567,7101,2741,1303,1187,691,2095
Comamonas resistens,0,0,0,0,0,1,0,0
Coprobacter secundus,0,1,0,0,0,0,0,0
Coprococcus catus,7,0,2,0,204,545,1076,764
Coprococcus comes,0,11,0,0,565,1395,895,866
Coprococcus eutactus,0,0,0,0,513,1347,851,844
Coprococcus intestinihominis,1,0,0,0,0,0,0,3
Cupriavidus metallidurans,0,0,0,0,149,395,1945,567
Cupriavidus pauculus,0,0,0,0,0,0,2,0
Desulfovibrio piger,0,0,0,0,56,145,730,214
Dialister invisus,0,0,0,0,46,119,536,172
Dorea formicigenerans,0,0,0,0,229,605,878,364
Dorea hominis,0,0,0,0,0,0,1,0
Dorea longicatena,0,0,0,0,736,1855,795,1101
Dysosmobacter segnis,0,0,0,0,0,0,0,2
Eggerthella lenta,0,0,0,0,57,149,987,213
Ellagibacter isourolithinifaciens,0,0,0,0,0,0,0,1
Enterobacter chuandaensis,0,0,0,0,0,1,0,0
Enterobacter quasiroggenkampii,0,0,0,0,0,0,0,4
Enterobacter wuhouensis,0,0,0,0,0,0,2,0
Enterocloster alcoholdehydrogenati,0,0,0,2,0,0,0,0
Enterocloster bolteae,0,0,0,0,0,0,1,0
Enterococcus cecorum,0,0,0,0,0,0,1,0
Enterococcus faecium,0,0,0,0,46,121,824,174
Enterococcus lactis,0,0,0,0,0,0,1,0
Escherichia coli,0,0,0,0,1386,3628,1579,2228
Escherichia marmotae,0,0,0,0,1,0,1,0
Eshraghiella crossota,0,0,0,0,342,889,694,544
Eubacterium ramulus,0,0,0,0,86,217,918,312
Eubacterium ventriosum,0,0,0,0,62,160,843,230
Faecalibacillus intestinalis,0,0,0,0,0,0,1,4
Faecalibacterium duncaniae,0,0,0,0,1,1,0,3
Faecalibacterium hattorii,0,0,0,2,0,0,0,0
Faecalibacterium intestinale,0,0,0,0,0,0,0,1
Faecalibacterium prausnitzii,8070,12145,9053,15578,3482,3191,896,5616
Faecalibacterium taiwanense,0,0,0,0,0,3,0,0
Faecalibacterium tardum,3,1,8,13,0,0,1,0
Faecalibacterium wellingii,2,0,0,0,0,0,0,0
Finegoldia magna,0,0,0,0,38,106,518,155
Flavonifractor plautii,0,0,0,0,125,327,1131,472
Fusicatenibacter saccharivorans,0,4,4,0,1513,3891,1045,2385
Gemmiger formicilis,6,12,4,8,128,340,893,483
Gordonibacter pamelaeae,0,0,0,0,46,123,958,178
Holdemanella biformis,0,0,0,0,117,310,703,444
Hominenteromicrobium mulieris,0,0,0,0,2,3,0,0
Hominifimenecus microfluidus,0,0,4,0,1,0,3,0
Hominiventricola aquisgranensis,0,0,0,1,0,0,0,0
Hoylesella buccalis,0,0,0,0,86,190,887,279
Hoylesella timonensis,0,0,0,0,47,133,886,193
Huintestinicola butyrica,1,0,0,2,0,0,1,0
Intestinibacter bartlettii,0,0,0,0,61,161,842,228
Kandleria vitulina,0,0,0,0,0,0,5,1
Klebsiella pneumoniae,0,0,0,0,250,653,1732,848
Klebsiella quasipneumoniae,0,0,0,0,1,0,2,0
Klebsiella quasivariicola,0,0,0,0,0,1,0,0
Klebsiella variicola,0,0,0,0,74,192,1423,366
Lachnospira eligens,0,0,0,0,567,1468,795,901
Lachnospira pectinoschiza,0,0,0,0,381,996,765,614
Lactobacillus porci,0,2,0,0,0,0,0,0
Leeuwenhoekiella nanhaiensis,0,0,0,0,0,0,0,1
Leyella stercorea,6,4,0,0,249,661,802,408
Ligaoa zhengdingensis,0,0,1,0,0,0,0,0
Ligilactobacillus ruminis,0,0,0,0,51,134,584,193
Luxibacter massiliensis,0,0,0,0,0,0,12,0
Maccoya intestinihominis,0,0,0,0,0,2,0,0
Maribrevibacterium harenarium,0,0,0,0,0,0,1,0
Mediterraneibacter glycyrrhizinilyticus,0,0,0,0,0,0,6,0
Mediterraneibacter gnavus,0,0,0,0,200,559,1033,805
Megasphaera elsdenii,0,0,0,0,33,87,701,125
Merdibacter massiliensis,0,0,0,0,0,0,0,1
Methanobrevibacter smithii,0,0,0,0,265,692,524,425
Mitsuokella jalaludinii,0,0,0,2,0,0,0,0
Monoglobus pectinilyticus,0,0,0,0,40,100,774,147
Odoribacter splanchnicus,0,0,0,0,323,827,1241,512
Pantoea septica,0,0,0,0,0,0,1,0
Parabacteroides acidifaciens,0,3,0,0,0,0,0,0
Parabacteroides bouchesdurhonensis,0,0,0,0,0,2,0,0
Parabacteroides distasonis,0,1,18,0,1035,2658,1626,1613
Parabacteroides faecis,0,2,2,1,0,0,0,0
Parabacteroides hominis,3,0,0,0,0,0,0,0
Parabacteroides leei,0,0,1,0,0,0,0,9
Parabacteroides merdae,0,0,0,0,592,1512,1205,949
Paracoccus sulfuroxidans,0,0,0,0,0,1,0,0
Paraprevotella xylaniphila,0,0,27,0,82,209,1197,351
Parasutterella excrementihominis,0,0,0,0,72,193,800,284
Pasteurella dagmatis,0,0,0,0,0,0,0,1
Phascolarctobacterium faecium,0,0,0,0,69,182,694,262
Phascolarctobacterium succinatutens,0,0,0,0,212,552,663,337
Phocaeicola barnesiae,0,0,0,6,0,0,4,0
Phocaeicola coprocola,0,0,0,0,127,330,1046,474
Phocaeicola dorei,4430,6606,15208,3996,1864,1722,1319,3101
