species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Absicoccus porci,0,0,0,0,0,0,10,0
Acetivibrio ethanolgignens,0,0,0,0,57,126,172,93
Acidaminococcus hominis,0,0,0,0,0,0,0,3
Acidaminococcus intestini,0,0,0,0,4860,12687,64314,18323
Acidaminococcus timonensis,0,0,0,0,0,2,5,0
Adlercreutzia equolifaciens,0,0,0,0,9296,24310,80956,35027
Adlercreutzia hattorii,0,0,0,0,0,0,6,0
Aedoeadaptatus coli,0,0,0,0,0,0,0,1
Agathobacter rectalis,493375,742535,1002332,445467,218712,197315,99890,352169
Agathobaculum butyriciproducens,0,0,0,0,17897,46908,75071,28890
Agathobaculum faecis,0,0,0,0,2,0,3,0
Agathobaculum massiliense,0,5,3,0,0,1,2,0
Akkermansia massiliensis,0,0,0,0,0,1,0,0
Akkermansia muciniphila,0,0,0,0,81196,212333,81400,130510
Alcanivorax profundi,0,1,0,0,0,0,0,0
Alistipes communis,0,0,0,0,0,0,1,0
Alistipes finegoldii,0,0,0,0,42332,112450,88730,77648
Alistipes inops,0,0,0,0,0,1,1,0
Alistipes intestinihominis,0,0,0,0,0,1,0,0
Alistipes provencensis,0,0,95,0,0,0,0,0
Alistipes putredinis,297290,441739,731848,266139,132069,108108,66356,209925
Alistipes shahii,0,0,0,0,12680,33300,115229,47877
Amedibacillus hominis,0,4,2,0,6,90,62,0
Anaerobutyricum hallii,0,0,0,0,63473,169634,95693,103882
Anaerobutyricum soehngenii,0,0,0,0,0,11,0,6
Anaerolactibacter massiliensis,0,0,0,0,0,16,0,0
Anaerosacchariphilus hominis,0,0,0,0,0,0,9,0
Anaerostipes butyraticus,0,0,0,0,0,0,0,12
Anaerostipes hadrus,1,0,0,3,75481,194860,82529,120071
Anaerostipes rhamnosivorans,0,0,0,0,0,0,3,0
Anaerotruncus colihominis,0,0,0,0,0,2,13,0
Angelakisella massiliensis,10,1,11,8,27,12,0,10
Bacillus andreraoultii,0,0,0,0,0,1,0,0
Bacillus halotolerans,0,0,0,0,0,0,1,0
Bacillus rubiinfantis,0,0,0,0,1,0,1,0
Bacillus sinesaloumensis,0,0,0,0,0,0,1,0
Bacillus velezensis,0,0,0,0,0,0,1,0
Bacteroides caccae,0,0,0,0,80612,212256,161732,142203
Bacteroides caecimuris,4,0,58,0,2,0,0,1
Bacteroides cellulosilyticus,207,18,185,69,55410,156324,258293,85580
Bacteroides clarus,0,0,0,0,5417,14041,103585,21221
Bacteroides eggerthii,15,44,15,34,35653,94176,120940,56141
Bacteroides faecalis,2800,4256,8355,1863,33,38,55,43
Bacteroides faecis,0,0,0,0,13948,36638,171690,54830
Bacteroides finegoldii,0,0,0,0,11355,29249,121579,46181
Bacteroides fluxus,0,14,0,45,1,0,0,0
Bacteroides fragilis,0,0,0,0,48611,122427,149358,78114
Bacteroides gallinarum,0,1,0,0,0,0,0,0
Bacteroides humanifaecis,2,0,0,27,0,0,0,10
Bacteroides intestinalis,81,308,1173,50,19100,49220,157725,90743
Bacteroides koreensis,7,0,0,509,11,0,0,0
Bacteroides kribbi,0,2,0,1,0,6,9,15
Bacteroides neonati,0,0,0,5,0,0,0,0
Bacteroides nordii,2,0,0,0,0,0,0,3
Bacteroides oleiciplenus,1,30,1,1,0,17,17,4
Bacteroides ovatus,0,0,0,0,120451,310777,153914,192465
Bacteroides parvus,13,5,11,0,0,0,7,1
Bacteroides propionicigenes,0,0,0,0,0,0,1,0
Bacteroides rhinocerotis,133,284,277,220,6,9,2,0
Bacteroides rodentium,1,27,79,0,2,17,1,11
Bacteroides salyersiae,0,0,19,249,10824,27795,162391,40171
Bacteroides stercorirosoris,0,0,4,0,0,0,0,0
Bacteroides stercoris,298,652,2334,580,97133,283192,107372,157554
Bacteroides thetaiotaomicron,0,0,0,0,77965,209580,210742,129208
Bacteroides togonis,0,0,0,0,0,0,0,4
Bacteroides uniformis,859314,1293444,1324136,1659261,378642,335404,150726,610854
Bacteroides xylanisolvens,1283,1810,1943,2848,28581,73929,239751,41778
Bacteroides zhangwenhongii,0,0,0,0,0,5,2,0
Bariatricus massiliensis,0,0,0,0,0,2,0,0
Barnesiella intestinihominis,14,5,9,0,53078,135781,102847,74049
Barnesiella viscericola,0,0,0,7,0,0,0,0
Beduini massiliensis,0,0,0,0,0,0,2,0
Bifidobacterium actinocoloniiforme,0,2,4,0,0,0,0,0
Bifidobacterium adolescentis,282407,424950,604116,254977,122160,111129,56632,196887
Bifidobacterium angulatum,17,14,38,22,5172,13674,57461,19459
Bifidobacterium animalis,0,0,0,0,3818,9985,54791,14400
Bifidobacterium biavatii,0,0,0,0,0,2,7,5
Bifidobacterium bifidum,0,0,0,0,16554,43332,61978,26663
Bifidobacterium boum,0,0,0,0,7,0,0,2
Bifidobacterium breve,0,0,0,0,1,5,0,0
Bifidobacterium catenulatum,0,2,40,12,6246,16043,52724,28217
Bifidobacterium eulemuris,0,0,0,0,0,6,3,0
Bifidobacterium hominis,1,0,1,0,0,0,0,0
Bifidobacterium imperatoris,0,0,0,4,0,0,0,2
Bifidobacterium italicum,0,17,0,0,0,2,0,0
Bifidobacterium longum,0,0,5,0,79572,209698,68402,127934
Bifidobacterium merycicum,0,0,0,0,2,0,0,1
Bifidobacterium miconisargentati,0,0,0,0,0,0,1,0
Bifidobacterium pseudocatenulatum,15,29,7,0,15517,40637,72739,21642
Bifidobacterium pseudolongum,0,0,0,0,0,0,0,9
Bifidobacterium ramosum,2,0,0,0,0,0,0,0
Bifidobacterium ruminantium,46,40,59,7,4,0,1,0
Bifidobacterium saguini,11,9,15,10,22,24,7,6
Bifidobacterium scaligerum,0,3,0,0,0,0,0,0
Bifidobacterium scardovii,8,3,11,7,0,11,19,16
Bifidobacterium simiiventris,0,12,0,0,0,0,0,0
Blautia acetigignens,0,0,1,0,0,3,0,0
Blautia ammoniilytica,1,35,40,37,11,8,0,0
Blautia celeris,0,0,0,0,20,0,0,0
Blautia difficilis,0,0,0,0,0,0,1,0
Blautia faecicola,0,0,0,0,5,5,5,2
Blautia faecis,0,0,0,0,42,17,0,4
Blautia fusiformis,20,21,51,1,0,14,12,1
Blautia glucerasea,9,0,0,0,2,0,3,12
Blautia hansenii,0,0,0,0,0,6,2,0
Blautia intestinihominis,2,8,51,20,0,91,51,44
Blautia luti,0,2,0,11,12,18,34,39
Blautia marasmi,0,0,0,0,8,0,0,0
Blautia obeum,0,0,0,0,49897,130878,109102,79401
Blautia parvula,0,0,0,0,0,0,0,5
Blautia segnis,0,0,0,0,92,239,204,160
Blautia stercoris,1,0,0,0,6,13,16,0
Blautia wexlerae,0,0,0,0,51950,139884,146007,80097
Brenneria uluponensis,0,0,0,0,0,1,0,0
Butyribacter intestini,0,0,0,0,0,2,0,0
Butyricicoccus faecihominis,0,0,0,0,0,0,1,0
Butyricimonas faecalis,0,0,0,0,0,16,13,31
Butyricimonas hominis,30,87,420,0,0,0,3,0
Butyricimonas paravirosa,210,9,43,152,21,9,1,23
Candidatus Bacteroides intestinigallinarum,858,1193,1250,588,59,47,99,81
Carnobacterium gallinarum,0,0,0,0,0,0,3,0
Carnobacterium inhibens,0,0,0,0,0,0,0,5
Carnobacterium jeotgali,0,0,0,0,0,4,7,0
Catenibacillus scindens,0,0,0,0,0,0,0,5
Catenibacterium faecis,0,0,0,0,1741,4286,13436,6218
Catenibacterium tridentinum,0,0,0,0,629,1740,5254,2496
Christensenella massiliensis,0,0,0,0,0,0,7,0
Christensenella timonensis,0,0,0,0,0,0,0,2
Citrobacter farmeri,0,0,0,0,2,0,0,0
Citrobacter meridianamericanus,0,0,0,0,0,14,15,9
Citrobacter portucalensis,0,0,0,0,0,0,11,8
Citrobacter sedlakii,0,0,0,0,1,2,2,0
Citrobacter tructae,0,0,0,0,0,0,0,5
Claveliimonas bilis,0,0,0,0,2,4,0,2
Clostridium ammoniilyticum,0,0,0,0,0,1,4,1
Clostridium fessum,0,0,0,0,0,4,0,0
Clostridium porci,0,0,1,0,0,40,50,22
Clostridium segne,9,1,31,3,0,0,0,0
[Clostridium] symbiosum,1,0,0,0,0,0,0,0
Collinsella aerofaciens,303489,456644,710103,273978,130401,118741,69848,209696
Comamonas kerstersii,0,0,0,0,0,6,0,0
Confluentibacter sediminis,0,0,0,0,2,0,12,19
Coprobacillus cateniformis,0,0,0,0,0,1,0,0
Coprobacter secundus,0,8,5,0,0,0,0,0
Coprococcus aceti,0,0,0,0,0,0,1,1
Coprococcus catus,5,8,5,0,19167,51228,96997,76674
Coprococcus comes,94,145,195,63,58371,153690,91264,92307
Coprococcus eutactus,0,0,0,0,51412,134450,87690,84279
Coprococcus intestinihominis,0,0,0,13,0,0,7,0
Coprococcus phoceensis,4,5,8,6,5,0,3,5
Criibacterium bergeronii,0,0,0,0,0,3,0,0
Cryphonectria parasitica,0,0,0,0,0,1,0,0
Culturomica massiliensis,7,1,141,122,0,1,0,0
Cupriavidus metallidurans,0,0,0,0,15179,39695,195063,57182
Denitrobacterium detoxificans,0,0,0,0,0,0,44,5
Desulfovibrio piger,0,0,0,0,5637,14740,72976,21236
Dialister invisus,0,0,0,0,4562,11927,53607,17184
