species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Acetivibrio ethanolgignens,0,0,0,0,10,31,13,7
Acidaminococcus fermentans,0,0,0,0,0,0,1,0
Acidaminococcus intestini,0,0,0,0,484,1273,6442,1833
Acidovorax temperans,0,0,0,0,0,0,4,1
Adlercreutzia equolifaciens,0,0,0,0,930,2431,8095,3502
Aedoeadaptatus coli,0,0,0,0,0,2,0,0
Agathobacter rectalis,49297,74156,99196,44509,20572,18965,10352,34066
Agathobaculum butyriciproducens,0,0,0,0,1817,4726,7506,2910
Agathobaculum massiliense,4,1,8,20,8,11,0,0
Akkermansia muciniphila,0,0,0,0,8119,21233,8140,13051
Alistipes finegoldii,0,0,0,0,4660,11419,10136,7107
Alistipes inops,0,0,0,0,1137,2972,6501,4283
Alistipes provencensis,0,0,1,0,0,0,0,0
Alistipes putredinis,29469,44359,73148,26734,12995,11355,6927,20793
Alistipes shahii,0,1,2,1,1253,3310,10039,4767
Allofournierella massiliensis,0,0,0,0,0,1,0,3
Amedibacillus hominis,0,0,0,0,0,0,17,14
Anaerobutyricum hallii,0,0,0,0,6587,17469,9726,10618
Anaerobutyricum soehngenii,0,0,0,0,5,0,0,14
Anaerosacchariphilus hominis,0,0,0,0,0,2,0,0
Anaerosporobacter faecicola,0,0,0,0,1,0,0,0
Anaerostipes hadrus,0,0,0,0,7612,19463,8263,12008
Anaerotruncus colihominis,0,0,0,0,0,1,0,0
Anaerotruncus rubiinfantis,0,0,0,2,0,0,0,0
Andreesenia angusta,0,0,0,0,0,3,0,0
Angelakisella massiliensis,0,0,0,0,0,0,4,2
Aquabacterium parvum,0,0,0,0,0,0,1,0
Bacteroides bouchesdurhonensis,0,0,0,0,0,0,1,0
Bacteroides caccae,0,0,0,0,8910,22088,15163,14139
Bacteroides cellulosilyticus,0,21,26,3,5993,15874,21619,9233
Bacteroides clarus,0,0,0,0,607,1481,11296,2139
Bacteroides eggerthii,21,0,9,0,3500,9299,11324,5704
Bacteroides faecalis,255,119,608,258,10,19,2,2
Bacteroides faecichinchillae,0,0,0,0,0,0,0,4
Bacteroides faecis,0,0,0,0,1597,4104,19278,5881
Bacteroides finegoldii,0,0,0,0,1244,3354,13851,4687
Bacteroides fluxus,0,0,0,0,0,1,0,0
Bacteroides fragilis,0,0,0,0,4673,12221,14670,7526
Bacteroides humanifaecis,0,0,3,0,1,0,0,0
Bacteroides intestinalis,3,0,24,2,2096,5463,16461,8445
Bacteroides koreensis,7,0,0,5,1,0,5,0
Bacteroides kribbi,0,8,32,0,0,8,0,0
Bacteroides ndongoniae,0,0,0,0,0,1,0,0
Bacteroides neonati,1,0,0,0,0,0,0,0
Bacteroides oleiciplenus,1,2,0,0,0,2,20,0
Bacteroides ovatus,0,0,0,0,11117,28905,14722,18210
Bacteroides parvus,0,0,0,0,0,1,0,0
Bacteroides rhinocerotis,104,41,57,51,7,2,4,0
Bacteroides rodentium,0,1,3,0,1,0,0,4
Bacteroides salyersiae,0,0,0,0,1087,2773,15205,3967
Bacteroides stercorirosoris,0,13,0,0,0,0,0,0
Bacteroides stercoris,14,0,8,9,9623,27117,10634,15382
Bacteroides thetaiotaomicron,0,0,0,0,7412,20589,17579,12556
