Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,1,0,0,0,0,0,0,1
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans,2,0,0,0,0,0,1,0
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,3,0,0,0,0,48,638,180
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii,4,0,0,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,5,0,0,0,0,2,4,1
NA,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Acutalibacter muris,6,2,0,0,1,0,0,0
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,7,0,0,0,0,93,810,351
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Adlercreutzia mucosicola,8,0,0,0,0,0,0,1
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus urinae,Aedoeadaptatus urinae,9,0,0,0,0,0,2,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas schubertii,Aeromonas schubertii,10,0,0,0,0,0,2,0
