species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acetivibrio ethanolgignens,0,0,0,0,0,1,0,1
Acidaminococcus fermentans,0,0,0,0,0,0,1,0
Acidaminococcus intestini,0,0,0,0,48,124,637,181
Acinetobacter baumannii,0,0,0,0,0,0,1,0
Acinetobacter johnsonii,0,0,0,0,2,0,2,2
Acutalibacter muris,2,0,0,1,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,350
Adlercreutzia mucosicola,0,0,0,0,0,1,0,1
Aeromonas schubertii,0,0,0,0,0,0,2,0
Agathobacter rectalis,5098,7680,10153,4658,2178,2133,933,3762
Agathobaculum desmolans,1,0,0,2,1,3,4,0
Akkermansia muciniphila,0,0,0,0,701,1858,697,1123
Alicycliphilus denitrificans,0,0,0,0,0,0,1,0
Alistipes communis,0,0,0,0,0,3,1,1
Alistipes finegoldii,0,0,0,0,394,1071,828,614
Alistipes ihumii,0,0,0,0,0,0,2,0
Alistipes inops,0,0,0,0,112,294,647,427
Alistipes putredinis,2938,4437,7353,2669,1311,1071,650,2117
Alistipes senegalensis,0,0,0,0,1,3,3,1
Alistipes shahii,2,6,0,1,122,308,1132,463
Allofournierella massiliensis,26,79,56,86,0,0,0,2
Alloprevotella rava,0,0,0,0,0,0,0,4
Alloprevotella tannerae,0,0,0,0,0,2,1,0
Alloscardovia criceti,0,0,0,0,0,2,0,1
Alloscardovia omnicolens,0,0,0,0,0,1,1,0
Alterileibacterium massiliense,0,0,0,0,1,0,0,2
Amedibacillus dolichus,1,1,1,0,3,8,9,1
Amylolactobacillus amylophilus,0,0,0,0,0,0,1,0
Anaerobutyricum hallii,0,0,1,2,605,1578,882,1053
Anaerococcus obesiensis,0,0,0,0,0,0,16,0
Anaerococcus tetradius,0,0,0,0,0,0,7,0
Anaerostipes caccae,0,0,0,0,0,2,0,1
Anaerostipes hadrus,6,1,2,3,602,1547,686,944
Anaerotignum lactatifermentans,5,24,6,12,15,19,12,15
Anaerotignum neopropionicum,0,9,7,8,3,1,3,4
Anaerotruncus colihominis,0,0,0,0,3,6,17,6
Anaerotruncus rubiinfantis,0,40,0,55,0,0,0,0
Andreesenia angusta,0,0,0,0,0,7,4,2
Angelakisella massiliensis,40,3,0,26,0,8,5,0
Aspergillus clavatus,0,0,0,0,3,0,0,0
Atopococcus tabaci,0,0,0,0,0,0,4,1
Bacillus thermotolerans,0,0,0,1,0,0,0,0
Bacteroides caccae,0,0,0,0,626,1869,1279,1081
Bacteroides cellulosilyticus,8,13,18,13,556,1482,2518,1007
Bacteroides faecichinchillae,6,7,11,2,9,12,12,10
Bacteroides fluxus,15,15,278,93,6,19,21,26
Bacteroides fragilis,23,34,86,5,431,1140,1456,727
Bacteroides ihuae,0,0,0,0,0,0,0,1
Bacteroides nordii,1,1,2,2,16,21,43,22
Bacteroides ovatus,4,1,5,0,1236,3421,2941,2014
Bacteroides reticulotermitis,0,0,0,0,5,6,7,1
Bacteroides salyersiae,4,3,11,4,105,269,1457,391
Bacteroides stercoris,0,0,1,1,866,2693,1249,1427
Bacteroides thetaiotaomicron,29,44,75,29,844,1980,2403,1514
Bacteroides uniformis,8603,12933,13292,16547,3822,3677,1342,6150
Bariatricus massiliensis,0,0,0,0,0,1,5,3
Barnesiella intestinihominis,0,0,0,0,591,1287,982,964
Bifidobacterium adolescentis,2825,4250,6043,2550,1232,1147,661,1986
Bifidobacterium angulatum,0,1,0,1,53,141,616,202
Bifidobacterium biavatii,0,0,0,0,0,3,3,0
Bifidobacterium bifidum,0,0,0,0,153,406,582,255
Bifidobacterium breve,0,0,0,0,10,36,24,15
Bifidobacterium callitrichos,0,0,0,0,0,1,0,0
Bifidobacterium choerinum,0,0,0,0,0,0,0,1
Bifidobacterium cuniculi,0,0,0,0,0,0,2,0
Bifidobacterium dentium,0,0,0,0,1,3,16,9
Bifidobacterium longum,0,0,0,0,637,1610,524,1019
Bifidobacterium pseudolongum,0,0,0,0,1,3,9,1
Bifidobacterium pullorum,0,0,0,0,0,0,1,2
Bifidobacterium reuteri,0,0,0,0,3,6,10,7
Bifidobacterium saguini,0,0,0,0,1,3,1,3
Bifidobacterium scardovii,0,0,0,0,0,2,1,0
Bifidobacterium stellenboschense,0,0,0,0,0,0,0,1
Bifidobacterium subtile,0,0,0,0,0,0,1,0
Bifidobacterium tsurumiense,0,0,0,0,0,0,1,0
Bilophila wadsworthia,0,0,0,0,0,0,2,1
Bittarella massiliensis (ex Durand et al. 2017),0,2,0,0,0,0,0,0
Blautia hansenii,0,2,0,0,14,34,56,42
Blautia hydrogenotrophica,3,12,7,8,4,10,1,0
Blautia obeum,21,38,30,55,837,2503,2090,1528
Blautia producta,0,0,0,0,1,4,5,3
Brussowvirus bvO1205,0,0,0,0,0,0,0,1
Butyricicoccus pullicaecorum,0,0,0,0,0,3,1,0
Butyricimonas synergistica,3,2,3,0,1,0,1,1
Carnobacterium jeotgali,0,0,0,0,0,0,4,0
Carnobacterium maltaromaticum,0,0,0,0,0,0,4,0
Cellulomonas carbonis,0,0,1,0,1,0,1,0
Christensenella minuta,0,0,0,0,1,3,14,4
Clostridioides difficile,0,0,0,0,2,2,5,2
[Clostridium] aminophilum,0,0,0,0,0,0,0,1
Clostridium lundense,0,0,1,0,0,1,0,0
Clostridium phoceensis,9,12,6,5,3,1,2,9
[Clostridium] scindens,0,0,0,0,1,0,0,0
[Clostridium] symbiosum,0,2,1,3,0,3,1,16
Collinsella aerofaciens,3031,4558,7088,2738,1301,1187,709,2097
Collinsella bouchesdurhonensis,0,0,0,0,0,0,11,2
Collinsella ihumii,0,1,0,0,0,1,0,0
Comamonas kerstersii,0,0,0,0,1,0,0,0
Comamonas testosteroni,0,0,0,0,1,0,1,0
Coprobacter fastidiosus,1,0,1,0,0,0,2,1
Coprococcus eutactus,7,9,16,6,501,1408,909,817
Cronobacter sakazakii,0,0,0,0,2,0,1,2
Cuauhtlivirus mEpX1,0,0,0,0,0,2,0,0
Culturomica massiliensis,0,0,0,0,6,7,6,0
Cupriavidus basilensis,0,0,0,0,1,1,31,8
Cupriavidus metallidurans,0,0,0,0,112,329,1514,453
