species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50
Acetivibrio ethanolgignens,6,14,7,10
Acutalibacter muris,42,42,27,48
Agathobacter rectalis,510063,767267,1013723,467466
Agathobaculum desmolans,20,52,18,34
Alistipes finegoldii,12,18,43,9
Alistipes putredinis,295249,443977,733734,266519
Alistipes senegalensis,5,5,18,4
Alistipes shahii,64,88,188,50
Allofournierella massiliensis,4150,5562,5737,6211
Amedibacillus dolichus,106,192,98,216
Anaerobutyricum hallii,18,43,15,32
Anaerostipes hadrus,137,183,127,549
Anaerotignum lactatifermentans,1353,965,1054,1280
Anaerotignum neopropionicum,447,804,324,574
Anaerotruncus colihominis,7,20,4,13
Anaerotruncus rubiinfantis,0,0,1,438
Angelakisella massiliensis,1371,3136,2237,6257
Bacillus thermotolerans,0,0,260,0
Bacteroides caccae,0,0,0,1
Bacteroides cellulosilyticus,733,1404,2110,825
Bacteroides faecichinchillae,330,498,970,549
Bacteroides fluxus,1284,1950,3785,1090
Bacteroides fragilis,2763,4089,7881,2540
Bacteroides ihuae,50,58,131,39
Bacteroides nordii,70,155,185,63
Bacteroides ovatus,124,186,404,144
Bacteroides reticulotermitis,1,0,3,0
Bacteroides salyersiae,507,754,1713,767
Bacteroides stercoris,42,77,248,51
Bacteroides thetaiotaomicron,2392,3637,7336,2113
Bacteroides uniformis,858421,1292099,1328038,1655595
Bariatricus massiliensis,32,45,38,56
Bifidobacterium actinocoloniiforme,3,0,17,0
Bifidobacterium adolescentis,282469,425032,604243,255015
Bifidobacterium angulatum,29,38,32,19
Bifidobacterium coryneforme,0,1,0,0
Bifidobacterium dentium,0,1,0,0
Bifidobacterium longum,0,5,2,2
Bifidobacterium pseudolongum,0,0,0,2
Bifidobacterium reuteri,1,0,0,0
Bifidobacterium scardovii,5,5,0,2
Bifidobacterium tsurumiense,0,0,2,0
Bittarella massiliensis (ex Durand et al. 2017),25,32,20,43
Blautia hansenii,16,33,36,71
Blautia hydrogenotrophica,443,668,481,628
Blautia obeum,2266,3345,3292,6108
Butyricicoccus pullicaecorum,6,10,11,12
Butyricimonas synergistica,67,122,231,66
Butyrivibrio hungatei,2,0,0,0
Cellulomonas carbonis,28,35,82,23
Christensenella timonensis,58,138,36,83
Clostridium lundense,18,26,78,16
Clostridium phoceensis,428,699,818,1290
[Clostridium] scindens,0,1,0,2
[Clostridium] symbiosum,158,167,400,198
Collinsella aerofaciens,303117,455998,708989,273752
Collinsella ihumii,11,24,35,16
Coprobacter fastidiosus,25,33,77,24
Coprococcus eutactus,595,846,1162,1108
Dakarella massiliensis,0,4,0,0
Dorea formicigenerans,12,19,22,31
Enorma massiliensis,0,0,4,0
Enterocloster bolteae,0,0,0,2
Enterocloster citroniae,2,11,9,13
Enterococcus cecorum,9,28,81,19
Eshraghiella crossota,383,605,625,336
Ethanoligenens harbinense,2,8,7,9
Eubacterium coprostanoligenes,15,35,17,47
Eubacterium pyruvativorans,0,1,1,0
Eubacterium ramulus,6,8,6,7
Eubacterium ventriosum,27,50,82,73
Faecalibacterium duncaniae,89648,134169,100519,179622
Faecalicatena contorta,3328,4995,3205,5707
Faecalicoccus pleomorphus,43,57,273,262
Flavonifractor plautii,4,8,9,16
Fusicatenibacter saccharivorans,3826,1045,3006,7118
Gemmiger formicilis,9956,14618,11233,18894
Holdemania massiliensis,432,1187,480,1566
Hungatella hathewayi,63,87,83,152
Intestinimonas butyriciproducens,64,66,57,72
Johnsonella ignava,13,25,19,59
Lachnoanaerobaculum saburreum,0,0,2,0
Lachnoclostridium phocaeense,235,327,141,318
Lactobacillus amylovorus,0,0,1,0
Lactobacillus pasteurii,8,0,0,0
Lactonifactor longoviformis,92,52,143,83
Leyella stercorea,10123,15119,31184,9097
Limosilactobacillus mucosae,2,0,0,13
Marvinbryantia formatexigens,0,0,0,3
Massilioclostridium coli,0,0,4,2
Mediterranea massiliensis,7,6,13,3
Mediterraneibacter gnavus,4,8,5,5
Merdibacter massiliensis,78,107,67,136
Merdimmobilis hominis,13,32,34,34
Merdimonas faecis,17,11,7,19
Negativibacillus massiliensis,10,5,3,9
Neglectibacter timonensis,13,2,1,6
Odoribacter splanchnicus,25,27,57,8
Oribacterium parvum,15,21,17,35
Parabacteroides distasonis,18,21,34,10
Parabacteroides johnsonii,2260,4363,8850,2428
Paraprevotella xylaniphila,1,7,14,5
Phocaeicola barnesiae,1439,847,2338,444
Phocaeicola coprocola,1,3,16,4
Phocaeicola coprophilus,58,86,153,111
Phocaeicola plebeius,137,174,478,27
Phocaeicola salanitronis,3,7,13,4
Phocaeicola vulgatus,1395723,2099514,2356726,2418205
Porphyromonas gingivalis,2,2,3,1
Porphyromonas somerae,2,0,3,0
Prevotella bivia,32,2,0,1
Prevotella fusca,8,0,0,0
Prevotella intermedia,6,10,18,6
Prevotella scopos,0,18,0,1
Prevotellamassilia timonensis,48,69,59,109
Provencibacterium massiliense,13,20,14,23
Pseudoflavonifractor capillosus,434,257,110,548
Roseburia faecis,395,1150,1094,935
Roseburia hominis,2561,6289,2507,1666
Roseburia intestinalis,79,369,142,178
Roseburia inulinivorans,1707,2552,3933,2958
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,1
Ruminococcus callidus,81,127,146,198
Ruminococcus sp. YE282,255,383,520,472
[Ruminococcus] torques,0,3,1,2
Ruthenibacterium lactatiformans,674,1013,642,3674
Segatella baroniae,0,0,5,12
Segatella copri,5030654,2523192,1027279,2368192
Segatella salivae,7,0,0,0
Sharpea azabuensis,0,0,0,2
Solobacterium moorei,20,13,10,23
Stomatobaculum longum,810,847,598,1941
Subdoligranulum variabile,248,4046,403,692
Traorella massiliensis,67,150,65,202
Treponema putidum,1,1,6,3
Treponema succinifaciens,4,1,0,1
Treponema vincentii,43,70,44,109
Veillonella seminalis,0,1,0,1
Xylanibacter oryzae,0,2,2,0
