"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",240524,0.30529742903019,236038.1,0.29960347613706
537011,"Segatella copri",236652,0.300382694345897,236648.3,0.30037799048922
411479,"Bacteroides uniformis",165223,0.209717770853034,169707.7,0.215410170915358
515619,"Agathobacter rectalis",46666,0.059233215076761,46410,0.0589082970285393
411903,"Collinsella aerofaciens",27363,0.0347318918301421,27362.3,0.0347309790506454
445970,"Alistipes putredinis",26785,0.0339982356711748,26789.5,0.0340040000227011
367928,"Bifidobacterium adolescentis",25505,0.0323735299904168,25505,0.0323735299904168
411483,"Faecalibacterium duncaniae",12310,0.0156250991641651,12534.2,0.0159096342532009
745368,"Gemmiger formicilis",1336,0.00169578655429119,1356.3,0.00172159158600841
763034,"Bacteroides fluxus",855,0.00108525262269384,813.6,0.00103266371760012
1650663,"Allofournierella massiliensis",477,0.000605456726344983,389.2,0.000493972698897879
1150298,"Fusicatenibacter saccharivorans",458,0.000581340001396231,425.1,0.000539562446751933
39482,"Faecalicatena contorta",414,0.000525490743620174,397.7,0.000504803063571539
40520,"Blautia obeum",313,0.000397291310997861,316,0.000401038070731418
1871018,"Angelakisella massiliensis",287,0.000364289476857464,323.4,0.000410532917949593
622312,"Roseburia inulinivorans",245,0.000310978821707591,276.3,0.000350665212845486
295405,"Bacteroides fragilis",238,0.000302093712515946,244.9,0.000310842512259929
999419,"Parabacteroides johnsonii",228,0.000289400699385024,227.5,0.000288825458412712
226186,"Bacteroides thetaiotaomicron",222,0.00028178489150647,222.1,0.000281860926076798
1002367,"Leyella stercorea",198,0.000251321659992257,222.6,0.00028251440111985
1650661,"Clostridium phoceensis",161,0.000204357511407846,132,0.000167570623557509
1211819,"Holdemania massiliensis",116,0.000147238952318696,120.8,0.000153306921785551
796942,"Stomatobaculum longum",107,0.000135815240500866,121.5,0.000154195167835917
411474,"Coprococcus eutactus",104,0.00013200733656159,104,0.000131998029706398
1121323,"Anaerotignum lactatifermentans",97,0.000123122227369944,100.3,0.00012726521429851
246787,"Bacteroides cellulosilyticus",79,0.000100274803734284,82.1,0.000104237024460392
NA,"unknown genome; accession ID isNZ_EQ973339.1",77,9.77362011081e-05,94.8,0.000120310957009633
585394,"Roseburia hominis",75,9.51975984819156e-05,85.7,0.000108835917136811
NA,"unknown genome; accession ID isNZ_DS480350.1",71,9.01203932295468e-05,70.9,8.99824993579472e-05
1550024,"Ruthenibacterium lactatiformans",69,8.75817906033624e-05,110.8,0.000140589860698529
36847,"Anaerotignum neopropionicum",64,8.12352840379013e-05,63.3,8.03869335002831e-05
476272,"Blautia hydrogenotrophica",57,7.23501748462559e-05,52.4,6.65113904437666e-05
3158780,"Ruminococcus sp. YE282",47,5.96571617153338e-05,47,5.96571617153338e-05
1121094,"Phocaeicola barnesiae",44,5.58492577760572e-05,48.6,6.16401889338175e-05
511680,"Eshraghiella crossota",37,4.69641485844117e-05,40.1,5.09127391491532e-05
1121101,"Bacteroides salyersiae",37,4.69641485844117e-05,37,4.69632170138627e-05
1236513,"Bacteroides faecichinchillae",37,4.69641485844117e-05,38.8,4.92553475935125e-05
1871021,"Lachnoclostridium phocaeense",25,3.17325328273052e-05,30.7,3.90067667273629e-05
411467,"Pseudoflavonifractor capillosus",19,2.4116724948752e-05,20.5,2.60762199842352e-05
649756,"Anaerostipes hadrus",19,2.4116724948752e-05,26,3.29690643152231e-05
1796620,"Acutalibacter muris",15,1.90395196963831e-05,11.6,1.47207527422249e-05
28116,"Bacteroides ovatus",14,1.77702183832909e-05,14,1.77705560822632e-05
566550,"Hungatella hathewayi",14,1.77702183832909e-05,12.8,1.61847959427152e-05
1297617,"Intestinimonas butyriciproducens",10,1.26930131309221e-05,10.2,1.29650991913704e-05
547042,"Phocaeicola coprophilus",8,1.01544105047377e-05,4.8,6.14907266586634e-06
NA,"unknown genome; accession ID isNZ_GG662007.1",8,1.01544105047377e-05,6.4,8.16832330963925e-06
1121129,"Butyricimonas synergistica",8,1.01544105047377e-05,8,1.01544106384439e-05
NA,"unknown genome; accession ID isNZ_CCFE01000031.1",8,1.01544105047377e-05,8,1.01731464961378e-05
1903263,"Traorella massiliensis",8,1.01544105047377e-05,7.4,9.3799106337376e-06
428127,"Amedibacillus dolichus",7,8.88510919164546e-06,6.6,8.41328407008849e-06
1125702,"Treponema vincentii",6,7.61580787855325e-06,6,7.63303572242069e-06
536231,"Roseburia intestinalis",6,7.61580787855325e-06,8.8,1.1108743556907e-05
NA,"unknown genome; accession ID isNZ_JNKJ01000018.1",6,7.61580787855325e-06,6.3,7.97326421744438e-06
484018,"Phocaeicola plebeius",6,7.61580787855325e-06,8.6,1.09374575003005e-05
717959,"Alistipes shahii",6,7.61580787855325e-06,6.2,7.85457203566857e-06
449673,"Bacteroides stercoris",5,6.34650656546104e-06,4.8,6.0328347999029e-06
1122155,"Lactonifactor longoviformis",5,6.34650656546104e-06,4.6,5.89893694108901e-06
1745713,"Bariatricus massiliensis",5,6.34650656546104e-06,6.3,8.00003037771075e-06
742740,"[Clostridium] symbiosum",4,5.07720525236883e-06,5.4,6.87601392646896e-06
868129,"Prevotella bivia",4,5.07720525236883e-06,1.9,2.43081384876785e-06
290054,"Eubacterium coprostanoligenes",4,5.07720525236883e-06,4,5.07726653879981e-06
997884,"Bacteroides nordii",4,5.07720525236883e-06,4.6,5.77949508050791e-06
947969,"Cellulomonas carbonis",3,3.80790393927663e-06,3,3.80873719519553e-06
537007,"Blautia hansenii",2,2.53860262618442e-06,2.3,2.89658819107434e-06
NA,"unknown genome; accession ID isNZ_KB850945.1",2,2.53860262618442e-06,2.1,2.6159015306325e-06
411471,"Subdoligranulum variabile",2,2.53860262618442e-06,2.4,3.04319227910455e-06
663278,"Ethanoligenens harbinense",2,2.53860262618442e-06,2,2.53860262618442e-06
290052,"Acetivibrio ethanolgignens",2,2.53860262618442e-06,2.1,2.62548874632972e-06
301302,"Roseburia faecis",2,2.53860262618442e-06,3.6,4.56194599187359e-06
742733,"Enterocloster citroniae",2,2.53860262618442e-06,2.9,3.7093422406517e-06
1841868,"Provencibacterium massiliense",2,2.53860262618442e-06,2.1,2.63377086547904e-06
1852362,"Bacteroides ihuae",2,2.53860262618442e-06,2,2.53860266966898e-06
1852370,"Prevotellamassilia timonensis",2,2.53860262618442e-06,3,3.8683895245326e-06
NA,"unknown genome; accession ID isNZ_KB907513.1",1,1.26930131309221e-06,1,1.29588472827198e-06
NA,"unknown genome; accession ID isNZ_KB907524.1",1,1.26930131309221e-06,1.2,1.48775347693312e-06
411463,"Eubacterium ventriosum",1,1.26930131309221e-06,1.3,1.6402483272714e-06
44008,"Enterococcus cecorum",1,1.26930131309221e-06,0.8,9.74540549409859e-07
1410653,"Clostridium lundense",1,1.26930131309221e-06,1,1.31095805337331e-06
1236518,"Prevotella scopos",1,1.26930131309221e-06,1.6,1.98267500422269e-06
