Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,Acetitomaculum ruminis,1,0,0,0,0,1,17,10,10
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio cellulolyticus,Acetivibrio cellulolyticus,2,0,0,0,0,0,0,2,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio clariflavus,Acetivibrio clariflavus,3,0,0,0,0,0,0,12,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio ethanolgignens,Acetivibrio ethanolgignens,4,6,14,7,10,25,71,100,63
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio thermocellus,Acetivibrio thermocellus,5,0,0,0,0,0,0,2,0
NA,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii,Acetoanaerobium sticklandii,6,0,0,0,0,0,0,4,0
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans,7,0,0,0,0,0,1,4,0
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus fermentans,8,0,0,0,0,10,7,111,9
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,9,0,0,0,0,4798,12548,63606,18117
NA,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus timonensis,Acidaminococcus timonensis,10,0,0,0,0,2,1,37,25
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax soli,Acidovorax soli,11,0,0,0,0,1,2,19,6
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter baumannii,12,0,0,0,0,0,0,13,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter defluvii,Acinetobacter defluvii,13,0,0,0,0,0,1,3,0
NA,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter johnsonii,14,0,0,0,0,17,52,135,71
NA,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,Actinomyces urogenitalis,15,0,0,0,0,0,0,0,2
NA,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Acutalibacter muris,16,42,42,27,48,16,17,2,21
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia caecimuris,Adlercreutzia caecimuris,17,0,0,0,0,0,0,17,7
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,18,0,0,0,0,9304,24309,81141,35036
NA,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia mucosicola,Adlercreutzia mucosicola,19,0,0,0,0,1,5,0,0
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus coxii,Aedoeadaptatus coxii,20,0,0,0,0,0,1,2,3
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Aedoeadaptatus,Aedoeadaptatus urinae,Aedoeadaptatus urinae,21,0,0,0,0,0,0,1,1
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii,Aerococcus christensenii,22,0,0,0,0,0,0,2,1
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans,23,0,0,0,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,Aeromonas salmonicida,24,0,0,0,0,0,0,4,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas schubertii,Aeromonas schubertii,25,0,0,0,0,0,0,9,6
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas simiae,Aeromonas simiae,26,0,0,0,0,0,1,0,0
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,27,510063,767267,1013723,467466,219299,215878,92666,378794
NA,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum desmolans,Agathobaculum desmolans,28,20,52,18,34,108,365,559,255
NA,Uroviricota,Caudoviricetes,NA,NA,Aguilavirus,Aguilavirus mEp213,Aguilavirus mEp213,29,0,0,0,0,3,16,7,3
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,30,0,0,0,0,70357,183948,70552,112847
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans,31,0,0,0,0,2,10,43,19
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,Alistipes communis,32,0,0,0,0,36,68,71,48
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,33,12,18,43,9,33095,107135,82850,65800
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes ihumii,Alistipes ihumii,34,0,0,0,0,5,27,66,34
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,Alistipes indistinctus,35,0,0,0,0,0,0,1,1
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops,Alistipes inops,36,0,0,0,0,11349,29697,64939,42761
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,37,295249,443977,733734,266519,131274,104650,64771,210433
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis,Alistipes senegalensis,38,5,5,18,4,107,272,445,262
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,39,64,88,188,50,16453,32235,111989,45407
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis,Alistipes timonensis,40,0,0,0,0,5,11,15,14
NA,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Alkalibacter,Alkalibacter saccharofermentans,Alkalibacter saccharofermentans,41,0,0,0,0,0,0,1,0
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Allobaculum stercoricanis,Allobaculum stercoricanis,42,0,0,0,0,0,0,1,0
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Allofournierella,Allofournierella massiliensis,Allofournierella massiliensis,43,4150,5562,5737,6211,361,362,65,474
NA,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Allofustis,Allofustis seminis,Allofustis seminis,44,0,0,0,0,0,0,2,1
NA,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella rava,Alloprevotella rava,45,0,0,0,0,8,19,13,8
NA,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,Alloprevotella tannerae,46,0,0,0,0,23,60,259,117
NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia criceti,Alloscardovia criceti,47,0,0,0,0,21,54,14,41
NA,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,Alloscardovia omnicolens,48,0,0,0,0,38,105,33,57
NA,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Alterileibacterium,Alterileibacterium massiliense,Alterileibacterium massiliense,49,0,0,0,0,13,56,30,22
NA,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus,Amedibacillus dolichus,50,106,192,98,216,133,432,767,456
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus,Amylolactobacillus amylophilus,51,0,0,0,0,0,3,8,2
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobium,Anaerobium acetethylicum,Anaerobium acetethylicum,52,0,0,0,0,0,2,1,3
NA,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii,53,18,43,15,32,59385,155136,90793,104274
NA,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus lactolyticus,Anaerococcus lactolyticus,54,0,0,0,0,0,33,282,90
