species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetivibrio ethanolgignens,0,0,1,0,0,2,0,1
Acidaminococcus intestini,0,0,0,0,48,123,637,180
Acidovorax soli,0,0,0,0,0,0,2,0
Acinetobacter baumannii,0,0,0,0,0,1,0,0
Acinetobacter johnsonii,0,0,0,0,2,0,3,1
Acutalibacter muris,2,0,0,0,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,93,243,810,351
Adlercreutzia mucosicola,0,0,0,0,0,0,0,1
Agathobacter rectalis,5038,7598,10082,4631,2163,2094,978,3568
Agathobaculum desmolans,0,0,0,0,2,4,1,1
Akkermansia muciniphila,0,0,0,0,698,1851,697,1119
Alicycliphilus denitrificans,0,0,0,0,0,0,1,0
Alistipes communis,0,0,0,0,0,3,1,1
Alistipes finegoldii,0,0,0,0,370,875,853,502
Alistipes ihumii,0,0,0,0,0,0,2,0
Alistipes inops,0,0,0,0,112,294,647,428
Alistipes putredinis,2958,4466,7395,2681,1246,1160,710,2083
Alistipes senegalensis,0,0,0,0,2,7,9,6
Alistipes shahii,3,4,0,1,130,328,964,510
Alistipes timonensis,0,0,0,0,0,1,0,0
Allofournierella massiliensis,29,56,28,53,0,0,0,3
Alloprevotella rava,0,0,0,0,0,0,2,3
Alloprevotella tannerae,0,0,0,0,0,2,0,1
Alloscardovia criceti,0,0,0,0,0,2,0,1
Alloscardovia omnicolens,0,0,0,0,0,1,1,0
Alterileibacterium massiliense,0,0,0,0,1,0,0,1
Amedibacillus dolichus,1,1,0,0,3,9,6,6
Amylolactobacillus amylophilus,0,0,0,0,0,0,1,0
Anaerobutyricum hallii,0,0,0,0,631,1728,1010,1026
Anaerococcus lactolyticus,0,0,0,0,0,0,0,2
Anaerococcus mediterraneensis,0,0,0,0,0,0,1,0
Anaerococcus obesiensis,0,0,0,0,0,0,9,0
Anaerococcus prevotii,0,0,0,0,0,0,1,0
Anaerococcus tetradius,0,0,0,0,0,0,1,0
Anaerostipes caccae,0,0,0,0,0,2,0,1
Anaerostipes hadrus,0,1,3,3,582,1517,646,948
Anaerotignum lactatifermentans,6,20,6,9,13,13,14,16
Anaerotignum neopropionicum,4,5,7,7,7,2,1,5
