species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acetitomaculum ruminis,0,0,0,0,2,14,15,7
Acetivibrio cellulolyticus,0,0,0,0,0,0,3,0
Acetivibrio clariflavus,0,0,0,0,0,0,9,0
Acetivibrio ethanolgignens,2,14,3,10,110,113,75,72
Acidaminococcus fermentans,0,0,0,0,8,10,40,9
Acidaminococcus intestini,0,0,0,0,4801,12539,63603,18155
Acidaminococcus timonensis,0,0,0,0,2,0,88,20
Acidovorax soli,0,0,0,0,0,6,28,10
Acinetobacter johnsonii,0,0,0,0,29,60,183,110
Acutalibacter muris,18,25,57,35,12,23,4,23
Adlercreutzia caecimuris,0,0,0,0,0,0,1,6
Adlercreutzia equolifaciens,0,0,0,0,9291,24323,80880,35050
Adlercreutzia mucosicola,0,0,0,0,1,3,9,0
Aedoeadaptatus coxii,0,0,0,0,0,1,5,6
Aedoeadaptatus urinae,0,0,0,0,0,0,0,1
Aerococcus christensenii,0,0,0,0,0,0,1,0
Aerococcus viridans,0,0,0,0,0,0,1,0
Aeromonas salmonicida,0,0,0,0,0,0,1,2
Aeromonas schubertii,0,0,0,0,0,1,0,0
Aeromonas simiae,0,0,0,0,0,0,0,6
Agathobacter rectalis,506073,761443,1009448,466618,210336,212223,100393,361036
Agathobaculum desmolans,0,2,2,3,152,437,449,333
Aguilavirus mEp213,0,0,0,0,17,58,15,14
Akkermansia muciniphila,0,0,0,0,69989,182978,70178,112271
Alicycliphilus denitrificans,0,0,0,0,4,13,62,21
Alistipes communis,0,0,0,0,60,134,135,137
Alistipes finegoldii,12,10,31,6,33204,89821,84871,56052
Alistipes ihumii,0,0,0,0,4,22,64,33
Alistipes indistinctus,0,0,0,0,0,0,2,1
Alistipes inops,0,0,0,0,11355,29716,64984,42803
Alistipes putredinis,296858,446542,737855,267958,125583,111178,69261,205765
Alistipes senegalensis,5,3,11,4,265,607,691,478
