species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acetitomaculum ruminis,0,0,0,0,0,2,2,0
Acetivibrio cellulolyticus,0,0,0,0,0,0,2,0
Acetivibrio ethanolgignens,0,2,0,1,2,8,3,3
Acetoanaerobium sticklandii,0,0,0,0,0,0,1,0
Acidaminococcus fermentans,0,0,0,0,0,0,15,1
Acidaminococcus intestini,0,0,0,0,470,1263,6360,1817
Acidaminococcus timonensis,0,0,0,0,1,0,3,3
Acidovorax soli,0,0,0,0,0,0,1,0
Acinetobacter baumannii,0,0,0,0,0,2,0,0
Acinetobacter johnsonii,0,0,0,0,2,5,7,8
Acutalibacter muris,7,4,4,8,1,3,1,1
Adlercreutzia caecimuris,0,0,0,0,0,0,1,4
Adlercreutzia equolifaciens,0,0,0,0,930,2431,8113,3505
Adlercreutzia mucosicola,0,0,0,0,0,1,0,0
Aeromonas schubertii,0,0,0,0,0,0,1,0
Aeromonas simiae,0,0,0,0,0,0,1,0
Agathobacter rectalis,50951,76657,101545,46724,21870,21480,9272,37736
Agathobaculum desmolans,3,1,0,8,10,30,47,23
Aguilavirus mEp213,0,0,0,0,0,3,2,1
Akkermansia muciniphila,0,0,0,0,6998,18467,7007,11309
Alicycliphilus denitrificans,0,0,0,0,0,0,2,3
Alistipes communis,0,0,0,0,0,14,11,6
Alistipes finegoldii,2,4,5,1,3377,10673,8282,6571
Alistipes ihumii,0,0,0,0,0,3,6,3
Alistipes inops,0,0,0,0,1133,2970,6491,4277
Alistipes putredinis,29512,44331,73419,26632,13128,10460,6364,21236
Alistipes senegalensis,1,0,0,1,9,36,40,25
Alistipes shahii,5,14,19,7,1597,3225,11283,4525
Alistipes timonensis,0,0,0,0,0,2,1,1
Allofournierella massiliensis,179,719,607,837,17,42,6,31
Alloprevotella rava,0,0,0,0,0,1,1,0
Alloprevotella tannerae,0,0,0,0,6,14,12,17
Alloscardovia criceti,0,0,0,0,3,7,2,6
Alloscardovia omnicolens,0,0,0,0,5,8,3,4
Alterileibacterium massiliense,0,0,0,0,4,4,2,5
Amedibacillus dolichus,20,20,13,16,23,58,65,31
Amylolactobacillus amylophilus,0,0,0,0,0,1,2,1
Anaerobutyricum hallii,1,5,1,3,5969,15681,9053,10698
Anaerococcus lactolyticus,0,0,0,0,0,10,17,56
Anaerococcus mediterraneensis,0,0,0,0,0,0,5,2
Anaerococcus obesiensis,0,0,0,0,11,7,133,2
Anaerococcus prevotii,0,0,0,0,0,10,16,24
Anaerococcus provencensis,0,0,0,0,3,1,1,1
Anaerococcus tetradius,0,0,0,0,1,0,19,2
Anaerostipes caccae,0,0,0,0,4,17,14,13
Anaerostipes hadrus,11,34,9,57,6443,15416,6664,9220
Anaerotignum lactatifermentans,52,99,104,133,57,156,149,92
