"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",24039,0.305129279159209,23643.9,0.300114660137712
537011,"Segatella copri",23665,0.300382062120001,23664.7,0.300378297052456
411479,"Bacteroides uniformis",16545,0.210007235063402,16939.9,0.21501976114556
515619,"Agathobacter rectalis",4631,0.0587817168678522,4616.3,0.0585953328157758
411903,"Collinsella aerofaciens",2737,0.034740997423302,2737,0.0347409917293049
445970,"Alistipes putredinis",2681,0.0340301841767894,2681.4,0.0340352371220803
367928,"Bifidobacterium adolescentis",2551,0.0323800819973852,2551,0.0323800819973852
411483,"Faecalibacterium duncaniae",1212,0.0153840295495221,1226.2,0.0155638380200569
745368,"Gemmiger formicilis",145,0.00184049858472005,142.9,0.00181429742439899
763034,"Bacteroides fluxus",88,0.00111699224451976,55.5,0.000703986700472209
1650663,"Allofournierella massiliensis",53,0.000672733965449399,47.2,0.000599691373272721
1150298,"Fusicatenibacter saccharivorans",47,0.000596575403323052,42.8,0.000543655238757514
40520,"Blautia obeum",38,0.000482337560133531,38.6,0.00048984448303319
39482,"Faecalicatena contorta",34,0.000431565185382633,33.7,0.000427796123758411
1871018,"Angelakisella massiliensis",31,0.00039348590431946,28,0.000355108495315111
449673,"Bacteroides stercoris",29,0.000368099716944011,27,0.000342969743027663
226186,"Bacteroides thetaiotaomicron",26,0.000330020435880837,26,0.000330200422278327
1550024,"Ruthenibacterium lactatiformans",23,0.000291941154817664,18.2,0.000230986376629752
622312,"Roseburia inulinivorans",21,0.000266554967442215,21.6,0.000274366502351306
1002367,"Leyella stercorea",17,0.000215782592691317,47.8,0.000607287459427907
NA,"unknown genome; accession ID isNZ_EQ973339.1",14,0.000177703311628143,14.6,0.000185051082807463
1121094,"Phocaeicola barnesiae",14,0.000177703311628143,13.8,0.000175480795512251
796942,"Stomatobaculum longum",14,0.000177703311628143,15.4,0.000195684959168591
585394,"Roseburia hominis",13,0.000165010217940419,15.8,0.000201030181890428
246787,"Bacteroides cellulosilyticus",11,0.00013962403056497,11.4,0.0001442231173025
999419,"Parabacteroides johnsonii",11,0.00013962403056497,11.5,0.000145989192420746
411467,"Pseudoflavonifractor capillosus",9,0.000114237843189521,10.1,0.00012815254730949
1121323,"Anaerotignum lactatifermentans",9,0.000114237843189521,9.5,0.000121028752580417
36847,"Anaerotignum neopropionicum",7,8.88516558140716e-05,11.7,0.000148161736537593
3158780,"Ruminococcus sp. YE282",6,7.61585621263471e-05,6,7.61585621263471e-05
476272,"Blautia hydrogenotrophica",6,7.61585621263471e-05,5.8,7.34468823597264e-05
NA,"unknown genome; accession ID isNZ_DS480350.1",5,6.34654684386225e-05,5,6.400083011454e-05
295405,"Bacteroides fragilis",4,5.0772374750898e-05,4.4,5.59579629806891e-05
411474,"Coprococcus eutactus",4,5.0772374750898e-05,4,5.12743620703471e-05
301302,"Roseburia faecis",4,5.0772374750898e-05,4.6,5.88638330677303e-05
1720200,"Anaerotruncus rubiinfantis",4,5.0772374750898e-05,5.4,6.83447101155454e-05
1903263,"Traorella massiliensis",4,5.0772374750898e-05,4.5,5.68623565124987e-05
411463,"Eubacterium ventriosum",3,3.80792810631735e-05,3.1,3.90987904382725e-05
NA,"unknown genome; accession ID isNZ_JNKJ01000018.1",3,3.80792810631735e-05,3.7,4.64715868634e-05
1121101,"Bacteroides salyersiae",3,3.80792810631735e-05,2.7,3.46513363842538e-05
649756,"Anaerostipes hadrus",3,3.80792810631735e-05,3.5,4.38106761508549e-05
1297617,"Intestinimonas butyriciproducens",3,3.80792810631735e-05,3,3.86979226364266e-05
1650661,"Clostridium phoceensis",3,3.80792810631735e-05,5.2,6.59383302697804e-05
1211819,"Holdemania massiliensis",2,2.5386187375449e-05,2.8,3.60770428523246e-05
1123313,"Faecalicoccus pleomorphus",1,1.26930936877245e-05,1.9,2.38410919620579e-05
1125702,"Treponema vincentii",1,1.26930936877245e-05,1,1.2693145524818e-05
752555,"Segatella baroniae",1,1.26930936877245e-05,0.6,8.07606201598971e-06
445972,"Anaerotruncus colihominis",1,1.26930936877245e-05,1.1,1.41004937068492e-05
997884,"Bacteroides nordii",1,1.26930936877245e-05,1,1.32400080157132e-05
717959,"Alistipes shahii",1,1.26930936877245e-05,1.3,1.68178078162816e-05
547042,"Phocaeicola coprophilus",1,1.26930936877245e-05,3.1,3.97580846884628e-05
NA,"unknown genome; accession ID isNZ_GG662007.1",1,1.26930936877245e-05,1.2,1.56250017697773e-05
1236513,"Bacteroides faecichinchillae",1,1.26930936877245e-05,1.2,1.54252924737271e-05
1221996,"Bacillus thermotolerans",1,1.26930936877245e-05,1.2,1.49642610493988e-05
1871021,"Lachnoclostridium phocaeense",1,1.26930936877245e-05,1.4,1.77993483413775e-05
