"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",2521234,0.309705295039082,2521210.7,0.309702436581314
435590,"Phocaeicola vulgatus",2077319,0.25517532041266,2052473.8,0.252123362543129
411479,"Bacteroides uniformis",1287764,0.158187351733599,1311367.9,0.161086821521207
515619,"Agathobacter rectalis",761443,0.093534725047514,761339.7,0.0935220314578264
411903,"Collinsella aerofaciens",455969,0.0560106732154474,455968.6,0.056010622182039
445970,"Alistipes putredinis",446542,0.0548526720872961,447799,0.0550070753570293
367928,"Bifidobacterium adolescentis",425068,0.0522148322415423,425068,0.0522148322413422
411483,"Faecalibacterium duncaniae",85176,0.0104629154653035,87325.7,0.0107269770060751
745368,"Gemmiger formicilis",20641,0.00253551514651226,18191.9,0.00223467079833181
763034,"Bacteroides fluxus",14688,0.00180425592132029,14392.3,0.00176793273081087
295405,"Bacteroides fragilis",4215,0.000517765434937706,4395.6,0.000539953917229316
1150298,"Fusicatenibacter saccharivorans",4074,0.000500445167719149,3521.4,0.000432559454421887
999419,"Parabacteroides johnsonii",4067,0.000499585296296951,4083.8,0.000501645681676192
226186,"Bacteroides thetaiotaomicron",3476,0.000426987580508533,3479.1,0.000427368682426822
1871018,"Angelakisella massiliensis",2854,0.000350581862707524,2977.6,0.0003657636748877
1002367,"Leyella stercorea",2498,0.000306851258950033,2689.2,0.000330342218685271
39482,"Faecalicatena contorta",2320,0.000284985957071288,2325,0.000285600331323661
40520,"Blautia obeum",2199,0.000270122465344725,2197,0.000269877330023528
622312,"Roseburia inulinivorans",2004,0.000246168904297785,2767.7,0.000339978202506177
1211819,"Holdemania massiliensis",1633,0.000200595718921299,1518,0.000186465458584375
1550024,"Ruthenibacterium lactatiformans",1624,0.000199490169949901,1428.3,0.000175454428981033
796942,"Stomatobaculum longum",1481,0.000181924225182145,1511.9,0.000185719325862548
246787,"Bacteroides cellulosilyticus",1120,0.000137579427551656,1104.6,0.000135683373306546
301302,"Roseburia faecis",902,0.000110800574688923,652,8.00870286288079e-05
1236513,"Bacteroides faecichinchillae",899,0.000110432058365124,796.6,9.78485894325878e-05
411474,"Coprococcus eutactus",722,8.86895952609783e-05,729,8.95504708197376e-05
585394,"Roseburia hominis",676,8.30390116293925e-05,625.6,7.68526506520603e-05
1203606,"Butyricicoccus pullicaecorum",599,7.35804259852161e-05,567.6,6.97255227540942e-05
1650661,"Clostridium phoceensis",573,7.03866178456241e-05,820.4,0.000100775972379804
1121101,"Bacteroides salyersiae",564,6.92810688742269e-05,552.2,6.78288248212639e-05
NA,"unknown genome; accession ID isNZ_EQ973339.1",507,6.22792587220443e-05,507.5,6.23359924478632e-05
NA,"unknown genome; accession ID isNZ_DS480350.1",479,5.88397730332529e-05,484.5,5.95202378534041e-05
1121094,"Phocaeicola barnesiae",459,5.63829975412591e-05,475.1,5.83595260782441e-05
1650663,"Allofournierella massiliensis",448,5.50317710206625e-05,749.1,9.20127888878158e-05
3158780,"Ruminococcus sp. YE282",424,5.20836404302698e-05,423.9,5.20770057752315e-05
36847,"Anaerotignum neopropionicum",394,4.8398477192279e-05,424.4,5.21384405043218e-05
511680,"Eshraghiella crossota",350,4.29935711098926e-05,341.1,4.18961869458393e-05
476272,"Blautia hydrogenotrophica",326,4.00454405194999e-05,324.9,3.99098556815594e-05
649756,"Anaerostipes hadrus",297,3.64831160561088e-05,298.9,3.67207107124025e-05
1221996,"Bacillus thermotolerans",278,3.41491793387147e-05,258,3.16983684695091e-05
536231,"Roseburia intestinalis",266,3.26751140435183e-05,207,2.5425006421444e-05
28116,"Bacteroides ovatus",186,2.28480120755429e-05,186.2,2.28770827770221e-05
547042,"Phocaeicola coprophilus",162,1.98998814851503e-05,177.9,2.18538991052989e-05
411467,"Pseudoflavonifractor capillosus",157,1.92856876121518e-05,163.2,2.00462715573893e-05
1297617,"Intestinimonas butyriciproducens",124,1.52320080503619e-05,129.7,1.59308197802268e-05
1121323,"Anaerotignum lactatifermentans",104,1.27752325583681e-05,124.7,1.53124177382881e-05
997884,"Bacteroides nordii",100,1.22838774599693e-05,101.4,1.24611439170595e-05
428127,"Amedibacillus dolichus",89,1.09326509393727e-05,87.6,1.0758321169196e-05
566550,"Hungatella hathewayi",87,1.06869733901733e-05,93.5,1.14869356792235e-05
717959,"Alistipes shahii",80,9.82710196797544e-06,92.9,1.14091026894364e-05
1121129,"Butyricimonas synergistica",80,9.82710196797544e-06,80,9.82710214730055e-06
1122155,"Lactonifactor longoviformis",73,8.96723054577759e-06,109.4,1.34442965856109e-05
1871021,"Lachnoclostridium phocaeense",69,8.47587544737882e-06,78.5,9.63865543830833e-06
1125702,"Treponema vincentii",59,7.24748770138189e-06,59.6,7.32275697665283e-06
1852370,"Prevotellamassilia timonensis",59,7.24748770138189e-06,55.9,6.86328137715947e-06
1852362,"Bacteroides ihuae",54,6.63329382838342e-06,54,6.63329869813648e-06
449673,"Bacteroides stercoris",45,5.52774485698618e-06,47,5.76890892539395e-06
1236518,"Prevotella scopos",44,5.40490608238649e-06,40,4.91477126591022e-06
1903263,"Traorella massiliensis",43,5.2820673077868e-06,34.1,4.18717814283126e-06
NA,"unknown genome; accession ID isNZ_JNKJ01000018.1",39,4.79071220938803e-06,64,7.86443412234132e-06
290054,"Eubacterium coprostanoligenes",38,4.66787343478833e-06,38,4.66788161140597e-06
NA,"unknown genome; accession ID isNZ_KB850945.1",37,4.54503466018864e-06,37.2,4.57360348182852e-06
435591,"Parabacteroides distasonis",31,3.80800201259048e-06,28.4,3.48867124939165e-06
796943,"Oribacterium parvum",29,3.5623244633911e-06,31,3.80957260599678e-06
NA,"unknown genome; accession ID isNZ_GG662007.1",26,3.19380813959202e-06,26.7,3.28508698060599e-06
1720204,"Collinsella ihumii",25,3.07096936499233e-06,24.7,3.03817148950447e-06
1796620,"Acutalibacter muris",25,3.07096936499233e-06,27.8,3.41842519109823e-06
663278,"Ethanoligenens harbinense",24,2.94813059039263e-06,24.1,2.95476778684614e-06
947969,"Cellulomonas carbonis",24,2.94813059039263e-06,24,2.94905474884587e-06
1349822,"Coprobacter fastidiosus",23,2.82529181579294e-06,23,2.82568808504133e-06
411471,"Subdoligranulum variabile",22,2.70245304119325e-06,25.3,3.10990812750841e-06
709991,"Odoribacter splanchnicus",21,2.57961426659355e-06,21,2.57968871128318e-06
44008,"Enterococcus cecorum",20,2.45677549199386e-06,20.5,2.52318150427103e-06
1410653,"Clostridium lundense",18,2.21109794279447e-06,23.6,2.90259490893186e-06
1745713,"Bariatricus massiliensis",15,1.84258161899539e-06,14.3,1.75542040638081e-06
518635,"Bifidobacterium angulatum",14,1.7197428443957e-06,13.8,1.69063772319085e-06
290052,"Acetivibrio ethanolgignens",14,1.7197428443957e-06,14.6,1.79557553855876e-06
NA,"unknown genome; accession ID isNZ_CCFE01000031.1",13,1.59690406979601e-06,12.4,1.51817062853086e-06
679935,"Alistipes finegoldii",10,1.22838774599693e-06,10,1.23174909164451e-06
1841865,"Mediterranea massiliensis",10,1.22838774599693e-06,9.4,1.15448641160791e-06
762982,"Paraprevotella xylaniphila",7,8.59871422197851e-07,7.6,9.3267586384331e-07
1122984,"Prevotella intermedia",6,7.37032647598158e-07,7.1,8.7546387219524e-07
411463,"Eubacterium ventriosum",6,7.37032647598158e-07,7.5,9.25238120441517e-07
742733,"Enterocloster citroniae",5,6.14193872998465e-07,11.5,1.41699098330775e-06
667015,"Phocaeicola salanitronis",5,6.14193872998465e-07,5.5,6.72445791278958e-07
1841868,"Provencibacterium massiliense",5,6.14193872998465e-07,22.6,2.77990473602201e-06
869209,"Treponema succinifaciens",4,4.91355098398772e-07,4.3,5.27765495312968e-07
411468,"[Clostridium] scindens",4,4.91355098398772e-07,4.8,5.94393972921596e-07
484018,"Phocaeicola plebeius",4,4.91355098398772e-07,7.3,8.96236944435019e-07
1118060,"Enorma massiliensis",4,4.91355098398772e-07,4,4.94406865908833e-07
1720313,"Bittarella massiliensis (ex Durand et al. 2017)",4,4.91355098398772e-07,4.2,5.17214843527975e-07
NA,"unknown genome; accession ID isNZ_KB907513.1",3,3.68516323799079e-07,3.1,3.81736040191847e-07
445972,"Anaerotruncus colihominis",3,3.68516323799079e-07,4.1,5.07817399911457e-07
1033732,"Alistipes senegalensis",3,3.68516323799079e-07,3.2,3.95536942151388e-07
2897707,"Merdimmobilis hominis",3,3.68516323799079e-07,3,3.71406007238271e-07
1871030,"Merdibacter massiliensis",3,3.68516323799079e-07,5.6,6.93919390895693e-07
1903261,"Mailhella massiliensis",3,3.68516323799079e-07,3.5,4.28047996900321e-07
742740,"[Clostridium] symbiosum",2,2.45677549199386e-07,14.8,1.81240769570777e-06
868129,"Prevotella bivia",2,2.45677549199386e-07,5,6.1524263082235e-07
1408437,"Agathobaculum desmolans",2,2.45677549199386e-07,2,2.51813266469424e-07
NA,"unknown genome; accession ID isNZ_KB907524.1",2,2.45677549199386e-07,2.1,2.52640183003101e-07
411473,"Ruminococcus callidus",2,2.45677549199386e-07,2.1,2.60685967060256e-07
869213,"Saccharicrinis fermentans",1,1.22838774599693e-07,0.7,8.18811297832761e-08
1123313,"Faecalicoccus pleomorphus",1,1.22838774599693e-07,3.5,4.25385708502383e-07
NA,"unknown genome; accession ID isNZ_DS480348.1",1,1.22838774599693e-07,2.1,2.63730688824645e-07
47678,"Bacteroides caccae",1,1.22838774599693e-07,1,1.23612432567685e-07
1445607,"Bacteroides reticulotermitis",1,1.22838774599693e-07,1.3,1.53720871925175e-07
